tx,ty,tz
-339.490082,94.304558,-57.086613
-339.490082,94.304558,-55.118111
-339.490082,94.304558,-53.149605
-339.490082,94.304558,-51.181099
-339.490082,94.304558,-49.212593
-339.490082,94.304558,-47.244087
-339.490082,94.304558,-45.275581
-339.490082,94.304558,-43.307076
-339.490082,94.304558,-41.338570
-339.490082,94.304558,-39.370064
-339.490082,94.304558,-37.401558
-339.490082,94.304558,-35.433052
-339.490082,94.304558,-33.464546
-339.490082,94.304558,-31.496042
-339.490082,94.304558,-29.527538
-339.490082,94.304558,-27.559034
-339.490082,94.304558,-25.590530
-339.490082,94.304558,-23.622026
-339.490082,94.304558,-21.653522
-339.490082,94.304558,-19.685019
-339.490082,94.304558,-17.716515
-339.490082,94.304558,-15.748011
-339.490082,94.304558,-13.779507
-339.490082,94.304558,-11.811003
-339.490082,94.304558,-9.842499
-339.490082,94.304558,-7.873995
-339.490082,94.304558,-5.905491
-339.490082,94.304558,-3.936987
-339.490082,94.304558,-1.968483
-339.490082,94.304558,0.000021
-339.490082,94.304558,1.968525
-339.490082,94.304558,3.937029
-339.490082,94.304558,5.905533
-339.490082,94.304558,7.874037
-339.490082,94.304558,9.842541
-339.490082,94.304558,11.811045
-339.490082,94.304558,13.779549
-339.490082,94.304558,15.748053
-339.490082,94.304558,17.716557
-339.490082,94.304558,19.685061
-339.490082,94.304558,21.653564
-339.490082,94.304558,23.622068
-339.490082,94.304558,25.590572
-339.490082,94.304558,27.559076
-339.490082,94.304558,29.527580
-339.490082,94.304558,31.496084
-339.490082,94.304558,33.464588
-339.490082,94.304558,35.433090
-339.490082,94.304558,37.401596
-339.490082,94.304558,39.370102
-339.490082,94.304558,41.338608
-339.490082,94.304558,43.307114
-339.490082,94.304558,45.275620
-339.490082,94.304558,47.244125
-339.490082,94.304558,49.212631
-339.490082,94.304558,51.181137
-339.490082,94.304558,53.149643
-339.490082,94.304558,55.118149
-338.604797,95.761444,-56.102360
-338.604797,95.761444,-54.133858
-338.604797,95.761444,-52.165352
-338.604797,95.761444,-50.196846
-338.604797,95.761444,-48.228340
-338.604797,95.761444,-46.259834
-338.604797,95.761444,-44.291328
-338.604797,95.761444,-42.322823
-338.604797,95.761444,-40.354317
-338.604797,95.761444,-38.385811
-338.604797,95.761444,-36.417305
-338.604797,95.761444,-34.448799
-338.604797,95.761444,-32.480293
-338.604797,95.761444,-30.511789
-338.604797,95.761444,-28.543285
-338.604797,95.761444,-26.574781
-338.604797,95.761444,-24.606277
-338.604797,95.761444,-22.637774
-338.604797,95.761444,-20.669270
-338.604797,95.761444,-18.700766
-338.604797,95.761444,-16.732262
-338.604797,95.761444,-14.763758
-338.604797,95.761444,-12.795254
-338.604797,95.761444,-10.826750
-338.604797,95.761444,-8.858246
-338.604797,95.761444,-6.889742
-338.604797,95.761444,-4.921238
-338.604797,95.761444,-2.952734
-338.604797,95.761444,-0.984230
-338.604797,95.761444,0.984274
-338.604797,95.761444,2.952778
-338.604797,95.761444,4.921282
-338.604797,95.761444,6.889786
-338.604797,95.761444,8.858290
-338.604797,95.761444,10.826794
-338.604797,95.761444,12.795298
-338.604797,95.761444,14.763802
-338.604797,95.761444,16.732306
-338.604797,95.761444,18.700809
-338.604797,95.761444,20.669313
-338.604797,95.761444,22.637817
-338.604797,95.761444,24.606321
-338.604797,95.761444,26.574825
-338.604797,95.761444,28.543329
-338.604797,95.761444,30.511833
-338.604797,95.761444,32.480339
-338.604797,95.761444,34.448845
-338.604797,95.761444,36.417351
-338.604797,95.761444,38.385857
-338.604797,95.761444,40.354362
-338.604797,95.761444,42.322868
-338.604797,95.761444,44.291374
-338.604797,95.761444,46.259880
-338.604797,95.761444,48.228386
-338.604797,95.761444,50.196892
-338.604797,95.761444,52.165398
-338.604797,95.761444,54.133904
-337.719513,97.218330,-55.118107
-337.719513,97.218330,-53.149605
-337.719513,97.218330,-51.181099
-337.719513,97.218330,-49.212593
-337.719513,97.218330,-47.244087
-337.719513,97.218330,-45.275581
-337.719513,97.218330,-43.307076
-337.719513,97.218330,-41.338570
-337.719513,97.218330,-39.370064
-337.719513,97.218330,-37.401558
-337.719513,97.218330,-35.433052
-337.719513,97.218330,-33.464546
-337.719513,97.218330,-31.496042
-337.719513,97.218330,-29.527538
-337.719513,97.218330,-27.559034
-337.719513,97.218330,-25.590530
-337.719513,97.218330,-23.622026
-337.719513,97.218330,-21.653522
-337.719513,97.218330,-19.685019
-337.719513,97.218330,-17.716515
-337.719513,97.218330,-15.748011
-337.719513,97.218330,-13.779507
-337.719513,97.218330,-11.811003
-337.719513,97.218330,-9.842499
-337.719513,97.218330,-7.873995
-337.719513,97.218330,-5.905491
