tx,ty,tz
-303.268921,152.051331,-8.919868
-304.047882,150.769424,-10.194595
-304.826843,149.487518,-11.469323
-305.605804,148.205612,-12.744051
-306.384766,146.923706,-14.018779
-307.163727,145.641800,-15.293507
-307.942688,144.359894,-16.568233
-308.721649,143.077988,-17.842960
-309.500610,141.796082,-19.117687
-310.279572,140.514175,-20.392414
-311.058533,139.232269,-21.667141
-311.837494,137.950363,-22.941868
-312.616455,136.668457,-24.216595
-313.395416,135.386551,-25.491322
-314.174377,134.104645,-26.766048
-314.953339,132.822739,-28.040775
-315.732300,131.540833,-29.315502
-316.511261,130.258926,-30.590229
-317.290222,128.977020,-31.864956
-318.069183,127.695114,-33.139683
-318.848145,126.413208,-34.414410
-319.627106,125.131302,-35.689137
-320.406067,123.849396,-36.963863
-321.185028,122.567490,-38.238590
-321.963989,121.285583,-39.513317
-322.742950,120.003677,-40.788044
-323.521912,118.721771,-42.062771
-324.300873,117.439865,-43.337498
-325.079834,116.157959,-44.612225
-325.858795,114.876053,-45.886951
-326.637756,113.594147,-47.161678
-327.416718,112.312241,-48.436405
-328.195679,111.030334,-49.711132
-328.974640,109.748428,-50.985859
-329.753601,108.466522,-52.260586
-330.532562,107.184616,-53.535313
-331.311523,105.902710,-54.810040
-332.090485,104.620804,-56.084766
-332.869446,103.338898,-57.359493
-333.648407,102.056992,-58.634220
-334.427368,100.775085,-59.908947
-335.206329,99.493179,-61.183674
-302.772095,152.130478,-10.823000
-303.551056,150.848572,-12.097728
-304.330017,149.566666,-13.372456
-305.108978,148.284760,-14.647183
-305.887939,147.002853,-15.921911
-306.666901,145.720947,-17.196640
-307.445862,144.439041,-18.471367
-308.224823,143.157135,-19.746094
-309.003784,141.875229,-21.020821
-309.782745,140.593323,-22.295547
-310.561707,139.311417,-23.570274
-311.340668,138.029510,-24.845001
-312.119629,136.747604,-26.119728
-312.898590,135.465698,-27.394455
-313.677551,134.183792,-28.669182
-314.456512,132.901886,-29.943909
-315.235474,131.619980,-31.218636
-316.014435,130.338074,-32.493362
-316.793396,129.056168,-33.768089
-317.572357,127.774261,-35.042816
-318.351318,126.492355,-36.317543
-319.130280,125.210449,-37.592270
-319.909241,123.928543,-38.866997
-320.688202,122.646637,-40.141724
-321.467163,121.364731,-41.416451
-322.246124,120.082825,-42.691177
-323.025085,118.800919,-43.965904
-323.804047,117.519012,-45.240631
-324.583008,116.237106,-46.515358
-325.361969,114.955200,-47.790085
-326.140930,113.673294,-49.064812
-326.919891,112.391388,-50.339539
-327.698853,111.109482,-51.614265
-328.477814,109.827576,-52.888992
-329.256775,108.545670,-54.163719
-330.035736,107.263763,-55.438446
-330.814697,105.981857,-56.713173
-331.593658,104.699951,-57.987900
-332.372620,103.418045,-59.262627
-333.151581,102.136139,-60.537354
-302.275269,152.209625,-12.726132
-303.054230,150.927719,-14.000860
-303.833191,149.645813,-15.275588
-304.612152,148.363907,-16.550316
-305.391113,147.082001,-17.825043
-306.170074,145.800095,-19.099770
-306.949036,144.518188,-20.374496
-307.727997,143.236282,-21.649223
-308.506958,141.954376,-22.923950
-309.285919,140.672470,-24.198677
-310.064880,139.390564,-25.473404
-310.843842,138.108658,-26.748131
-311.622803,136.826752,-28.022858
-312.401764,135.544846,-29.297585
-313.180725,134.262939,-30.572311
-313.959686,132.981033,-31.847038
-314.738647,131.699127,-33.121765
