tx,ty,tz
-300.649200,158.879608,-9.041924
-300.649200,160.224930,-10.478973
-300.649200,161.570251,-11.916023
-300.649200,162.915573,-13.353073
-300.649200,164.260895,-14.790123
-300.649200,165.606216,-16.227173
-300.649200,166.951538,-17.664223
-300.649200,168.296860,-19.101273
-300.649200,169.642181,-20.538322
-300.649200,170.987503,-21.975372
-300.649200,172.332825,-23.412422
-300.649200,173.678146,-24.849472
-300.649200,175.023468,-26.286522
-300.649200,176.368790,-27.723572
-300.649200,177.714111,-29.160622
-300.649200,179.059433,-30.597672
-300.649200,180.404755,-32.034721
-300.649200,181.750076,-33.471771
-300.649200,183.095398,-34.908821
-300.649200,184.440720,-36.345871
-300.649200,185.786041,-37.782921
-300.649200,187.131363,-39.219971
-300.649200,188.476685,-40.657021
-300.649200,189.822006,-42.094070
-300.649200,191.167328,-43.531120
-300.113068,158.370895,-10.866418
-300.113068,159.716217,-12.303468
-300.113068,161.061539,-13.740518
-300.113068,162.406860,-15.177567
-300.113068,163.752182,-16.614618
-300.113068,165.097504,-18.051668
-300.113068,166.442825,-19.488718
-300.113068,167.788147,-20.925768
-300.113068,169.133469,-22.362818
-300.113068,170.478790,-23.799868
-300.113068,171.824112,-25.236917
-300.113068,173.169434,-26.673967
-300.113068,174.514755,-28.111017
-300.113068,175.860077,-29.548067
-300.113068,177.205399,-30.985117
-300.113068,178.550720,-32.422169
-300.113068,179.896042,-33.859219
-300.113068,181.241364,-35.296268
-300.113068,182.586685,-36.733318
-300.113068,183.932007,-38.170368
-300.113068,185.277328,-39.607418
-300.113068,186.622650,-41.044468
-300.113068,187.967972,-42.481518
-299.576935,157.862183,-12.690914
-299.576935,159.207504,-14.127964
-299.576935,160.552826,-15.565014
-299.576935,161.898148,-17.002064
-299.576935,163.243469,-18.439114
-299.576935,164.588791,-19.876163
-299.576935,165.934113,-21.313213
-299.576935,167.279434,-22.750263
-299.576935,168.624756,-24.187313
-299.576935,169.970078,-25.624363
-299.576935,171.315399,-27.061413
-299.576935,172.660721,-28.498463
-299.576935,174.006042,-29.935513
-299.576935,175.351364,-31.372562
-299.576935,176.696686,-32.809612
-299.576935,178.042007,-34.246662
-299.576935,179.387329,-35.683712
-299.576935,180.732651,-37.120762
-299.576935,182.077972,-38.557812
-299.576935,183.423294,-39.994862
-299.576935,184.768616,-41.431911
-299.576935,186.113937,-42.868961
-299.040802,158.698792,-15.952459
-299.040802,160.044113,-17.389509
-299.040802,161.389435,-18.826559
-299.040802,162.734756,-20.263609
-299.040802,164.080078,-21.700659
-299.040802,165.425400,-23.137709
-299.040802,166.770721,-24.574759
-299.040802,168.116043,-26.011808
-299.040802,169.461365,-27.448858
-299.040802,170.806686,-28.885908
-299.040802,172.152008,-30.322958
-299.040802,173.497330,-31.760008
-299.040802,174.842651,-33.197060
-299.040802,176.187973,-34.634109
-299.040802,177.533295,-36.071159
-299.040802,178.878616,-37.508209
-299.040802,180.223938,-38.945259
-299.040802,181.569260,-40.382309
-299.040802,182.914581,-41.819359
