tx,ty,tz
322.392700,15.202389,6.916914
322.729584,16.697254,8.152591
323.066467,18.192120,9.388268
323.403351,19.686985,10.623946
323.740234,21.181850,11.859624
324.077118,22.676716,13.095302
324.414001,24.171581,14.330979
324.750885,25.666447,15.566657
325.087769,27.161312,16.802334
325.424652,28.656178,18.038012
325.761536,30.151043,19.273689
326.098419,31.645908,20.509367
326.435303,33.140774,21.745045
326.772186,34.635639,22.980722
327.109070,36.130505,24.216400
327.445953,37.625370,25.452078
327.782837,39.120235,26.687756
328.119720,40.615101,27.923433
328.456604,42.109966,29.159111
328.793488,43.604832,30.394789
329.130371,45.099697,31.630466
329.467255,46.594563,32.866142
329.804138,48.089428,34.101818
330.141022,49.584293,35.337494
330.477905,51.079159,36.573170
330.814789,52.574024,37.808846
331.151672,54.068890,39.044521
331.488556,55.563755,40.280197
331.825439,57.058620,41.515873
332.162323,58.553486,42.751549
332.499207,60.048351,43.987225
332.836090,61.543217,45.222900
333.172974,63.038082,46.458576
333.509857,64.532951,47.694252
333.846741,66.027817,48.929928
334.183624,67.522682,50.165604
334.520508,69.017548,51.401279
334.857391,70.512413,52.636955
335.194275,72.007278,53.872631
335.531158,73.502144,55.108307
335.868042,74.997009,56.343983
336.204926,76.491875,57.579659
336.541809,77.986740,58.815334
336.878693,79.481606,60.051010
337.215576,80.976471,61.286686
337.552460,82.471336,62.522362
321.481812,15.262119,8.660959
321.818695,16.756985,9.896637
322.155579,18.251850,11.132315
322.492462,19.746716,12.367992
322.829346,21.241581,13.603670
323.166229,22.736446,14.839348
323.503113,24.231312,16.075026
323.839996,25.726177,17.310703
324.176880,27.221043,18.546381
324.513763,28.715908,19.782059
324.850647,30.210773,21.017736
325.187531,31.705639,22.253414
325.524414,33.200504,23.489092
325.861298,34.695370,24.724770
326.198181,36.190235,25.960447
326.535065,37.685101,27.196125
326.871948,39.179966,28.431803
327.208832,40.674831,29.667480
327.545715,42.169697,30.903158
327.882599,43.664562,32.138836
328.219482,45.159428,33.374512
328.556366,46.654293,34.610188
328.893250,48.149158,35.845863
329.230133,49.644024,37.081539
329.567017,51.138889,38.317215
329.903900,52.633755,39.552891
330.240784,54.128620,40.788567
330.577667,55.623486,42.024242
330.914551,57.118351,43.259918
331.251434,58.613216,44.495594
331.588318,60.108082,45.731270
331.925201,61.602947,46.966946
332.262085,63.097813,48.202621
332.598969,64.592682,49.438297
332.935852,66.087547,50.673973
333.272736,67.582413,51.909649
333.609619,69.077278,53.145325
333.946503,70.572144,54.381001
334.283386,72.067009,55.616676
334.620270,73.561874,56.852352
334.957153,75.056740,58.088028
335.294037,76.551605,59.323704
335.630920,78.046471,60.559380
335.967804,79.541336,61.795055
320.570923,15.321850,10.405005
320.907806,16.816715,11.640682
321.244690,18.311581,12.876360
321.581573,19.806446,14.112038
