tx,ty,tz
300.649200,158.206955,8.323399
300.649200,159.552277,9.760448
300.649200,160.897598,11.197498
300.649200,162.242920,12.634548
300.649200,163.588242,14.071598
300.649200,164.933563,15.508648
300.649200,166.278885,16.945698
300.649200,167.624207,18.382748
300.649200,168.969528,19.819798
300.649200,170.314850,21.256847
300.649200,171.660172,22.693897
300.649200,173.005493,24.130947
300.649200,174.350815,25.567997
300.649200,175.696136,27.005047
300.649200,177.041458,28.442097
300.649200,178.386780,29.879147
300.649200,179.732101,31.316196
300.649200,181.077423,32.753246
300.649200,182.422745,34.190296
300.649200,183.768066,35.627346
300.649200,185.113388,37.064396
300.649200,186.458710,38.501446
300.649200,187.804031,39.938496
300.649200,189.149353,41.375546
300.649200,190.494675,42.812595
300.113068,157.698242,10.147894
300.113068,159.043564,11.584944
300.113068,160.388885,13.021994
300.113068,161.734207,14.459044
300.113068,163.079529,15.896093
300.113068,164.424850,17.333143
300.113068,165.770172,18.770193
300.113068,167.115494,20.207243
300.113068,168.460815,21.644293
300.113068,169.806137,23.081343
300.113068,171.151459,24.518393
300.113068,172.496780,25.955442
300.113068,173.842102,27.392492
300.113068,175.187424,28.829542
300.113068,176.532745,30.266592
300.113068,177.878067,31.703642
300.113068,179.223389,33.140694
300.113068,180.568710,34.577744
300.113068,181.914032,36.014793
300.113068,183.259354,37.451843
300.113068,184.604675,38.888893
300.113068,185.949997,40.325943
300.113068,187.295319,41.762993
300.113068,188.640640,43.200043
299.576935,158.534851,13.409439
299.576935,159.880173,14.846489
299.576935,161.225494,16.283539
299.576935,162.570816,17.720589
299.576935,163.916138,19.157639
299.576935,165.261459,20.594688
299.576935,166.606781,22.031738
299.576935,167.952103,23.468788
299.576935,169.297424,24.905838
299.576935,170.642746,26.342888
299.576935,171.988068,27.779938
299.576935,173.333389,29.216988
299.576935,174.678711,30.654037
299.576935,176.024033,32.091087
299.576935,177.369354,33.528137
299.576935,178.714676,34.965187
299.576935,180.059998,36.402237
299.576935,181.405319,37.839287
299.576935,182.750641,39.276337
299.576935,184.095963,40.713387
299.576935,185.441284,42.150436
299.040802,158.026138,15.233934
299.040802,159.371460,16.670984
299.040802,160.716782,18.108034
299.040802,162.062103,19.545084
299.040802,163.407425,20.982134
299.040802,164.752747,22.419184
299.040802,166.098068,23.856234
299.040802,167.443390,25.293283
299.040802,168.788712,26.730333
299.040802,170.134033,28.167383
299.040802,171.479355,29.604433
299.040802,172.824677,31.041483
299.040802,174.169998,32.478535
299.040802,175.515320,33.915585
299.040802,176.860641,35.352634
299.040802,178.205963,36.789684
299.040802,179.551285,38.226734
299.040802,180.896606,39.663784
299.040802,182.241928,41.100834
299.040802,183.587250,42.537884
298.504669,157.517410,17.058430
298.504669,158.862732,18.495480
298.504669,160.208054,19.932529
298.504669,161.553375,21.369579
298.504669,162.898697,22.806629
298.504669,164.244019,24.243679
298.504669,165.589340,25.680729
298.504669,166.934662,27.117779
298.504669,168.279984,28.554829
298.504669,169.625305,29.991879
298.504669,170.970627,31.428928
298.504669,172.315948,32.865978
298.504669,173.661270,34.303028
298.504669,175.006592,35.740078
298.504669,176.351913,37.177128
298.504669,177.697235,38.614178
298.504669,179.042557,40.051228
298.504669,180.387878,41.488277
298.504669,181.733200,42.925327
297.968567,158.354019,20.319975
297.968567,159.699341,21.757025
297.968567,161.044662,23.194075
297.968567,162.389984,24.631124
297.968567,163.735306,26.068174
297.968567,165.080627,27.505224
297.968567,166.425949,28.942274
297.968567,167.771271,30.379324
297.968567,169.116592,31.816374
297.968567,170.461914,33.253426
297.968567,171.807236,34.690475
297.968567,173.152557,36.127525
297.968567,174.497879,37.564575
297.968567,175.843201,39.001625
297.968567,177.188522,40.438675
297.968567,178.533844,41.875725
297.968567,179.879166,43.312775
297.432434,157.845306,22.144470
297.432434,159.190628,23.581520
297.432434,160.535950,25.018570
297.432434,161.881271,26.455620
297.432434,163.226593,27.892670
297.432434,164.571915,29.329720
297.432434,165.917236,30.766769
297.432434,167.262558,32.203819
297.432434,168.607880,33.640869
297.432434,169.953201,35.077919
297.432434,171.298523,36.514969
297.432434,172.643845,37.952019
297.432434,173.989166,39.389069
297.432434,175.334488,40.826118
297.432434,176.679810,42.263168
297.432434,178.025131,43.700218
296.896301,157.336594,23.968966
296.896301,158.681915,25.406015
296.896301,160.027237,26.843065
296.896301,161.372559,28.280115
296.896301,162.717880,29.717165
296.896301,164.063202,31.154215
296.896301,165.408524,32.591267
296.896301,166.753845,34.028316
296.896301,168.099167,35.465366
296.896301,169.444489,36.902416
296.896301,170.789810,38.339466
296.896301,172.135132,39.776516
296.896301,173.480453,41.213566
296.896301,174.825775,42.650616
296.896301,176.171097,44.087666
296.360168,158.173203,27.230511
296.360168,159.518524,28.667561
296.360168,160.863846,30.104610
296.360168,162.209167,31.541660
296.360168,163.554489,32.978710
296.360168,164.899811,34.415760
296.360168,166.245132,35.852810
296.360168,167.590454,37.289860
296.360168,168.935776,38.726910
296.360168,170.281097,40.163960
296.360168,171.626419,41.601009
296.360168,172.971741,43.038059
296.360168,174.317062,44.475109
295.824036,157.664490,29.055006
295.824036,159.009811,30.492056
295.824036,160.355133,31.929106
295.824036,161.700455,33.366158
295.824036,163.045776,34.803207
295.824036,164.391098,36.240257
295.824036,165.736420,37.677307
295.824036,167.081741,39.114357
295.824036,168.427063,40.551407
295.824036,169.772385,41.988457
295.824036,171.117706,43.425507
295.824036,172.463028,44.862556
295.287903,158.501099,32.316551
295.287903,159.846420,33.753601
295.287903,161.191742,35.190651
295.287903,162.537064,36.627701
295.287903,163.882385,38.064751
295.287903,165.227707,39.501801
295.287903,166.573029,40.938850
295.287903,167.918350,42.375900
295.287903,169.263672,43.812950
295.287903,170.608994,45.250000
294.751770,157.992371,34.141045
294.751770,159.337692,35.578094
294.751770,160.683014,37.015144
294.751770,162.028336,38.452194
294.751770,163.373657,39.889244
294.751770,164.718979,41.326294
294.751770,166.064301,42.763344
294.751770,167.409622,44.200394
294.751770,168.754944,45.637444
294.215668,157.483658,35.965538
294.215668,158.828979,37.402588
294.215668,160.174301,38.839638
294.215668,161.519623,40.276688
294.215668,162.864944,41.713737
294.215668,164.210266,43.150787
294.215668,165.555588,44.587837
294.215668,166.900909,46.024887
293.679535,158.320267,39.227089
293.679535,159.665588,40.664139
293.679535,161.010910,42.101189
293.679535,162.356232,43.538239
293.679535,163.701553,44.975288
293.679535,165.046875,46.412338
293.143402,157.811554,41.051582
293.143402,159.156876,42.488632
293.143402,160.502197,43.925682
293.143402,161.847519,45.362732
293.143402,163.192841,46.799782
292.607269,157.302841,42.876076
292.607269,158.648163,44.313126
292.607269,159.993484,45.750175
292.607269,161.338806,47.187225
292.071136,158.139450,46.137627
292.071136,159.484772,47.574677
291.535004,157.630722,47.962120
