tx,ty,tz
323.478149,15.693409,-5.535628
322.535522,15.693409,-7.263769
321.592896,15.693409,-8.991909
320.650269,15.693409,-10.720049
319.707642,15.693409,-12.448189
318.765015,15.693409,-14.176329
317.822388,15.693409,-15.904469
316.879761,15.693409,-17.632608
315.937134,15.693409,-19.360748
314.994507,15.693409,-21.088888
314.051880,15.693409,-22.817028
313.109253,15.693409,-24.545168
312.166626,15.693409,-26.273308
311.223999,15.693409,-28.001448
310.281372,15.693409,-29.729588
309.338745,15.693409,-31.457727
308.396118,15.693409,-33.185867
307.453491,15.693409,-34.914009
306.510864,15.693409,-36.642151
305.568237,15.693409,-38.370293
304.625610,15.693409,-40.098434
303.682983,15.693409,-41.826576
302.740356,15.693409,-43.554718
301.797729,15.693409,-45.282860
300.855103,15.693409,-47.011002
299.912476,15.693409,-48.739143
298.969849,15.693409,-50.467285
298.027222,15.693409,-52.195427
297.084595,15.693409,-53.923569
296.141968,15.693409,-55.651711
295.199341,15.693409,-57.379852
294.256714,15.693409,-59.107994
293.314087,15.693409,-60.836136
323.770844,17.159323,-6.816425
322.828217,17.159323,-8.544565
321.885590,17.159323,-10.272705
320.942963,17.159323,-12.000845
320.000336,17.159323,-13.728985
319.057709,17.159323,-15.457125
318.115082,17.159323,-17.185265
317.172455,17.159323,-18.913404
316.229828,17.159323,-20.641544
315.287201,17.159323,-22.369684
314.344574,17.159323,-24.097824
313.401947,17.159323,-25.825964
312.459320,17.159323,-27.554104
311.516693,17.159323,-29.282244
310.574066,17.159323,-31.010384
309.631439,17.159323,-32.738525
308.688812,17.159323,-34.466667
307.746185,17.159323,-36.194809
306.803558,17.159323,-37.922951
305.860931,17.159323,-39.651093
304.918304,17.159323,-41.379234
303.975677,17.159323,-43.107376
303.033051,17.159323,-44.835518
302.090424,17.159323,-46.563660
301.147797,17.159323,-48.291801
300.205170,17.159323,-50.019943
299.262543,17.159323,-51.748085
298.319916,17.159323,-53.476227
297.377289,17.159323,-55.204369
296.434662,17.159323,-56.932510
295.492035,17.159323,-58.660652
294.549408,17.159323,-60.388794
324.063538,18.625237,-8.097222
323.120911,18.625237,-9.825363
322.178284,18.625237,-11.553503
321.235657,18.625237,-13.281643
320.293030,18.625237,-15.009783
319.350403,18.625237,-16.737923
318.407776,18.625237,-18.466063
317.465149,18.625237,-20.194202
316.522522,18.625237,-21.922342
315.579895,18.625237,-23.650482
314.637268,18.625237,-25.378622
313.694641,18.625237,-27.106762
312.752014,18.625237,-28.834902
311.809387,18.625237,-30.563042
310.866760,18.625237,-32.291183
309.924133,18.625237,-34.019325
308.981506,18.625237,-35.747467
308.038879,18.625237,-37.475609
307.096252,18.625237,-39.203751
306.153625,18.625237,-40.931892
305.210999,18.625237,-42.660034
304.268372,18.625237,-44.388176
303.325745,18.625237,-46.116318
302.383118,18.625237,-47.844460
301.440491,18.625237,-49.572601
300.497864,18.625237,-51.300743
299.555237,18.625237,-53.028885
298.612610,18.625237,-54.757027
297.669983,18.625237,-56.485168
296.727356,18.625237,-58.213310
295.784729,18.625237,-59.941452
294.842102,18.625237,-61.669594
324.356201,20.091150,-9.378019
323.413574,20.091150,-11.106159
322.470947,20.091150,-12.834299
321.528320,20.091150,-14.562439
320.585693,20.091150,-16.290579
319.643066,20.091150,-18.018719
318.700439,20.091150,-19.746859
317.757813,20.091150,-21.474998
316.815186,20.091150,-23.203138
315.872559,20.091150,-24.931278
314.929932,20.091150,-26.659418
313.987305,20.091150,-28.387558
313.044678,20.091150,-30.115698
312.102051,20.091150,-31.843838
311.159424,20.091150,-33.571980
310.216797,20.091150,-35.300121
309.274170,20.091150,-37.028263
308.331543,20.091150,-38.756405
307.388916,20.091150,-40.484547
306.446289,20.091150,-42.212688
305.503662,20.091150,-43.940830
304.561035,20.091150,-45.668972
303.618408,20.091150,-47.397114
302.675781,20.091150,-49.125256
301.733154,20.091150,-50.853397
300.790527,20.091150,-52.581539
299.847900,20.091150,-54.309681
298.905273,20.091150,-56.037823
297.962646,20.091150,-57.765965
297.020020,20.091150,-59.494106
296.077393,20.091150,-61.222248
324.648895,21.557064,-10.658815
323.706268,21.557064,-12.386955
322.763641,21.557064,-14.115095
321.821014,21.557064,-15.843235
320.878387,21.557064,-17.571375
319.935760,21.557064,-19.299515
318.993134,21.557064,-21.027655
318.050507,21.557064,-22.755795
317.107880,21.557064,-24.483934
316.165253,21.557064,-26.212074
315.222626,21.557064,-27.940214
314.279999,21.557064,-29.668354
313.337372,21.557064,-31.396494
312.394745,21.557064,-33.124634
311.452118,21.557064,-34.852776
310.509491,21.557064,-36.580917
309.566864,21.557064,-38.309059
308.624237,21.557064,-40.037201
307.681610,21.557064,-41.765343
306.738983,21.557064,-43.493484
305.796356,21.557064,-45.221626
304.853729,21.557064,-46.949768
303.911102,21.557064,-48.677910
302.968475,21.557064,-50.406052
302.025848,21.557064,-52.134193
301.083221,21.557064,-53.862335
300.140594,21.557064,-55.590477
299.197968,21.557064,-57.318619
298.255341,21.557064,-59.046761
297.312714,21.557064,-60.774902
324.941589,23.022976,-11.939613
323.998962,23.022976,-13.667753
323.056335,23.022976,-15.395893
322.113708,23.022976,-17.124033
321.171082,23.022976,-18.852173
320.228455,23.022976,-20.580313
319.285828,23.022976,-22.308453
318.343201,23.022976,-24.036592
317.400574,23.022976,-25.764732
316.457947,23.022976,-27.492872
315.515320,23.022976,-29.221012
314.572693,23.022976,-30.949152
313.630066,23.022976,-32.677292
312.687439,23.022976,-34.405434
311.744812,23.022976,-36.133575
310.802185,23.022976,-37.861717
309.859558,23.022976,-39.589859
308.916931,23.022976,-41.318001
307.974304,23.022976,-43.046143
307.031677,23.022976,-44.774284
306.089050,23.022976,-46.502426
305.146423,23.022976,-48.230568
304.203796,23.022976,-49.958710
303.261169,23.022976,-51.686852
302.318542,23.022976,-53.414993
301.375916,23.022976,-55.143135
300.433289,23.022976,-56.871277
299.490662,23.022976,-58.599419
298.548035,23.022976,-60.327560
325.234283,24.488890,-13.220410
324.291656,24.488890,-14.948551
323.349030,24.488890,-16.676691
322.406403,24.488890,-18.404831
321.463776,24.488890,-20.132971
320.521149,24.488890,-21.861111
319.578522,24.488890,-23.589251
318.635895,24.488890,-25.317390
317.693268,24.488890,-27.045530
316.750641,24.488890,-28.773670
315.808014,24.488890,-30.501810
314.865387,24.488890,-32.229950
313.922760,24.488890,-33.958092
312.980133,24.488890,-35.686234
312.037506,24.488890,-37.414375
311.094879,24.488890,-39.142517
310.152252,24.488890,-40.870659
309.209625,24.488890,-42.598801
308.266998,24.488890,-44.326942
307.324371,24.488890,-46.055084
306.381744,24.488890,-47.783226
305.439117,24.488890,-49.511368
304.496490,24.488890,-51.239510
303.553864,24.488890,-52.967651
302.611237,24.488890,-54.695793
301.668610,24.488890,-56.423935
300.725983,24.488890,-58.152077
299.783356,24.488890,-59.880219
298.840729,24.488890,-61.608360
325.526947,25.954803,-14.501206
324.584320,25.954803,-16.229347
323.641693,25.954803,-17.957487
322.699066,25.954803,-19.685627
321.756439,25.954803,-21.413767
320.813812,25.954803,-23.141907
319.871185,25.954803,-24.870047
318.928558,25.954803,-26.598186
317.985931,25.954803,-28.326326
317.043304,25.954803,-30.054466
316.100677,25.954803,-31.782606
315.158051,25.954803,-33.510746
314.215424,25.954803,-35.238888
313.272797,25.954803,-36.967030
312.330170,25.954803,-38.695171
311.387543,25.954803,-40.423313
310.444916,25.954803,-42.151455
309.502289,25.954803,-43.879597
308.559662,25.954803,-45.607738
307.617035,25.954803,-47.335880
306.674408,25.954803,-49.064022
305.731781,25.954803,-50.792164
304.789154,25.954803,-52.520306
303.846527,25.954803,-54.248447
302.903900,25.954803,-55.976589
301.961273,25.954803,-57.704731
301.018646,25.954803,-59.432873
300.076019,25.954803,-61.161015
325.819641,27.420715,-15.782003
324.877014,27.420715,-17.510143
323.934387,27.420715,-19.238283
322.991760,27.420715,-20.966423
322.049133,27.420715,-22.694563
321.106506,27.420715,-24.422703
320.163879,27.420715,-26.150843
319.221252,27.420715,-27.878983
318.278625,27.420715,-29.607122
317.335999,27.420715,-31.335262
316.393372,27.420715,-33.063404
315.450745,27.420715,-34.791546
314.508118,27.420715,-36.519688
313.565491,27.420715,-38.247829
312.622864,27.420715,-39.975971
311.680237,27.420715,-41.704113
310.737610,27.420715,-43.432255
309.794983,27.420715,-45.160397
308.852356,27.420715,-46.888538
307.909729,27.420715,-48.616680
306.967102,27.420715,-50.344822
306.024475,27.420715,-52.072964
305.081848,27.420715,-53.801105
304.139221,27.420715,-55.529247
303.196594,27.420715,-57.257389
302.253967,27.420715,-58.985531
301.311340,27.420715,-60.713673
326.112335,28.886631,-17.062801
325.169708,28.886631,-18.790941
324.227081,28.886631,-20.519081
323.284454,28.886631,-22.247221
322.341827,28.886631,-23.975361
321.399200,28.886631,-25.703501
320.456573,28.886631,-27.431641
319.513947,28.886631,-29.159781
318.571320,28.886631,-30.887920
317.628693,28.886631,-32.616062
316.686066,28.886631,-34.344204
315.743439,28.886631,-36.072346
314.800812,28.886631,-37.800488
313.858185,28.886631,-39.528629
312.915558,28.886631,-41.256771
311.972931,28.886631,-42.984913
311.030304,28.886631,-44.713055
310.087677,28.886631,-46.441196
309.145050,28.886631,-48.169338
308.202423,28.886631,-49.897480
307.259796,28.886631,-51.625622
306.317169,28.886631,-53.353764
305.374542,28.886631,-55.081905
304.431915,28.886631,-56.810047
303.489288,28.886631,-58.538189
302.546661,28.886631,-60.266331
326.405029,30.352543,-18.343597
325.462402,30.352543,-20.071737
324.519775,30.352543,-21.799877
323.577148,30.352543,-23.528017
322.634521,30.352543,-25.256157
321.691895,30.352543,-26.984297
320.749268,30.352543,-28.712437
319.806641,30.352543,-30.440577
318.864014,30.352543,-32.168716
317.921387,30.352543,-33.896858
316.978760,30.352543,-35.625000
316.036133,30.352543,-37.353142
315.093506,30.352543,-39.081284
314.150879,30.352543,-40.809425
313.208252,30.352543,-42.537567
312.265625,30.352543,-44.265709
311.322998,30.352543,-45.993851
310.380371,30.352543,-47.721992
309.437744,30.352543,-49.450134
308.495117,30.352543,-51.178276
307.552490,30.352543,-52.906418
306.609863,30.352543,-54.634560
305.667236,30.352543,-56.362701
304.724609,30.352543,-58.090843
303.781982,30.352543,-59.818985
302.839355,30.352543,-61.547127
326.697693,31.818459,-19.624395
325.755066,31.818459,-21.352535
324.812439,31.818459,-23.080675
323.869812,31.818459,-24.808815
322.927185,31.818459,-26.536955
321.984558,31.818459,-28.265095
321.041931,31.818459,-29.993235
320.099304,31.818459,-31.721375
319.156677,31.818459,-33.449516
318.214050,31.818459,-35.177658
317.271423,31.818459,-36.905800
316.328796,31.818459,-38.633942
315.386169,31.818459,-40.362083
314.443542,31.818459,-42.090225
313.500916,31.818459,-43.818367
312.558289,31.818459,-45.546509
311.615662,31.818459,-47.274651
310.673035,31.818459,-49.002792
309.730408,31.818459,-50.730934
308.787781,31.818459,-52.459076
307.845154,31.818459,-54.187218
306.902527,31.818459,-55.915359
305.959900,31.818459,-57.643501
305.017273,31.818459,-59.371643
304.074646,31.818459,-61.099785
326.990387,33.284370,-20.905191
326.047760,33.284370,-22.633331
325.105133,33.284370,-24.361471
324.162506,33.284370,-26.089611
323.219879,33.284370,-27.817751
322.277252,33.284370,-29.545891
321.334625,33.284370,-31.274031
320.391998,33.284370,-33.002171
319.449371,33.284370,-34.730312
318.506744,33.284370,-36.458454
317.564117,33.284370,-38.186596
316.621490,33.284370,-39.914738
315.678864,33.284370,-41.642879
314.736237,33.284370,-43.371021
313.793610,33.284370,-45.099163
312.850983,33.284370,-46.827305
311.908356,33.284370,-48.555447
310.965729,33.284370,-50.283588
310.023102,33.284370,-52.011730
309.080475,33.284370,-53.739872
308.137848,33.284370,-55.468014
307.195221,33.284370,-57.196156
306.252594,33.284370,-58.924297
305.309967,33.284370,-60.652439
327.283081,34.750282,-22.185987
326.340454,34.750282,-23.914127
325.397827,34.750282,-25.642267
324.455200,34.750282,-27.370407
323.512573,34.750282,-29.098547
322.569946,34.750282,-30.826687
321.627319,34.750282,-32.554829
320.684692,34.750282,-34.282970
319.742065,34.750282,-36.011112
318.799438,34.750282,-37.739254
317.856812,34.750282,-39.467396
316.914185,34.750282,-41.195538
315.971558,34.750282,-42.923679
315.028931,34.750282,-44.651821
314.086304,34.750282,-46.379963
313.143677,34.750282,-48.108105
312.201050,34.750282,-49.836246
311.258423,34.750282,-51.564388
310.315796,34.750282,-53.292530
309.373169,34.750282,-55.020672
308.430542,34.750282,-56.748814
307.487915,34.750282,-58.476955
306.545288,34.750282,-60.205097
