tx,ty,tz
300.649200,191.840027,-44.249645
300.649200,190.494705,-42.812595
300.649200,189.149384,-41.375546
300.649200,187.804062,-39.938496
300.649200,186.458740,-38.501446
300.649200,185.113419,-37.064396
300.649200,183.768097,-35.627346
300.649200,182.422775,-34.190296
300.649200,181.077454,-32.753246
300.649200,179.732132,-31.316196
300.649200,178.386810,-29.879147
300.649200,177.041489,-28.442097
300.649200,175.696167,-27.005047
300.649200,174.350845,-25.567997
300.649200,173.005524,-24.130947
300.649200,171.660202,-22.693897
300.649200,170.314880,-21.256847
300.649200,168.969559,-19.819798
300.649200,167.624237,-18.382748
300.649200,166.278915,-16.945698
300.649200,164.933594,-15.508648
300.649200,163.588272,-14.071598
300.649200,162.242950,-12.634548
300.649200,160.897629,-11.197498
300.649200,159.552307,-9.760448
300.113068,189.985992,-44.637089
300.113068,188.640671,-43.200039
300.113068,187.295349,-41.762989
300.113068,185.950027,-40.325939
300.113068,184.604706,-38.888889
300.113068,183.259384,-37.451839
300.113068,181.914063,-36.014790
300.113068,180.568741,-34.577740
300.113068,179.223419,-33.140690
300.113068,177.878098,-31.703640
300.113068,176.532776,-30.266590
300.113068,175.187454,-28.829540
300.113068,173.842133,-27.392490
300.113068,172.496811,-25.955441
300.113068,171.151489,-24.518391
300.113068,169.806168,-23.081341
300.113068,168.460846,-21.644291
300.113068,167.115524,-20.207241
300.113068,165.770203,-18.770191
300.113068,164.424881,-17.333141
300.113068,163.079559,-15.896091
300.113068,161.734238,-14.459042
300.113068,160.388916,-13.021992
300.113068,159.043594,-11.584942
299.576935,188.131958,-45.024532
299.576935,186.786636,-43.587482
299.576935,185.441315,-42.150433
299.576935,184.095993,-40.713383
299.576935,182.750671,-39.276333
299.576935,181.405350,-37.839283
299.576935,180.060028,-36.402233
299.576935,178.714706,-34.965183
299.576935,177.369385,-33.528133
299.576935,176.024063,-32.091084
299.576935,174.678741,-30.654034
299.576935,173.333420,-29.216984
299.576935,171.988098,-27.779934
299.576935,170.642776,-26.342884
299.576935,169.297455,-24.905834
299.576935,167.952133,-23.468784
299.576935,166.606812,-22.031734
299.576935,165.261490,-20.594685
299.576935,163.916168,-19.157635
299.576935,162.570847,-17.720585
299.576935,161.225525,-16.283535
299.576935,159.880203,-14.846485
299.040802,186.277908,-45.411980
299.040802,184.932587,-43.974930
299.040802,183.587265,-42.537880
299.040802,182.241943,-41.100830
299.040802,180.896622,-39.663780
299.040802,179.551300,-38.226730
299.040802,178.205978,-36.789680
299.040802,176.860657,-35.352631
299.040802,175.515335,-33.915581
299.040802,174.170013,-32.478531
299.040802,172.824692,-31.041481
299.040802,171.479370,-29.604431
299.040802,170.134048,-28.167381
299.040802,168.788727,-26.730331
299.040802,167.443405,-25.293282
299.040802,166.098083,-23.856232
299.040802,164.752762,-22.419182
299.040802,163.407440,-20.982132
299.040802,162.062119,-19.545082
299.040802,160.716797,-18.108032
299.040802,159.371475,-16.670982
298.504669,184.423874,-45.799423
298.504669,183.078552,-44.362373
298.504669,181.733231,-42.925323
298.504669,180.387909,-41.488274
298.504669,179.042587,-40.051224
298.504669,177.697266,-38.614174
298.504669,176.351944,-37.177124
298.504669,175.006622,-35.740074
298.504669,173.661301,-34.303024
298.504669,172.315979,-32.865974
298.504669,170.970657,-31.428925
298.504669,169.625336,-29.991875
298.504669,168.280014,-28.554825
298.504669,166.934692,-27.117775
298.504669,165.589371,-25.680725
298.504669,164.244049,-24.243675
298.504669,162.898727,-22.806625
298.504669,161.553406,-21.369576
298.504669,160.208084,-19.932526
298.504669,158.862762,-18.495476
297.968567,182.569839,-46.186867
297.968567,181.224518,-44.749817
297.968567,179.879196,-43.312767
297.968567,178.533875,-41.875717
297.968567,177.188553,-40.438667
297.968567,175.843231,-39.001617
297.968567,174.497910,-37.564568
297.968567,173.152588,-36.127518
297.968567,171.807266,-34.690468
297.968567,170.461945,-33.253418
297.968567,169.116623,-31.816368
297.968567,167.771301,-30.379318
297.968567,166.425980,-28.942268
297.968567,165.080658,-27.505219
297.968567,163.735336,-26.068169
297.968567,162.390015,-24.631119
297.968567,161.044693,-23.194069
297.968567,159.699371,-21.757019
297.432434,179.370468,-45.137264
297.432434,178.025146,-43.700214
297.432434,176.679825,-42.263165
297.432434,175.334503,-40.826115
297.432434,173.989182,-39.389065
297.432434,172.643860,-37.952015
297.432434,171.298538,-36.514965
297.432434,169.953217,-35.077915
297.432434,168.607895,-33.640865
297.432434,167.262573,-32.203815
297.432434,165.917252,-30.766766
297.432434,164.571930,-29.329716
297.432434,163.226608,-27.892666
297.432434,161.881287,-26.455616
297.432434,160.535965,-25.018566
297.432434,159.190643,-23.581516
296.896301,177.516434,-45.524708
296.896301,176.171112,-44.087658
296.896301,174.825790,-42.650608
296.896301,173.480469,-41.213558
296.896301,172.135147,-39.776508
296.896301,170.789825,-38.339458
296.896301,169.444504,-36.902409
296.896301,168.099182,-35.465359
296.896301,166.753860,-34.028309
296.896301,165.408539,-32.591259
296.896301,164.063217,-31.154209
296.896301,162.717896,-29.717159
296.896301,161.372574,-28.280109
296.896301,160.027252,-26.843060
296.896301,158.681931,-25.406010
296.360168,175.662399,-45.912151
296.360168,174.317078,-44.475101
296.360168,172.971756,-43.038052
296.360168,171.626434,-41.601002
296.360168,170.281113,-40.163952
296.360168,168.935791,-38.726902
296.360168,167.590469,-37.289852
296.360168,166.245148,-35.852802
296.360168,164.899826,-34.415752
296.360168,163.554504,-32.978703
296.360168,162.209183,-31.541653
296.360168,160.863861,-30.104603
296.360168,159.518539,-28.667553
295.824036,173.808350,-46.299599
295.824036,172.463028,-44.862549
295.824036,171.117706,-43.425499
295.824036,169.772385,-41.988449
295.824036,168.427063,-40.551399
295.824036,167.081741,-39.114349
295.824036,165.736420,-37.677299
295.824036,164.391098,-36.240250
295.824036,163.045776,-34.803200
295.824036,161.700455,-33.366150
295.824036,160.355133,-31.929100
295.824036,159.009811,-30.492050
295.287903,171.954315,-46.687042
295.287903,170.608994,-45.249992
295.287903,169.263672,-43.812943
295.287903,167.918350,-42.375893
295.287903,166.573029,-40.938843
295.287903,165.227707,-39.501793
295.287903,163.882385,-38.064743
295.287903,162.537064,-36.627693
295.287903,161.191742,-35.190643
295.287903,159.846420,-33.753593
294.751801,170.100281,-47.074486
294.751801,168.754959,-45.637436
294.751801,167.409637,-44.200386
294.751801,166.064316,-42.763336
294.751801,164.718994,-41.326286
294.751801,163.373672,-39.889236
294.751801,162.028351,-38.452187
294.751801,160.683029,-37.015137
294.751801,159.337708,-35.578087
294.215668,168.246246,-47.461933
294.215668,166.900925,-46.024883
294.215668,165.555603,-44.587833
294.215668,164.210281,-43.150784
294.215668,162.864960,-41.713734
294.215668,161.519638,-40.276684
294.215668,160.174316,-38.839634
294.215668,158.828995,-37.402584
293.679535,166.392197,-47.849377
293.679535,165.046875,-46.412327
293.679535,163.701553,-44.975277
293.679535,162.356232,-43.538227
293.679535,161.010910,-42.101177
293.679535,159.665588,-40.664127
293.143402,164.538162,-48.236824
293.143402,163.192841,-46.799774
293.143402,161.847519,-45.362724
293.143402,160.502197,-43.925674
293.143402,159.156876,-42.488625
292.607269,162.684128,-48.624268
292.607269,161.338806,-47.187218
292.607269,159.993484,-45.750168
292.607269,158.648163,-44.313118
292.071136,160.830078,-49.011711
292.071136,159.484756,-47.574661
