tx,ty,tz
258.467926,64.630539,80.056114
260.342255,65.117813,79.703308
262.216583,65.605087,79.350502
264.090912,66.092361,78.997696
265.965240,66.579636,78.644890
267.839569,67.066910,78.292084
269.713898,67.554184,77.939278
271.588226,68.041458,77.586472
273.462555,68.528732,77.233665
275.336884,69.016006,76.880859
277.211212,69.503281,76.528053
279.085541,69.990555,76.175247
280.959869,70.477829,75.822441
282.834198,70.965103,75.469635
284.708527,71.452377,75.116829
286.582855,71.939651,74.764023
288.457184,72.426926,74.411217
290.331512,72.914200,74.058411
292.205841,73.401474,73.705605
294.080170,73.888748,73.352798
295.954498,74.376022,72.999992
297.828827,74.863297,72.647186
299.703156,75.350571,72.294380
301.577484,75.837845,71.941574
303.451813,76.325119,71.588768
305.326141,76.812393,71.235962
307.200470,77.299667,70.883156
309.074799,77.786942,70.530350
310.949127,78.274216,70.177544
312.823456,78.761490,69.824738
314.697784,79.248764,69.471931
316.572113,79.736038,69.119125
318.446442,80.223312,68.766319
320.320770,80.710587,68.413513
322.195099,81.197861,68.060707
324.069427,81.685135,67.707901
325.943756,82.172409,67.355095
327.818085,82.659683,67.002289
329.692413,83.146957,66.649483
331.566742,83.634232,66.296677
333.441071,84.121506,65.943871
259.771362,63.238853,79.566940
261.645691,63.726124,79.214134
263.520020,64.213394,78.861328
265.394348,64.700668,78.508522
267.268677,65.187943,78.155716
269.143005,65.675217,77.802910
271.017334,66.162491,77.450104
272.891663,66.649765,77.097298
274.765991,67.137039,76.744492
276.640320,67.624313,76.391685
278.514648,68.111588,76.038879
280.388977,68.598862,75.686073
282.263306,69.086136,75.333267
284.137634,69.573410,74.980461
286.011963,70.060684,74.627655
287.886292,70.547958,74.274849
289.760620,71.035233,73.922043
291.634949,71.522507,73.569237
293.509277,72.009781,73.216431
295.383606,72.497055,72.863625
297.257935,72.984329,72.510818
299.132263,73.471603,72.158012
301.006592,73.958878,71.805206
302.880920,74.446152,71.452400
304.755249,74.933426,71.099594
306.629578,75.420700,70.746788
308.503906,75.907974,70.393982
310.378235,76.395248,70.041176
312.252563,76.882523,69.688370
314.126892,77.369797,69.335564
316.001221,77.857071,68.982758
317.875549,78.344345,68.629951
319.749878,78.831619,68.277145
321.624207,79.318893,67.924339
323.498535,79.806168,67.571533
325.372864,80.293442,67.218727
327.247192,80.780716,66.865921
329.121521,81.267990,66.513115
330.995850,81.755264,66.160309
332.870178,82.242538,65.807503
259.200470,61.359894,79.430565
261.074799,61.847164,79.077759
262.949127,62.334435,78.724953
264.823456,62.821705,78.372147
266.697784,63.308975,78.019341
268.572113,63.796246,77.666534
270.446442,64.283516,77.313728
272.320770,64.770790,76.960922
