tx,ty,tz
249.591370,74.747993,82.246300
250.359833,76.470146,81.681801
251.128296,78.192299,81.117302
251.896759,79.914452,80.552803
252.665222,81.636604,79.988304
253.433685,83.358757,79.423805
254.202148,85.080910,78.859306
254.970612,86.803062,78.294807
255.739075,88.525215,77.730309
256.507538,90.247368,77.165810
257.276001,91.969521,76.601311
258.044464,93.691673,76.036812
258.812927,95.413826,75.472313
259.581390,97.135979,74.907814
260.349854,98.858131,74.343315
261.118317,100.580284,73.778816
261.886780,102.302437,73.214317
262.655243,104.024590,72.649818
263.423706,105.746742,72.085320
264.192169,107.468895,71.520821
264.960632,109.191048,70.956322
265.729095,110.913200,70.391823
266.497559,112.635353,69.827324
267.266022,114.357506,69.262825
268.034485,116.079659,68.698326
268.802948,117.801811,68.133827
269.571411,119.523964,67.569328
270.339874,121.246117,67.004829
271.108337,122.968269,66.440331
271.876801,124.690422,65.875832
272.645264,126.412575,65.311333
273.413727,128.134720,64.746834
274.182190,129.856873,64.182335
274.950653,131.579025,63.617836
275.719116,133.301178,63.053337
276.487579,135.023331,62.488838
277.256042,136.745483,61.924339
278.024506,138.467636,61.359840
278.792969,140.189789,60.795341
279.561432,141.911942,60.230843
280.329895,143.634094,59.666344
281.098358,145.356247,59.101845
281.866821,147.078400,58.537346
282.635284,148.800552,57.972847
283.403748,150.522705,57.408348
249.463394,78.154213,82.166908
250.231857,79.876366,81.602409
251.000320,81.598518,81.037910
251.768784,83.320671,80.473412
252.537247,85.042824,79.908913
253.305710,86.764977,79.344414
254.074173,88.487129,78.779915
254.842636,90.209282,78.215416
255.611099,91.931435,77.650917
256.379578,93.653587,77.086418
257.148041,95.375740,76.521919
257.916504,97.097893,75.957420
258.684967,98.820045,75.392921
259.453430,100.542198,74.828423
260.221893,102.264351,74.263924
260.990356,103.986504,73.699425
261.758820,105.708656,73.134926
262.527283,107.430809,72.570427
263.295746,109.152962,72.005928
264.064209,110.875114,71.441429
264.832672,112.597267,70.876930
265.601135,114.319420,70.312431
266.369598,116.041573,69.747932
267.138062,117.763725,69.183434
267.906525,119.485878,68.618935
268.674988,121.208031,68.054436
269.443451,122.930183,67.489937
270.211914,124.652336,66.925438
270.980377,126.374489,66.360939
271.748840,128.096634,65.796440
272.517303,129.818787,65.231941
273.285767,131.540939,64.667442
274.054230,133.263092,64.102943
274.822693,134.985245,63.538445
275.591156,136.707397,62.973946
276.359619,138.429550,62.409447
277.128082,140.151703,61.844948
277.896545,141.873856,61.280449
