tx,ty,tz
236.212128,61.678520,83.972046
234.642426,60.502419,84.138802
233.072723,59.326317,84.305557
231.503021,58.150215,84.472313
229.933319,56.974113,84.639069
228.363617,55.798012,84.805824
226.793915,54.621910,84.972580
225.224213,53.445808,85.139336
223.654510,52.269707,85.306091
222.084808,51.093605,85.472847
220.515106,49.917503,85.639603
218.945404,48.741402,85.806358
217.375702,47.565300,85.973114
215.806000,46.389198,86.139870
214.236298,45.213097,86.306625
212.666595,44.036995,86.473381
211.096893,42.860893,86.640137
209.527191,41.684792,86.806892
207.957489,40.508690,86.973648
206.387787,39.332588,87.140404
204.818085,38.156487,87.307159
203.248383,36.980385,87.473915
201.678680,35.804283,87.640671
200.108978,34.628181,87.807426
198.539276,33.452080,87.974182
196.969574,32.275978,88.140938
195.399872,31.099876,88.307693
193.830170,29.923775,88.474449
192.260468,28.747673,88.641205
190.690765,27.571571,88.807961
189.121063,26.395470,88.974716
187.551361,25.219368,89.141472
232.857452,61.278931,84.431915
231.287750,60.102829,84.598671
229.718048,58.926727,84.765427
228.148346,57.750626,84.932182
226.578644,56.574524,85.098938
225.008942,55.398422,85.265694
223.439240,54.222321,85.432449
221.869537,53.046219,85.599205
220.299835,51.870117,85.765961
218.730133,50.694016,85.932716
217.160431,49.517914,86.099472
215.590729,48.341812,86.266228
214.021027,47.165710,86.432983
212.451324,45.989609,86.599739
210.881622,44.813507,86.766495
209.311920,43.637405,86.933250
207.742218,42.461304,87.100006
206.172516,41.285202,87.266762
204.602814,40.109100,87.433517
203.033112,38.932999,87.600273
201.463409,37.756897,87.767029
199.893707,36.580795,87.933784
198.324005,35.404694,88.100540
196.754303,34.228592,88.267296
195.184601,33.052490,88.434052
193.614899,31.876389,88.600807
192.045197,30.700287,88.767563
190.475494,29.524185,88.934319
188.905792,28.348083,89.101074
229.502762,60.879341,84.891785
227.933060,59.703239,85.058540
226.363358,58.527138,85.225296
224.793655,57.351036,85.392052
223.223953,56.174934,85.558807
221.654251,54.998833,85.725563
220.084549,53.822731,85.892319
218.514847,52.646629,86.059074
216.945145,51.470528,86.225830
215.375443,50.294426,86.392586
213.805740,49.118324,86.559341
212.236038,47.942223,86.726097
210.666336,46.766121,86.892853
209.096634,45.590019,87.059608
207.526932,44.413918,87.226364
205.957230,43.237816,87.393120
204.387527,42.061714,87.559875
202.817825,40.885612,87.726631
201.248123,39.709511,87.893387
199.678421,38.533409,88.060143
198.108719,37.357307,88.226898
196.539017,36.181206,88.393654
194.969315,35.005104,88.560410
193.399612,33.829002,88.727165
191.829910,32.652901,88.893921
227.717804,61.655853,85.184898
226.148102,60.479752,85.351654
224.578400,59.303650,85.518410
223.008698,58.127548,85.685165
221.438995,56.951447,85.851921
219.869293,55.775345,86.018677
218.299591,54.599243,86.185432
216.729889,53.423141,86.352188
215.160187,52.247040,86.518944
213.590485,51.070938,86.685699
212.020782,49.894836,86.852455
210.451080,48.718735,87.019211
208.881378,47.542633,87.185966
207.311676,46.366531,87.352722
205.741974,45.190430,87.519478
204.172272,44.014328,87.686234
202.602570,42.838226,87.852989
201.032867,41.662125,88.019745
199.463165,40.486023,88.186501
197.893463,39.309921,88.353256
196.323761,38.133820,88.520012
194.754059,36.957718,88.686768
224.363113,61.256264,85.644768
222.793411,60.080162,85.811523
221.223709,58.904060,85.978279
219.654007,57.727959,86.145035
218.084305,56.551857,86.311790
216.514603,55.375755,86.478546
214.944901,54.199654,86.645302
213.375198,53.023552,86.812057
211.805496,51.847450,86.978813
210.235794,50.671349,87.145569
208.666092,49.495247,87.312325
207.096390,48.319145,87.479080
205.526688,47.143044,87.645836
203.956985,45.966942,87.812592
202.387283,44.790840,87.979347
200.817581,43.614738,88.146103
199.247879,42.438637,88.312859
197.678177,41.262535,88.479614
196.108475,40.086433,88.646370
221.008438,60.856670,86.104637
219.438736,59.680569,86.271393
217.869034,58.504467,86.438148
216.299332,57.328365,86.604904
214.729630,56.152264,86.771660
213.159927,54.976162,86.938416
211.590225,53.800060,87.105171
210.020523,52.623959,87.271927
208.450821,51.447857,87.438683
206.881119,50.271755,87.605438
205.311417,49.095654,87.772194
203.741714,47.919552,87.938950
202.172012,46.743450,88.105705
200.602310,45.567348,88.272461
199.032608,44.391247,88.439217
217.653763,60.457081,86.564507
216.084061,59.280979,86.731262
214.514359,58.104877,86.898018
212.944656,56.928776,87.064774
211.374954,55.752674,87.231529
209.805252,54.576572,87.398285
208.235550,53.400471,87.565041
206.665848,52.224369,87.731796
205.096146,51.048267,87.898552
203.526443,49.872166,88.065308
201.956741,48.696064,88.232063
200.387039,47.519962,88.398819
215.868790,61.233593,86.857620
214.299088,60.057491,87.024376
212.729385,58.881390,87.191132
211.159683,57.705288,87.357887
209.589981,56.529186,87.524643
208.020279,55.353085,87.691399
206.450577,54.176983,87.858154
204.880875,53.000881,88.024910
203.311172,51.824780,88.191666
212.514114,60.834003,87.317490
210.944412,59.657902,87.484245
209.374710,58.481800,87.651001
207.805008,57.305698,87.817757
206.235306,56.129597,87.984512
210.729141,61.610516,87.610596
209.159439,60.434414,87.777351
207.589737,59.258312,87.944107
