tx,ty,tz
197.673447,58.090065,89.340393
198.387161,59.924629,89.340393
199.100876,61.759193,89.340393
199.814590,63.593758,89.340393
200.528305,65.428322,89.340393
201.242020,67.262886,89.340393
201.955734,69.097450,89.340393
202.669449,70.932014,89.340393
203.383163,72.766579,89.340393
204.096878,74.601143,89.340393
204.810593,76.435707,89.340393
205.524307,78.270271,89.340393
206.238022,80.104836,89.340393
206.951736,81.939400,89.340393
207.665451,83.773964,89.340393
208.379166,85.608528,89.340393
209.092880,87.443092,89.340393
209.806595,89.277657,89.340393
210.520309,91.112221,89.340393
211.234024,92.946785,89.340393
211.947739,94.781349,89.340393
212.661453,96.615913,89.340393
213.375168,98.450478,89.340393
214.088882,100.285042,89.340393
214.802597,102.119606,89.340393
215.516312,103.954170,89.340393
216.230026,105.788734,89.340393
216.943741,107.623299,89.340393
217.657455,109.457863,89.340393
218.371170,111.292427,89.340393
219.084885,113.126991,89.340393
219.798599,114.961555,89.340393
220.512314,116.796120,89.340393
221.226028,118.630684,89.340393
221.939743,120.465248,89.340393
222.653458,122.299812,89.340393
223.367172,124.134377,89.340393
224.080887,125.968941,89.340393
224.794601,127.803505,89.340393
225.508316,129.638062,89.340393
226.222031,131.472626,89.340393
226.935745,133.307190,89.340393
227.649460,135.141754,89.340393
228.363174,136.976318,89.340393
229.076889,138.810883,89.340393
229.790604,140.645447,89.340393
230.504318,142.480011,89.340393
231.218033,144.314575,89.340393
199.600235,58.396587,89.078598
200.313950,60.231152,89.078598
201.027664,62.065716,89.078598
201.741379,63.900280,89.078598
202.455093,65.734840,89.078598
203.168808,67.569405,89.078598
203.882523,69.403969,89.078598
204.596237,71.238533,89.078598
205.309952,73.073097,89.078598
206.023666,74.907661,89.078598
206.737381,76.742226,89.078598
207.451096,78.576790,89.078598
208.164810,80.411354,89.078598
208.878525,82.245918,89.078598
209.592239,84.080482,89.078598
210.305954,85.915047,89.078598
211.019669,87.749611,89.078598
211.733383,89.584175,89.078598
212.447098,91.418739,89.078598
213.160812,93.253304,89.078598
213.874527,95.087868,89.078598
214.588242,96.922432,89.078598
215.301956,98.756996,89.078598
216.015671,100.591560,89.078598
216.729385,102.426125,89.078598
217.443100,104.260689,89.078598
218.156815,106.095253,89.078598
218.870529,107.929817,89.078598
219.584244,109.764381,89.078598
220.297958,111.598946,89.078598
221.011673,113.433510,89.078598
221.725388,115.268074,89.078598
222.439102,117.102638,89.078598
223.152817,118.937202,89.078598
223.866531,120.771767,89.078598
224.580246,122.606331,89.078598
225.293961,124.440895,89.078598
