tx,ty,tz
191.114258,61.190456,88.413551
190.468735,62.931488,87.760017
189.823212,64.672523,87.106483
189.177689,66.413559,86.452950
188.532166,68.154594,85.799416
187.886642,69.895630,85.145882
187.241119,71.636665,84.492348
186.595596,73.377701,83.838814
185.950073,75.118736,83.185280
185.304550,76.859772,82.531746
184.659027,78.600807,81.878212
184.013504,80.341843,81.224678
183.367981,82.082878,80.571144
182.722458,83.823914,79.917610
182.076935,85.564949,79.264076
181.431412,87.305984,78.610542
180.785889,89.047020,77.957008
180.140366,90.788055,77.303474
179.494843,92.529091,76.649940
178.849319,94.270126,75.996407
178.203796,96.011162,75.342873
177.558273,97.752197,74.689339
176.912750,99.493233,74.035805
176.267227,101.234268,73.382271
175.621704,102.975304,72.728737
174.976181,104.716339,72.075203
174.330658,106.457375,71.421669
173.685135,108.198410,70.768135
173.039612,109.939445,70.114601
172.394089,111.680481,69.461067
171.748566,113.421516,68.807533
171.103043,115.162552,68.153999
170.457520,116.903587,67.500465
169.811996,118.644623,66.846931
169.166473,120.385658,66.193398
168.520950,122.126694,65.539864
167.875427,123.867729,64.886330
167.229904,125.608765,64.232796
166.584381,127.349800,63.579262
165.938858,129.090836,62.925728
165.293335,130.831863,62.272194
164.647812,132.572891,61.618660
164.002289,134.313919,60.965126
163.356766,136.054947,60.311592
162.711243,137.795975,59.658058
162.065720,139.537003,59.004524
161.420197,141.278030,58.350990
160.774673,143.019058,57.697456
160.129150,144.760086,57.043922
159.483627,146.501114,56.390388
158.838104,148.242142,55.736855
192.219772,62.801956,88.649994
191.574249,64.542992,87.996460
190.928726,66.284027,87.342926
190.283203,68.025063,86.689392
189.637680,69.766098,86.035858
188.992157,71.507133,85.382324
188.346634,73.248169,84.728790
187.701111,74.989204,84.075256
187.055588,76.730240,83.421722
186.410065,78.471275,82.768188
185.764542,80.212311,82.114655
185.119019,81.953346,81.461121
184.473495,83.694382,80.807587
183.827972,85.435417,80.154053
183.182449,87.176453,79.500519
182.536926,88.917488,78.846985
181.891403,90.658524,78.193451
181.245880,92.399559,77.539917
180.600357,94.140594,76.886383
179.954834,95.881630,76.232849
179.309311,97.622665,75.579315
178.663788,99.363701,74.925781
178.018265,101.104736,74.272247
177.372742,102.845772,73.618713
176.727219,104.586807,72.965179
176.081696,106.327843,72.311646
175.436172,108.068878,71.658112
174.790649,109.809914,71.004578
174.145126,111.550949,70.351044
173.499603,113.291985,69.697510
172.854080,115.033020,69.043976
172.208557,116.774055,68.390442
171.563034,118.515091,67.736908
170.917511,120.256126,67.083374
170.271988,121.997162,66.429840
169.626465,123.738197,65.776306
168.980942,125.479233,65.122772
168.335419,127.220268,64.469238
167.689896,128.961304,63.815704
167.044373,130.702332,63.162170
166.398849,132.443359,62.508636
165.753326,134.184387,61.855103
165.107803,135.925415,61.201569
164.462280,137.666443,60.548035
163.816757,139.407471,59.894501
163.171234,141.148499,59.240967
162.525711,142.889526,58.587433
161.880188,144.630554,57.933899
161.234665,146.371582,57.280365
160.589142,148.112610,56.626831
159.943619,149.853638,55.973297
193.325287,64.413452,88.886436
192.679764,66.154488,88.232903
192.034241,67.895523,87.579369
191.388718,69.636559,86.925835
190.743195,71.377594,86.272301
190.097672,73.118629,85.618767
189.452148,74.859665,84.965233
188.806625,76.600700,84.311699
188.161102,78.341736,83.658165
187.515579,80.082771,83.004631
186.870056,81.823807,82.351097
186.224533,83.564842,81.697563
185.579010,85.305878,81.044029
184.933487,87.046913,80.390495
184.287964,88.787949,79.736961
183.642441,90.528984,79.083427
182.996918,92.270020,78.429893
182.351395,94.011055,77.776360
181.705872,95.752090,77.122826
181.060349,97.493126,76.469292
180.414825,99.234161,75.815758
179.769302,100.975197,75.162224
179.123779,102.716232,74.508690
178.478256,104.457268,73.855156
177.832733,106.198303,73.201622
177.187210,107.939339,72.548088
176.541687,109.680374,71.894554
175.896164,111.421410,71.241020
175.250641,113.162445,70.587486
174.605118,114.903481,69.933952
173.959595,116.644516,69.280418
173.314072,118.385551,68.626884
172.668549,120.126587,67.973351
172.023026,121.867622,67.319817
171.377502,123.608658,66.666283
170.731979,125.349693,66.012749
170.086456,127.090729,65.359215
169.440933,128.831757,64.705681
168.795410,130.572784,64.052147
168.149887,132.313812,63.398613
167.504364,134.054840,62.745079
166.858841,135.795868,62.091545
166.213318,137.536896,61.438011
165.567795,139.277924,60.784477
164.922272,141.018951,60.130943
164.276749,142.759979,59.477409
163.631226,144.501007,58.823875
162.985703,146.242035,58.170341
162.340179,147.983063,57.516808
161.694656,149.724091,56.863274
161.049133,151.465118,56.209740
193.785278,67.765984,88.469337
193.139755,69.507019,87.815804
192.494232,71.248055,87.162270
191.848709,72.989090,86.508736
