tx,ty,tz
223.482803,160.255295,85.434715
221.718140,160.258026,84.562386
219.953476,160.260757,83.690056
218.188812,160.263489,82.817726
216.424149,160.266220,81.945396
214.659485,160.268951,81.073067
212.894821,160.271683,80.200737
211.130157,160.274414,79.328407
209.365494,160.277145,78.456078
207.600830,160.279877,77.583748
205.836166,160.282608,76.711418
204.071503,160.285339,75.839088
202.306839,160.288071,74.966759
200.542175,160.290802,74.094429
198.777512,160.293533,73.222099
197.012848,160.296265,72.349770
195.248184,160.298996,71.477440
193.483521,160.301727,70.605110
191.718857,160.304459,69.732780
189.954193,160.307190,68.860451
188.189529,160.309921,67.988121
186.424866,160.312653,67.115791
184.660202,160.315384,66.243462
182.895538,160.318115,65.371132
181.130875,160.320847,64.498802
179.366211,160.323578,63.626472
177.601547,160.326309,62.754143
175.836884,160.329041,61.881813
174.072220,160.331772,61.009483
172.307556,160.334503,60.137154
170.542892,160.337234,59.264824
168.778229,160.339966,58.392494
167.013565,160.342697,57.520164
165.248901,160.345428,56.647835
163.484238,160.348160,55.775505
161.719574,160.350891,54.903175
222.720123,161.940659,84.761757
220.955460,161.943390,83.889427
219.190796,161.946121,83.017097
217.426132,161.948853,82.144768
215.661469,161.951584,81.272438
213.896805,161.954315,80.400108
212.132141,161.957047,79.527779
210.367477,161.959778,78.655449
208.602814,161.962509,77.783119
206.838150,161.965240,76.910789
205.073486,161.967972,76.038460
203.308823,161.970703,75.166130
201.544159,161.973434,74.293800
199.779495,161.976166,73.421471
198.014832,161.978897,72.549141
196.250168,161.981628,71.676811
194.485504,161.984360,70.804482
192.720840,161.987091,69.932152
190.956177,161.989822,69.059822
189.191513,161.992554,68.187492
187.426849,161.995285,67.315163
185.662186,161.998016,66.442833
183.897522,162.000748,65.570503
182.132858,162.003479,64.698174
180.368195,162.006210,63.825844
178.603531,162.008942,62.953514
176.838867,162.011673,62.081184
175.074203,162.014404,61.208855
173.309540,162.017136,60.336525
171.544876,162.019867,59.464195
169.780212,162.022598,58.591866
168.015549,162.025330,57.719536
166.250885,162.028061,56.847206
164.486221,162.030792,55.974876
162.721558,162.033524,55.102547
221.957443,163.626022,84.088799
220.192780,163.628754,83.216469
218.428116,163.631485,82.344139
216.663452,163.634216,81.471809
214.898788,163.636948,80.599480
213.134125,163.639679,79.727150
211.369461,163.642410,78.854820
209.604797,163.645142,77.982491
207.840134,163.647873,77.110161
206.075470,163.650604,76.237831
204.310806,163.653336,75.365501
202.546143,163.656067,74.493172
200.781479,163.658798,73.620842
199.016815,163.661530,72.748512
197.252151,163.664261,71.876183
195.487488,163.666992,71.003853
193.722824,163.669724,70.131523
191.958160,163.672455,69.259193
190.193497,163.675186,68.386864
188.428833,163.677917,67.514534
186.664169,163.680649,66.642204
184.899506,163.683380,65.769875
183.134842,163.686111,64.897545
181.370178,163.688843,64.025215
179.605515,163.691574,63.152885
177.840851,163.694305,62.280556
176.076187,163.697037,61.408226
174.311523,163.699768,60.535896
172.546860,163.702499,59.663567
170.782196,163.705231,58.791237
169.017532,163.707962,57.918907
167.252869,163.710693,57.046577
165.488205,163.713425,56.174248
221.194763,165.311386,83.415840
219.430099,165.314117,82.543510
217.665436,165.316849,81.671181
215.900772,165.319580,80.798851
214.136108,165.322311,79.926521
212.371445,165.325043,79.054192
210.606781,165.327774,78.181862
208.842117,165.330505,77.309532
207.077454,165.333237,76.437202
205.312790,165.335968,75.564873
203.548126,165.338699,74.692543
201.783463,165.341431,73.820213
200.018799,165.344162,72.947884
198.254135,165.346893,72.075554
196.489471,165.349625,71.203224
194.724808,165.352356,70.330894
192.960144,165.355087,69.458565
191.195480,165.357819,68.586235
189.430817,165.360550,67.713905
187.666153,165.363281,66.841576
185.901489,165.366013,65.969246
184.136826,165.368744,65.096916
182.372162,165.371475,64.224586
180.607498,165.374207,63.352257
178.842834,165.376938,62.479927
177.078171,165.379669,61.607597
175.313507,165.382401,60.735268
173.548843,165.385132,59.862938
171.784180,165.387863,58.990608
170.019516,165.390594,58.118279
168.254852,165.393326,57.245949
222.196747,166.994034,83.615211
220.432083,166.996765,82.742882
218.667419,166.999496,81.870552
216.902756,167.002228,80.998222
215.138092,167.004959,80.125893
213.373428,167.007690,79.253563
211.608765,167.010422,78.381233
209.844101,167.013153,77.508904
208.079437,167.015884,76.636574
206.314774,167.018616,75.764244
204.550110,167.021347,74.891914
202.785446,167.024078,74.019585
201.020782,167.026810,73.147255
199.256119,167.029541,72.274925
197.491455,167.032272,71.402596
195.726791,167.035004,70.530266
193.962128,167.037735,69.657936
192.197464,167.040466,68.785606
190.432800,167.043198,67.913277
188.668137,167.045929,67.040947
186.903473,167.048660,66.168617
185.138809,167.051392,65.296288
183.374146,167.054123,64.423958
181.609482,167.056854,63.551628
179.844818,167.059586,62.679298
178.080154,167.062317,61.806969
176.315491,167.065048,60.934639
174.550827,167.067780,60.062309
172.786163,167.070511,59.189980
171.021500,167.073242,58.317650
221.434082,168.679398,82.942253
219.669418,168.682129,82.069923
217.904755,168.684860,81.197594
216.140091,168.687592,80.325264
214.375427,168.690323,79.452934
212.610764,168.693054,78.580605
210.846100,168.695786,77.708275
209.081436,168.698517,76.835945
207.316772,168.701248,75.963615
205.552109,168.703979,75.091286
203.787445,168.706711,74.218956
202.022781,168.709442,73.346626
200.258118,168.712173,72.474297
198.493454,168.714905,71.601967
196.728790,168.717636,70.729637
194.964127,168.720367,69.857307
193.199463,168.723099,68.984978
191.434799,168.725830,68.112648
189.670135,168.728561,67.240318
187.905472,168.731293,66.367989
186.140808,168.734024,65.495659
184.376144,168.736755,64.623329
182.611481,168.739487,63.750999
180.846817,168.742218,62.878670
179.082153,168.744949,62.006340
177.317490,168.747681,61.134010
175.552826,168.750412,60.261681
173.788162,168.753143,59.389351
220.671402,170.364761,82.269295
218.906738,170.367493,81.396965
217.142075,170.370224,80.524635
215.377411,170.372955,79.652306
213.612747,170.375687,78.779976
211.848083,170.378418,77.907646
210.083420,170.381149,77.035316
208.318756,170.383881,76.162987
206.554092,170.386612,75.290657
204.789429,170.389343,74.418327
203.024765,170.392075,73.545998
201.260101,170.394806,72.673668
199.495438,170.397537,71.801338
197.730774,170.400269,70.929008
195.966110,170.403000,70.056679
194.201447,170.405731,69.184349
192.436783,170.408463,68.312019
190.672119,170.411194,67.439690
188.907455,170.413925,66.567360
187.142792,170.416656,65.695030
185.378128,170.419388,64.822701
183.613464,170.422119,63.950371
181.848801,170.424850,63.078041
180.084137,170.427582,62.205711
178.319473,170.430313,61.333382
176.554810,170.433044,60.461052
219.908722,172.050125,81.596336
218.144058,172.052856,80.724007
216.379395,172.055588,79.851677
214.614731,172.058319,78.979347
212.850067,172.061050,78.107018
211.085403,172.063782,77.234688
209.320740,172.066513,76.362358
207.556076,172.069244,75.490028
205.791412,172.071976,74.617699
204.026749,172.074707,73.745369
202.262085,172.077438,72.873039
200.497421,172.080170,72.000710
198.732758,172.082901,71.128380
196.968094,172.085632,70.256050
195.203430,172.088364,69.383720
193.438766,172.091095,68.511391
191.674103,172.093826,67.639061
189.909439,172.096558,66.766731
188.144775,172.099289,65.894402
186.380112,172.102020,65.022072
184.615448,172.104752,64.149742
182.850784,172.107483,63.277412
181.086121,172.110214,62.405083
179.321457,172.112946,61.532753
219.146042,173.735489,80.923378
217.381378,173.738220,80.051048
215.616714,173.740952,79.178719
213.852051,173.743683,78.306389
212.087387,173.746414,77.434059
210.322723,173.749146,76.561729
208.558060,173.751877,75.689400
206.793396,173.754608,74.817070
205.028732,173.757339,73.944740
203.264069,173.760071,73.072411
201.499405,173.762802,72.200081
199.734741,173.765533,71.327751
197.970078,173.768265,70.455421
196.205414,173.770996,69.583092
194.440750,173.773727,68.710762
192.676086,173.776459,67.838432
190.911423,173.779190,66.966103
189.146759,173.781921,66.093773
187.382095,173.784653,65.221443
185.617432,173.787384,64.349113
183.852768,173.790115,63.476784
182.088104,173.792847,62.604454
220.148026,175.418137,81.122749
218.383362,175.420868,80.250420
216.618698,175.423599,79.378090
214.854034,175.426331,78.505760
213.089371,175.429062,77.633430
211.324707,175.431793,76.761101
209.560043,175.434525,75.888771
207.795380,175.437256,75.016441
206.030716,175.439987,74.144112
204.266052,175.442719,73.271782
202.501389,175.445450,72.399452
