tx,ty,tz
174.751068,51.664730,90.000000
172.845886,51.169441,90.000000
170.940704,50.674152,90.000000
169.035522,50.178864,90.000000
167.130341,49.683575,90.000000
165.225159,49.188286,90.000000
163.319977,48.692997,90.000000
161.414795,48.197708,90.000000
159.509613,47.702419,90.000000
157.604431,47.207130,90.000000
155.699249,46.711842,90.000000
153.794067,46.216553,90.000000
151.888885,45.721264,90.000000
149.983704,45.225975,90.000000
148.078522,44.730686,90.000000
146.173340,44.235397,90.000000
144.268158,43.740108,90.000000
142.362976,43.244820,90.000000
140.457794,42.749531,90.000000
138.552612,42.254242,90.000000
136.647430,41.758953,90.000000
134.742249,41.263664,90.000000
132.837067,40.768375,90.000000
130.931885,40.273087,90.000000
129.026703,39.777798,90.000000
127.121529,39.282509,90.000000
125.216354,38.787220,90.000000
123.311180,38.291931,90.000000
121.406006,37.796642,90.000000
119.500832,37.301353,90.000000
117.595657,36.806065,90.000000
115.690483,36.310776,90.000000
113.785309,35.815487,90.000000
111.880135,35.320198,90.000000
109.974960,34.824909,90.000000
108.069786,34.329620,90.000000
106.164612,33.834332,90.000000
104.259438,33.339043,90.000000
102.354263,32.843754,90.000000
100.449089,32.348465,90.000000
98.543915,31.853176,90.000000
96.638741,31.357887,90.000000
94.733566,30.862598,90.000000
92.828392,30.367310,90.000000
90.923218,29.872021,90.000000
89.018044,29.376732,90.000000
87.112869,28.881443,90.000000
85.207695,28.386154,90.000000
83.302521,27.890865,90.000000
81.397346,27.395576,90.000000
79.492172,26.900288,90.000000
77.586998,26.404999,90.000000
75.681824,25.909710,90.000000
73.776649,25.414421,90.000000
71.871475,24.919132,90.000000
69.966301,24.423843,90.000000
68.061127,23.928555,90.000000
66.155952,23.433266,90.000000
64.250778,22.937977,90.000000
62.345600,22.442688,90.000000
60.440422,21.947399,90.000000
58.535244,21.452110,90.000000
56.630066,20.956821,90.000000
54.724888,20.461533,90.000000
169.559204,52.076439,90.000000
167.654022,51.581150,90.000000
165.748840,51.085861,90.000000
163.843658,50.590572,90.000000
161.938477,50.095284,90.000000
160.033295,49.599995,90.000000
158.128113,49.104706,90.000000
156.222931,48.609417,90.000000
154.317749,48.114128,90.000000
