tx,ty,tz
-175.692230,51.906574,87.354980
-173.787354,51.411362,87.389488
-171.882477,50.916149,87.423996
-169.977600,50.420937,87.458504
-168.072723,49.925724,87.493011
-166.167847,49.430511,87.527519
-164.262970,48.935299,87.562027
-162.358093,48.440086,87.596535
-160.453217,47.944874,87.631042
-158.548340,47.449661,87.665550
-156.643463,46.954449,87.700058
-154.738586,46.459236,87.734566
-152.833710,45.964024,87.769073
-150.928833,45.468811,87.803581
-149.023956,44.973598,87.838089
-147.119080,44.478386,87.872597
-145.214203,43.983173,87.907104
-143.309326,43.487961,87.941612
-141.404449,42.992748,87.976120
-139.499573,42.497536,88.010628
-137.594696,42.002323,88.045135
-135.689819,41.507111,88.079643
-133.784943,41.011898,88.114151
-131.880066,40.516685,88.148659
-129.975189,40.021473,88.183167
-128.070313,39.526260,88.217674
-126.165428,39.031048,88.252182
-124.260544,38.535835,88.286690
-122.355659,38.040623,88.321198
-120.450775,37.545410,88.355705
-118.545891,37.050198,88.390213
-116.641006,36.554985,88.424721
-114.736122,36.059772,88.459229
-112.831238,35.564560,88.493736
-110.926353,35.069347,88.528244
-109.021469,34.574135,88.562752
-107.116585,34.078922,88.597260
-105.211700,33.583710,88.631767
-103.306816,33.088497,88.666275
-101.401932,32.593285,88.700783
-99.497047,32.098072,88.735291
-97.592163,31.602859,88.769798
-95.687279,31.107647,88.804306
-93.782394,30.612434,88.838814
-91.877510,30.117222,88.873322
-89.972626,29.622009,88.907829
-88.067741,29.126797,88.942337
-86.162857,28.631584,88.976845
-84.257973,28.136372,89.011353
-82.353088,27.641159,89.045860
-80.448204,27.145947,89.080368
-78.543320,26.650734,89.114876
-76.638435,26.155521,89.149384
-74.733551,25.660309,89.183891
-72.828667,25.165096,89.218399
-70.923782,24.669884,89.252907
-69.018898,24.174671,89.287415
-67.114014,23.679459,89.321922
-65.209129,23.184246,89.356430
-63.304245,22.689034,89.390938
-61.399361,22.193821,89.425446
-59.494476,21.698608,89.459953
-57.589592,21.203396,89.494461
-55.684708,20.708183,89.528969
-53.779823,20.212971,89.563477
-170.500336,52.317154,87.380379
-168.595459,51.821941,87.414886
-166.690582,51.326729,87.449394
-164.785706,50.831516,87.483902
-162.880829,50.336304,87.518410
-160.975952,49.841091,87.552917
-159.071075,49.345879,87.587425
-157.166199,48.850666,87.621933
-155.261322,48.355453,87.656441
-153.356445,47.860241,87.690948
-151.451569,47.365028,87.725456
-149.546692,46.869816,87.759964
-147.641815,46.374603,87.794472
-145.736938,45.879391,87.828979
-143.832062,45.384178,87.863487
-141.927185,44.888966,87.897995
-140.022308,44.393753,87.932503
-138.117432,43.898540,87.967010
-136.212555,43.403328,88.001518
-134.307678,42.908115,88.036026
-132.402802,42.412903,88.070534
-130.497925,41.917690,88.105042
-128.593048,41.422478,88.139549
-126.688164,40.927265,88.174057
-124.783279,40.432053,88.208565
-122.878395,39.936840,88.243073
-120.973511,39.441628,88.277580
-119.068626,38.946415,88.312088
-117.163742,38.451202,88.346596
-115.258858,37.955990,88.381104
-113.353973,37.460777,88.415611
-111.449089,36.965565,88.450119
-109.544205,36.470352,88.484627
-107.639320,35.975140,88.519135
-105.734436,35.479927,88.553642
-103.829552,34.984715,88.588150
-101.924667,34.489502,88.622658
-100.019783,33.994289,88.657166
-98.114899,33.499077,88.691673
-96.210014,33.003864,88.726181
-94.305130,32.508652,88.760689
-92.400246,32.013439,88.795197
-90.495361,31.518227,88.829704
-88.590477,31.023014,88.864212
-86.685593,30.527802,88.898720
-84.780708,30.032589,88.933228
-82.875824,29.537376,88.967735
-80.970940,29.042164,89.002243
-79.066055,28.546951,89.036751
-77.161171,28.051739,89.071259
-75.256287,27.556526,89.105766
-73.351402,27.061314,89.140274
-71.446518,26.566101,89.174782
-69.541634,26.070889,89.209290
-67.636749,25.575676,89.243797
-65.731865,25.080463,89.278305
-63.826981,24.585251,89.312813
-61.922096,24.090038,89.347321
-60.017212,23.594826,89.381828
-58.112328,23.099613,89.416336
-56.207443,22.604401,89.450844
-167.213318,53.222946,87.371262
-165.308441,52.727734,87.405769
-163.403564,52.232521,87.440277
-161.498688,51.737309,87.474785
-159.593811,51.242096,87.509293
-157.688934,50.746883,87.543800
-155.784058,50.251671,87.578308
-153.879181,49.756458,87.612816
-151.974304,49.261246,87.647324
-150.069427,48.766033,87.681831
-148.164551,48.270821,87.716339
-146.259674,47.775608,87.750847
-144.354797,47.280396,87.785355
-142.449921,46.785183,87.819862
-140.545044,46.289970,87.854370
-138.640167,45.794758,87.888878
-136.735291,45.299545,87.923386
-134.830414,44.804333,87.957893
-132.925537,44.309120,87.992401
-131.020660,43.813908,88.026909
-129.115784,43.318695,88.061417
-127.210899,42.823483,88.095924
-125.306015,42.328270,88.130432
-123.401131,41.833057,88.164940
-121.496246,41.337845,88.199448
-119.591362,40.842632,88.233955
-117.686478,40.347420,88.268463
-115.781593,39.852207,88.302971
-113.876709,39.356995,88.337479
-111.971825,38.861782,88.371986
-110.066940,38.366570,88.406494
-108.162056,37.871357,88.441002
-106.257172,37.376144,88.475510
-104.352287,36.880932,88.510017
-102.447403,36.385719,88.544525
-100.542519,35.890507,88.579033
-98.637634,35.395294,88.613541
-96.732750,34.900082,88.648048
-94.827866,34.404869,88.682556
-92.922981,33.909657,88.717064
-91.018097,33.414444,88.751572
-89.113213,32.919231,88.786079
-87.208328,32.424019,88.820587
-85.303444,31.928806,88.855095
-83.398560,31.433594,88.889603
-81.493675,30.938381,88.924110
-79.588791,30.443169,88.958618
-77.683907,29.947956,88.993126
-75.779022,29.452744,89.027634
-73.874138,28.957531,89.062141
-71.969254,28.462318,89.096649
-70.064369,27.967106,89.131157
-68.159485,27.471893,89.165665
-66.254601,26.976681,89.200172
-64.349716,26.481468,89.234680
-62.444832,25.986256,89.269188
-60.539948,25.491043,89.303696
-58.635063,24.995831,89.338203
-162.021423,53.633526,87.396660
-160.116547,53.138313,87.431168
-158.211670,52.643101,87.465675
-156.306793,52.147888,87.500183
-154.401917,51.652676,87.534691
-152.497040,51.157463,87.569199
-150.592163,50.662251,87.603706
-148.687286,50.167038,87.638214
-146.782410,49.671825,87.672722
-144.877533,49.176613,87.707230
-142.972656,48.681400,87.741737
-141.067780,48.186188,87.776245
-139.162903,47.690975,87.810753
-137.258026,47.195763,87.845261
-135.353149,46.700550,87.879768
-133.448273,46.205338,87.914276
-131.543396,45.710125,87.948784
-129.638519,45.214912,87.983292
-127.733635,44.719700,88.017799
-125.828751,44.224487,88.052307
-123.923866,43.729275,88.086815
-122.018982,43.234062,88.121323
-120.114098,42.738850,88.155830
-118.209213,42.243637,88.190338
-116.304329,41.748425,88.224846
-114.399445,41.253212,88.259354
-112.494560,40.757999,88.293861
-110.589676,40.262787,88.328369
-108.684792,39.767574,88.362877
-106.779907,39.272362,88.397385
-104.875023,38.777149,88.431892
-102.970139,38.281937,88.466400
-101.065254,37.786724,88.500908
-99.160370,37.291512,88.535416
-97.255486,36.796299,88.569923
-95.350601,36.301086,88.604431
-93.445717,35.805874,88.638939
-91.540833,35.310661,88.673447
-89.635948,34.815449,88.707954
-87.731064,34.320236,88.742462
-85.826180,33.825024,88.776970
-83.921295,33.329811,88.811478
-82.016411,32.834599,88.845985
-80.111526,32.339386,88.880493
-78.206642,31.844173,88.915001
-76.301758,31.348961,88.949509
-74.396873,30.853748,88.984016
-72.491989,30.358536,89.018524
-70.587105,29.863323,89.053032
-68.682220,29.368111,89.087540
-66.777336,28.872898,89.122047
