tx,ty,tz
-185.928101,24.044243,88.812828
-187.497803,25.220345,88.646072
-189.067505,26.396446,88.479317
-190.637207,27.572548,88.312561
-192.206909,28.748650,88.145805
-193.776611,29.924751,87.979050
-195.346313,31.100853,87.812294
-196.916016,32.276955,87.645538
-198.485718,33.453056,87.478783
-200.055420,34.629158,87.312027
-201.625122,35.805260,87.145271
-203.194824,36.981361,86.978516
-204.764526,38.157463,86.811760
-206.334229,39.333565,86.645004
-207.903931,40.509666,86.478249
-209.473633,41.685768,86.311493
-211.043335,42.861870,86.144737
-212.613037,44.037971,85.977982
-214.182739,45.214073,85.811226
-215.752441,46.390175,85.644470
-217.322144,47.566277,85.477715
-218.891846,48.742378,85.310959
-220.461548,49.918480,85.144203
-222.031250,51.094582,84.977448
-223.600952,52.270683,84.810692
-225.170654,53.446785,84.643936
-226.740356,54.622887,84.477180
-228.310059,55.798988,84.310425
-229.879761,56.975090,84.143669
-231.449463,58.151192,83.976913
-233.019165,59.327293,83.810158
-234.588867,60.503395,83.643402
-187.261368,27.173332,88.575768
-188.831070,28.349434,88.409012
-190.400772,29.525536,88.242256
-191.970474,30.701637,88.075500
-193.540176,31.877739,87.908745
-195.109879,33.053841,87.741989
-196.679581,34.229942,87.575233
-198.249283,35.406044,87.408478
-199.818985,36.582146,87.241722
-201.388687,37.758247,87.074966
-202.958389,38.934349,86.908211
-204.528091,40.110451,86.741455
-206.097794,41.286552,86.574699
-207.667496,42.462654,86.407944
-209.237198,43.638756,86.241188
-210.806900,44.814857,86.074432
-212.376602,45.990959,85.907677
-213.946304,47.167061,85.740921
-215.516006,48.343163,85.574165
-217.085709,49.519264,85.407410
-218.655411,50.695366,85.240654
-220.225113,51.871468,85.073898
-221.794815,53.047569,84.907143
-223.364517,54.223671,84.740387
-224.934219,55.399773,84.573631
-226.503922,56.575874,84.406876
-228.073624,57.751976,84.240120
-229.643326,58.928078,84.073364
-187.024933,29.126322,88.505463
-188.594635,30.302423,88.338707
-190.164337,31.478525,88.171951
-191.734039,32.654629,88.005196
-193.303741,33.830730,87.838440
-194.873444,35.006832,87.671684
-196.443146,36.182934,87.504929
-198.012848,37.359035,87.338173
-199.582550,38.535137,87.171417
-201.152252,39.711239,87.004662
-202.721954,40.887341,86.837906
-204.291656,42.063442,86.671150
-205.861359,43.239544,86.504395
-207.431061,44.415646,86.337639
-209.000763,45.591747,86.170883
-210.570465,46.767849,86.004128
-212.140167,47.943951,85.837372
-213.709869,49.120052,85.670616
-215.279572,50.296154,85.503860
-216.849274,51.472256,85.337105
-218.418976,52.648357,85.170349
-219.988678,53.824459,85.003593
-221.558380,55.000561,84.836838
-223.128082,56.176662,84.670082
-224.697784,57.352764,84.503326
-226.267487,58.528866,84.336571
-188.358215,32.255413,88.268402
-189.927917,33.431515,88.101646
-191.497620,34.607616,87.934891
-193.067322,35.783718,87.768135
-194.637024,36.959820,87.601379
-196.206726,38.135921,87.434624
-197.776428,39.312023,87.267868
-199.346130,40.488125,87.101112
-200.915833,41.664227,86.934357
-202.485535,42.840328,86.767601
-204.055237,44.016430,86.600845
-205.624939,45.192532,86.434090
-207.194641,46.368633,86.267334
-208.764343,47.544735,86.100578
-210.334045,48.720837,85.933823
-211.903748,49.896938,85.767067
-213.473450,51.073040,85.600311
-215.043152,52.249142,85.433556
-216.612854,53.425243,85.266800
-218.182556,54.601345,85.100044
-219.752258,55.777447,84.933289
-221.321960,56.953548,84.766533
-189.691483,35.384502,88.031342
-191.261185,36.560604,87.864586
-192.830887,37.736706,87.697830
-194.400589,38.912807,87.531075
-195.970291,40.088909,87.364319
-197.539993,41.265011,87.197563
-199.109695,42.441113,87.030807
-200.679398,43.617214,86.864052
-202.249100,44.793316,86.697296
-203.818802,45.969418,86.530540
-205.388504,47.145519,86.363785
-206.958206,48.321621,86.197029
-208.527908,49.497723,86.030273
-210.097610,50.673824,85.863518
-211.667313,51.849926,85.696762
-213.237015,53.026028,85.530006
-214.806717,54.202129,85.363251
-216.376419,55.378231,85.196495
-191.024765,38.513596,87.794289
-192.594467,39.689697,87.627533
-194.164169,40.865799,87.460777
-195.733871,42.041901,87.294022
-197.303574,43.218002,87.127266
-198.873276,44.394104,86.960510
-200.442978,45.570206,86.793755
-202.012680,46.746307,86.626999
-203.582382,47.922409,86.460243
-205.152084,49.098511,86.293488
-206.721786,50.274612,86.126732
-208.291489,51.450714,85.959976
-209.861191,52.626816,85.793221
-211.430893,53.802917,85.626465
-213.000595,54.979019,85.459709
-190.788330,40.466583,87.723984
-192.358032,41.642685,87.557228
-193.927734,42.818787,87.390472
-195.497437,43.994888,87.223717
-197.067139,45.170990,87.056961
-198.636841,46.347092,86.890205
-200.206543,47.523193,86.723450
-201.776245,48.699295,86.556694
-203.345947,49.875397,86.389938
-204.915649,51.051498,86.223183
-206.485352,52.227600,86.056427
-208.055054,53.403702,85.889671
-192.121597,43.595673,87.486923
-193.691299,44.771774,87.320168
-195.261002,45.947876,87.153412
-196.830704,47.123978,86.986656
-198.400406,48.300079,86.819901
-199.970108,49.476181,86.653145
-201.539810,50.652283,86.486389
-203.109512,51.828384,86.319633
-204.679214,53.004486,86.152878
-193.454865,46.724762,87.249863
-195.024567,47.900864,87.083107
-196.594269,49.076965,86.916351
-198.163971,50.253067,86.749596
-199.733673,51.429169,86.582840
-194.788147,49.853855,87.012802
