tx,ty,tz
-197.702789,58.106926,86.973740
-198.416290,59.940945,87.021744
-199.129791,61.774963,87.069748
-199.843292,63.608982,87.117752
-200.556793,65.443001,87.165756
-201.270294,67.277023,87.213760
-201.983795,69.111046,87.261765
-202.697296,70.945068,87.309769
-203.410797,72.779091,87.357773
-204.124298,74.613113,87.405777
-204.837799,76.447136,87.453781
-205.551300,78.281158,87.501785
-206.264801,80.115181,87.549789
-206.978302,81.949203,87.597794
-207.691803,83.783226,87.645798
-208.405304,85.617249,87.693802
-209.118805,87.451271,87.741806
-209.832306,89.285294,87.789810
-210.545807,91.119316,87.837814
-211.259308,92.953339,87.885818
-211.972809,94.787361,87.933823
-212.686310,96.621384,87.981827
-213.399811,98.455406,88.029831
-214.113312,100.289429,88.077835
-214.826813,102.123451,88.125839
-215.540314,103.957474,88.173843
-216.253815,105.791496,88.221848
-216.967316,107.625519,88.269852
-217.680817,109.459541,88.317856
-218.394318,111.293564,88.365860
-219.107819,113.127586,88.413864
-219.821320,114.961609,88.461868
-220.534821,116.795631,88.509872
-221.248322,118.629654,88.557877
-221.961823,120.463676,88.605881
-222.675323,122.297699,88.653885
-223.388824,124.131721,88.701889
-224.102325,125.965744,88.749893
-224.815826,127.799767,88.797897
-225.529327,129.633789,88.845901
-226.242828,131.467804,88.893906
-226.956329,133.301819,88.941910
-227.669830,135.135834,88.989914
-228.383331,136.969849,89.037918
-229.096832,138.803864,89.085922
-229.810333,140.637878,89.133926
-230.523834,142.471893,89.181931
-231.237335,144.305908,89.229935
-199.639099,58.414669,86.797638
-200.352600,60.248688,86.845642
-201.066101,62.082706,86.893646
-201.779602,63.916725,86.941650
-202.493103,65.750748,86.989655
-203.206604,67.584770,87.037659
-203.920105,69.418793,87.085663
-204.633606,71.252815,87.133667
-205.347107,73.086838,87.181671
-206.060608,74.920860,87.229675
-206.774109,76.754883,87.277679
-207.487610,78.588905,87.325684
-208.201111,80.422928,87.373688
-208.914612,82.256950,87.421692
-209.628113,84.090973,87.469696
-210.341614,85.924995,87.517700
-211.055115,87.759018,87.565704
-211.768616,89.593040,87.613708
-212.482117,91.427063,87.661713
-213.195618,93.261086,87.709717
-213.909119,95.095108,87.757721
-214.622620,96.929131,87.805725
-215.336121,98.763153,87.853729
-216.049622,100.597176,87.901733
-216.763123,102.431198,87.949738
-217.476624,104.265221,87.997742
-218.190125,106.099243,88.045746
-218.903625,107.933266,88.093750
-219.617126,109.767288,88.141754
-220.330627,111.601311,88.189758
-221.044128,113.435333,88.237762
-221.757629,115.269356,88.285767
-222.471130,117.103378,88.333771
-223.184631,118.937401,88.381775
-223.898132,120.771423,88.429779
-224.611633,122.605446,88.477783
-225.325134,124.439468,88.525787
-226.038635,126.273491,88.573792
-226.752136,128.107513,88.621796
-227.465637,129.941528,88.669800
-228.179138,131.775543,88.717804
-228.892639,133.609558,88.765808
-229.606140,135.443573,88.813812
-230.319641,137.277588,88.861816
-231.033142,139.111603,88.909821
-231.746643,140.945618,88.957825
-201.575409,58.722412,86.621536
-202.288910,60.556431,86.669540
-203.002411,62.390450,86.717545
-203.715912,64.224472,86.765549
-204.429413,66.058495,86.813553
-205.142914,67.892517,86.861557
-205.856415,69.726540,86.909561
-206.569916,71.560562,86.957565
-207.283417,73.394585,87.005569
-207.996918,75.228607,87.053574
-208.710419,77.062630,87.101578
-209.423920,78.896652,87.149582
-210.137421,80.730675,87.197586
-210.850922,82.564697,87.245590
-211.564423,84.398720,87.293594
-212.277924,86.232742,87.341599
-212.991425,88.066765,87.389603
-213.704926,89.900787,87.437607
-214.418427,91.734810,87.485611
-215.131927,93.568832,87.533615
-215.845428,95.402855,87.581619
-216.558929,97.236877,87.629623
-217.272430,99.070900,87.677628
-217.985931,100.904922,87.725632
-218.699432,102.738945,87.773636
-219.412933,104.572968,87.821640
-220.126434,106.406990,87.869644
-220.839935,108.241013,87.917648
-221.553436,110.075035,87.965652
-222.266937,111.909058,88.013657
-222.980438,113.743080,88.061661
-223.693939,115.577103,88.109665
-224.407440,117.411125,88.157669
-225.120941,119.245148,88.205673
-225.834442,121.079170,88.253677
-226.547943,122.913193,88.301682
-227.261444,124.747215,88.349686
-227.974945,126.581238,88.397690
-228.688446,128.415253,88.445694
-229.401947,130.249268,88.493698
-230.115448,132.083282,88.541702
-230.828949,133.917297,88.589706
-231.542450,135.751312,88.637711
-232.255951,137.585327,88.685715
-204.225220,60.864174,86.493446
-204.938721,62.698193,86.541451
-205.652222,64.532211,86.589455
-206.365723,66.366234,86.637459
-207.079224,68.200256,86.685463
-207.792725,70.034279,86.733467
-208.506226,71.868301,86.781471
-209.219727,73.702324,86.829475
-209.933228,75.536346,86.877480
-210.646729,77.370369,86.925484
-211.360229,79.204391,86.973488
-212.073730,81.038414,87.021492
-212.787231,82.872437,87.069496
-213.500732,84.706459,87.117500
-214.214233,86.540482,87.165504
-214.927734,88.374504,87.213509
-215.641235,90.208527,87.261513
-216.354736,92.042549,87.309517
-217.068237,93.876572,87.357521
-217.781738,95.710594,87.405525
-218.495239,97.544617,87.453529
-219.208740,99.378639,87.501534
-219.922241,101.212662,87.549538
-220.635742,103.046684,87.597542
-221.349243,104.880707,87.645546
-222.062744,106.714729,87.693550
-222.776245,108.548752,87.741554
-223.489746,110.382774,87.789558
-224.203247,112.216797,87.837563
-224.916748,114.050819,87.885567
-225.630249,115.884842,87.933571
-226.343750,117.718864,87.981575
-227.057251,119.552887,88.029579
-227.770752,121.386909,88.077583
-228.484253,123.220932,88.125587
-229.197754,125.054955,88.173592
-229.911255,126.888977,88.221596
-230.624756,128.722992,88.269600
-231.338257,130.557007,88.317604
-232.051758,132.391022,88.365608
-232.765259,134.225037,88.413612
-233.478760,136.059052,88.461617
-206.161514,61.171921,86.317345
-206.875015,63.005939,86.365349
-207.588516,64.839958,86.413353
-208.302017,66.673981,86.461357
-209.015518,68.508003,86.509361
-209.729019,70.342026,86.557365
-210.442520,72.176048,86.605370
-211.156021,74.010071,86.653374
-211.869522,75.844093,86.701378
-212.583023,77.678116,86.749382
-213.296524,79.512138,86.797386
-214.010025,81.346161,86.845390
-214.723526,83.180183,86.893394
-215.437027,85.014206,86.941399
-216.150528,86.848228,86.989403
-216.864029,88.682251,87.037407
-217.577530,90.516273,87.085411
-218.291031,92.350296,87.133415
-219.004532,94.184319,87.181419
-219.718033,96.018341,87.229424
-220.431534,97.852364,87.277428
-221.145035,99.686386,87.325432
-221.858536,101.520409,87.373436
-222.572037,103.354431,87.421440
-223.285538,105.188454,87.469444
-223.999039,107.022476,87.517448
-224.712540,108.856499,87.565453
-225.426041,110.690521,87.613457
-226.139542,112.524544,87.661461
-226.853043,114.358566,87.709465
-227.566544,116.192589,87.757469
-228.280045,118.026611,87.805473
-228.993546,119.860634,87.853477
-229.707047,121.694656,87.901482
-230.420547,123.528679,87.949486
-231.134048,125.362701,87.997490
-231.847549,127.196724,88.045494
-232.561050,129.030746,88.093498
-233.274551,130.864761,88.141502
