tx,ty,tz
-191.554962,59.957870,86.354256
-190.904602,61.711948,85.741684
-190.254242,63.466026,85.129112
-189.603882,65.220100,84.516541
-188.953522,66.974174,83.903969
-188.303162,68.728249,83.291397
-187.652802,70.482323,82.678825
-187.002441,72.236397,82.066254
-186.352081,73.990471,81.453682
-185.701721,75.744545,80.841110
-185.051361,77.498619,80.228539
-184.401001,79.252693,79.615967
-183.750641,81.006767,79.003395
-183.100281,82.760841,78.390823
-182.449921,84.514915,77.778252
-181.799561,86.268990,77.165680
-181.149200,88.023064,76.553108
-180.498840,89.777138,75.940536
-179.848480,91.531212,75.327965
-179.198120,93.285286,74.715393
-178.547760,95.039360,74.102821
-177.897400,96.793434,73.490250
-177.247040,98.547508,72.877678
-176.596680,100.301582,72.265106
-175.946320,102.055656,71.652534
-175.295959,103.809731,71.039963
-174.645599,105.563805,70.427391
-173.995239,107.317879,69.814819
-173.344879,109.071953,69.202248
-172.694519,110.826027,68.589676
-172.044159,112.580101,67.977104
-171.393799,114.334175,67.364532
-170.743439,116.088249,66.751961
-170.093079,117.842323,66.139389
-169.442719,119.596397,65.526817
-168.792358,121.350471,64.914246
-168.141998,123.104546,64.301674
-167.491638,124.858620,63.689102
-166.841278,126.612694,63.076530
-166.190918,128.366776,62.463959
-165.540558,130.120850,61.851387
-164.890198,131.874924,61.238815
-164.239838,133.628998,60.626244
-163.589478,135.383072,60.013672
-162.939117,137.137146,59.401100
-162.288757,138.891220,58.788528
-161.638397,140.645294,58.175957
-160.988037,142.399368,57.563385
-160.337677,144.153442,56.950813
-159.687317,145.907516,56.338242
-159.036957,147.661591,55.725670
-158.386597,149.415665,55.113098
-192.004608,63.320873,86.018021
-191.354248,65.074951,85.405449
-190.703888,66.829025,84.792877
-190.053528,68.583099,84.180305
-189.403168,70.337173,83.567734
-188.752808,72.091248,82.955162
-188.102448,73.845322,82.342590
-187.452087,75.599396,81.730019
-186.801727,77.353470,81.117447
-186.151367,79.107544,80.504875
-185.501007,80.861618,79.892303
-184.850647,82.615692,79.279732
-184.200287,84.369766,78.667160
-183.549927,86.123840,78.054588
-182.899567,87.877914,77.442017
-182.249207,89.631989,76.829445
-181.598846,91.386063,76.216873
-180.948486,93.140137,75.604301
-180.298126,94.894211,74.991730
-179.647766,96.648285,74.379158
-178.997406,98.402359,73.766586
-178.347046,100.156433,73.154015
-177.696686,101.910507,72.541443
-177.046326,103.664581,71.928871
-176.395966,105.418655,71.316299
-175.745605,107.172729,70.703728
-175.095245,108.926804,70.091156
-174.444885,110.680878,69.478584
-173.794525,112.434952,68.866013
-173.144165,114.189026,68.253441
-172.493805,115.943100,67.640869
-171.843445,117.697174,67.028297
-171.193085,119.451248,66.415726
-170.542725,121.205322,65.803154
-169.892365,122.959396,65.190582
-169.242004,124.713470,64.578011
-168.591644,126.467545,63.965439
-167.941284,128.221619,63.352867
-167.290924,129.975693,62.740295
-166.640564,131.729767,62.127724
-165.990204,133.483841,61.515152
-165.339844,135.237915,60.902580
-164.689484,136.991989,60.290009
-164.039124,138.746063,59.677437
-163.388763,140.500137,59.064865
-162.738403,142.254211,58.452293
-162.088043,144.008286,57.839722
-161.437683,145.762360,57.227150
-160.787323,147.516434,56.614578
-160.136963,149.270508,56.002007
-159.486603,151.024582,55.389435
-193.104599,64.929802,86.294357
-192.454239,66.683876,85.681786
-191.803879,68.437950,85.069214
-191.153519,70.192024,84.456642
-190.503159,71.946098,83.844070
-189.852798,73.700172,83.231499
-189.202438,75.454247,82.618927
-188.552078,77.208321,82.006355
-187.901718,78.962395,81.393784
-187.251358,80.716469,80.781212
-186.600998,82.470543,80.168640
-185.950638,84.224617,79.556068
-185.300278,85.978691,78.943497
-184.649918,87.732765,78.330925
-183.999557,89.486839,77.718353
-183.349197,91.240913,77.105782
-182.698837,92.994987,76.493210
-182.048477,94.749062,75.880638
-181.398117,96.503136,75.268066
-180.747757,98.257210,74.655495
-180.097397,100.011284,74.042923
-179.447037,101.765358,73.430351
-178.796677,103.519432,72.817780
-178.146317,105.273506,72.205208
-177.495956,107.027580,71.592636
-176.845596,108.781654,70.980064
-176.195236,110.535728,70.367493
-175.544876,112.289803,69.754921
-174.894516,114.043877,69.142349
-174.244156,115.797951,68.529778
-173.593796,117.552025,67.917206
-172.943436,119.306099,67.304634
-172.293076,121.060173,66.692062
-171.642715,122.814247,66.079491
-170.992355,124.568321,65.466919
-170.341995,126.322395,64.854347
-169.691635,128.076477,64.241776
-169.041275,129.830551,63.629204
-168.390915,131.584625,63.016632
-167.740555,133.338699,62.404060
-167.090195,135.092773,61.791489
-166.439835,136.846848,61.178917
-165.789474,138.600922,60.566345
-165.139114,140.354996,59.953773
-164.488754,142.109070,59.341202
-163.838394,143.863144,58.728630
-163.188034,145.617218,58.116058
-162.537674,147.371292,57.503487
-161.887314,149.125366,56.890915
-161.236954,150.879440,56.278343
-160.586594,152.633514,55.665771
-194.204605,66.538727,86.570694
-193.554245,68.292801,85.958122
-192.903885,70.046875,85.345551
-192.253525,71.800949,84.732979
-191.603165,73.555023,84.120407
-190.952805,75.309097,83.507835
-190.302444,77.063171,82.895264
-189.652084,78.817245,82.282692
-189.001724,80.571320,81.670120
-188.351364,82.325394,81.057549
-187.701004,84.079468,80.444977
-187.050644,85.833542,79.832405
-186.400284,87.587616,79.219833
-185.749924,89.341690,78.607262
-185.099564,91.095764,77.994690
-184.449203,92.849838,77.382118
-183.798843,94.603912,76.769547
-183.148483,96.357986,76.156975
-182.498123,98.112061,75.544403
-181.847763,99.866135,74.931831
-181.197403,101.620209,74.319260
-180.547043,103.374283,73.706688
-179.896683,105.128357,73.094116
-179.246323,106.882431,72.481544
-178.595963,108.636505,71.868973
-177.945602,110.390579,71.256401
-177.295242,112.144653,70.643829
-176.644882,113.898727,70.031258
-175.994522,115.652802,69.418686
-175.344162,117.406876,68.806114
-174.693802,119.160950,68.193542
-174.043442,120.915024,67.580971
-173.393082,122.669098,66.968399
-172.742722,124.423172,66.355827
-172.092361,126.177246,65.743256
-171.442001,127.931320,65.130684
-170.791641,129.685394,64.518112
-170.141281,131.439468,63.905540
-169.490921,133.193542,63.292969
-168.840561,134.947617,62.680397
-168.190201,136.701691,62.067825
-167.539841,138.455765,61.455254
-166.889481,140.209839,60.842682
-166.239120,141.963913,60.230110
-165.588760,143.717987,59.617538
-164.938400,145.472061,59.004967
-164.288040,147.226135,58.392395
-163.637680,148.980209,57.779823
-162.987320,150.734283,57.167252
-162.336960,152.488358,56.554680
-194.654236,69.901733,86.234467
-194.003876,71.655807,85.621895
-193.353516,73.409882,85.009323
-192.703156,75.163956,84.396751
-192.052795,76.918030,83.784180
-191.402435,78.672104,83.171608
-190.752075,80.426178,82.559036
-190.101715,82.180252,81.946465
-189.451355,83.934326,81.333893
-188.800995,85.688400,80.721321
-188.150635,87.442474,80.108749
-187.500275,89.196548,79.496178
-186.849915,90.950623,78.883606
-186.199554,92.704697,78.271034
-185.549194,94.458771,77.658463
-184.898834,96.212845,77.045891
-184.248474,97.966919,76.433319
-183.598114,99.720993,75.820747
-182.947754,101.475067,75.208176
-182.297394,103.229141,74.595604
-181.647034,104.983215,73.983032
-180.996674,106.737289,73.370461
-180.346313,108.491364,72.757889
-179.695953,110.245438,72.145317
-179.045593,111.999512,71.532745
-178.395233,113.753586,70.920174
-177.744873,115.507660,70.307602
-177.094513,117.261734,69.695030
-176.444153,119.015808,69.082458
-175.793793,120.769882,68.469887
-175.143433,122.523956,67.857315
-174.493073,124.278030,67.244743
-173.842712,126.032104,66.632172
-173.192352,127.786179,66.019600
-172.541992,129.540253,65.407028
-171.891632,131.294327,64.794456
-171.241272,133.048401,64.181885
-170.590912,134.802475,63.569313
-169.940552,136.556549,62.956741
-169.290192,138.310623,62.344170
-168.639832,140.064697,61.731598
-167.989471,141.818771,61.119026
-167.339111,143.572845,60.506454
-166.688751,145.326920,59.893883
-166.038391,147.080994,59.281311
-165.388031,148.835068,58.668739
-164.737671,150.589142,58.056168
-164.087311,152.343216,57.443596
-195.754242,71.510658,86.510803
-195.103882,73.264732,85.898232
-194.453522,75.018806,85.285660
-193.803162,76.772881,84.673088
-193.152802,78.526955,84.060516
-192.502441,80.281029,83.447945
-191.852081,82.035103,82.835373
-191.201721,83.789177,82.222801
-190.551361,85.543251,81.610229
-189.901001,87.297325,80.997658
-189.250641,89.051399,80.385086
-188.600281,90.805473,79.772514
-187.949921,92.559547,79.159943
-187.299561,94.313622,78.547371
-186.649200,96.067696,77.934799
-185.998840,97.821770,77.322227
-185.348480,99.575844,76.709656
-184.698120,101.329918,76.097084
-184.047760,103.083992,75.484512
-183.397400,104.838066,74.871941
-182.747040,106.592140,74.259369
-182.096680,108.346214,73.646797
-181.446320,110.100288,73.034225
-180.795959,111.854362,72.421654
-180.145599,113.608437,71.809082
-179.495239,115.362511,71.196510
-178.844879,117.116585,70.583939
-178.194519,118.870659,69.971367
-177.544159,120.624733,69.358795
-176.893799,122.378807,68.746223
-176.243439,124.132881,68.133652
-175.593079,125.886955,67.521080
-174.942719,127.641029,66.908508
-174.292358,129.395111,66.295937
-173.641998,131.149185,65.683365
-172.991638,132.903259,65.070793
-172.341278,134.657333,64.458221
-171.690918,136.411407,63.845650
-171.040558,138.165482,63.233078
-170.390198,139.919556,62.620506
-169.739838,141.673630,62.007935
-169.089478,143.427704,61.395363
-168.439117,145.181778,60.782791
-167.788757,146.935852,60.170219
-167.138397,148.689926,59.557648
-166.488037,150.444000,58.945076
-165.837677,152.198074,58.332504
-196.854233,73.119583,86.787140
-196.203873,74.873657,86.174568
-195.553513,76.627731,85.561996
-194.903152,78.381805,84.949425
-194.252792,80.135880,84.336853
-193.602432,81.889954,83.724281
-192.952072,83.644028,83.111710
-192.301712,85.398102,82.499138
-191.651352,87.152176,81.886566
-191.000992,88.906250,81.273994
-190.350632,90.660324,80.661423
-189.700272,92.414398,80.048851
-189.049911,94.168472,79.436279
-188.399551,95.922546,78.823708
-187.749191,97.676620,78.211136
-187.098831,99.430695,77.598564
