tx,ty,tz
-160.486725,156.972275,54.887932
-162.071533,157.969193,55.495838
-163.656342,158.966110,56.103745
-165.241150,159.963028,56.711651
-166.825958,160.959946,57.319557
-168.410767,161.956863,57.927464
-169.995575,162.953781,58.535370
-171.580383,163.950699,59.143276
-173.165192,164.947617,59.751183
-174.750000,165.944534,60.359089
-176.334808,166.941452,60.966995
-177.919617,167.938370,61.574902
-179.504425,168.935287,62.182808
-181.089233,169.932205,62.790714
-182.674042,170.929123,63.398621
-184.258850,171.926041,64.006531
-185.843658,172.922958,64.614441
-187.428467,173.919876,65.222351
-189.013275,174.916794,65.830261
-190.598083,175.913712,66.438171
-192.182892,176.910629,67.046082
-193.767700,177.907547,67.653992
-195.352509,178.904465,68.261902
-196.937317,179.901382,68.869812
-198.522125,180.898300,69.477722
-200.106934,181.895218,70.085632
-201.691742,182.892136,70.693542
-203.276550,183.889053,71.301453
-204.861359,184.885971,71.909363
-206.446167,185.882889,72.517273
-208.030975,186.879807,73.125183
-209.615784,187.876724,73.733093
-211.200592,188.873642,74.341003
-212.785400,189.870560,74.948914
-214.370209,190.867477,75.556824
-161.961868,156.024857,55.783123
-163.546677,157.021774,56.391029
-165.131485,158.018692,56.998936
-166.716293,159.015610,57.606842
-168.301102,160.012527,58.214748
-169.885910,161.009445,58.822655
-171.470718,162.006363,59.430561
-173.055527,163.003281,60.038467
-174.640335,164.000198,60.646374
-176.225143,164.997116,61.254280
-177.809952,165.994034,61.862186
-179.394760,166.990952,62.470093
-180.979568,167.987869,63.077999
-182.564377,168.984787,63.685905
-184.149185,169.981705,64.293816
-185.733994,170.978622,64.901726
-187.318802,171.975540,65.509636
-188.903610,172.972458,66.117546
-190.488419,173.969376,66.725456
-192.073227,174.966293,67.333366
-193.658035,175.963211,67.941277
-195.242844,176.960129,68.549187
-196.827652,177.957047,69.157097
-198.412460,178.953964,69.765007
-199.997269,179.950882,70.372917
-201.582077,180.947800,70.980827
-203.166885,181.944717,71.588737
-204.751694,182.941635,72.196648
-206.336502,183.938553,72.804558
-207.921310,184.935471,73.412468
-209.506119,185.932388,74.020378
-211.090927,186.929306,74.628288
-212.675735,187.926224,75.236198
-214.260544,188.923141,75.844109
-165.021820,156.074371,57.286221
-166.606628,157.071289,57.894127
-168.191437,158.068207,58.502033
-169.776245,159.065125,59.109940
-171.361053,160.062042,59.717846
-172.945862,161.058960,60.325752
-174.530670,162.055878,60.933659
-176.115479,163.052795,61.541565
-177.700287,164.049713,62.149471
-179.285095,165.046631,62.757378
-180.869904,166.043549,63.365284
-182.454712,167.040466,63.973190
-184.039520,168.037384,64.581100
-185.624329,169.034302,65.189011
-187.209137,170.031219,65.796921
-188.793945,171.028137,66.404831
-190.378754,172.025055,67.012741
-191.963562,173.021973,67.620651
-193.548370,174.018890,68.228561
-195.133179,175.015808,68.836472
-196.717987,176.012726,69.444382
-198.302795,177.009644,70.052292
-199.887604,178.006561,70.660202
-201.472412,179.003479,71.268112
-203.057220,180.000397,71.876022
-204.642029,180.997314,72.483932
-206.226837,181.994232,73.091843
-207.811646,182.991150,73.699753
-209.396454,183.988068,74.307663
-210.981262,184.984985,74.915573
-212.566071,185.981903,75.523483
-214.150879,186.978821,76.131393
-215.735687,187.975739,76.739304
-168.081757,156.123871,58.789322
-169.666565,157.120789,59.397228
-171.251373,158.117706,60.005135
-172.836182,159.114624,60.613041
-174.420990,160.111542,61.220947
-176.005798,161.108459,61.828854
-177.590607,162.105377,62.436760
-179.175415,163.102295,63.044666
-180.760223,164.099213,63.652573
-182.345032,165.096130,64.260483
-183.929840,166.093048,64.868393
-185.514648,167.089966,65.476303
-187.099457,168.086884,66.084213
-188.684265,169.083801,66.692123
-190.269073,170.080719,67.300034
-191.853882,171.077637,67.907944
-193.438690,172.074554,68.515854
-195.023499,173.071472,69.123764
-196.608307,174.068390,69.731674
-198.193115,175.065308,70.339584
-199.777924,176.062225,70.947495
-201.362732,177.059143,71.555405
-202.947540,178.056061,72.163315
-204.532349,179.052979,72.771225
-206.117157,180.049896,73.379135
-207.701965,181.046814,73.987045
-209.286774,182.043732,74.594955
-210.871582,183.040649,75.202866
-212.456390,184.037567,75.810776
-214.041199,185.034485,76.418686
-215.626007,186.031403,77.026596
-171.141708,156.173386,60.292419
-172.726517,157.170303,60.900326
-174.311325,158.167221,61.508232
-175.896133,159.164139,62.116138
-177.480942,160.161057,62.724045
-179.065750,161.157974,63.331951
-180.650558,162.154892,63.939857
-182.235367,163.151810,64.547768
-183.820175,164.148727,65.155678
-185.404984,165.145645,65.763588
-186.989792,166.142563,66.371498
-188.574600,167.139481,66.979408
-190.159409,168.136398,67.587318
-191.744217,169.133316,68.195229
-193.329025,170.130234,68.803139
-194.913834,171.127151,69.411049
-196.498642,172.124069,70.018959
-198.083450,173.120987,70.626869
-199.668259,174.117905,71.234779
-201.253067,175.114822,71.842690
-202.837875,176.111740,72.450600
-204.422684,177.108658,73.058510
-206.007492,178.105576,73.666420
-207.592300,179.102493,74.274330
-209.177109,180.099411,74.882240
-210.761917,181.096329,75.490150
-212.346725,182.093246,76.098061
-213.931534,183.090164,76.705971
-215.516342,184.087082,77.313881
-174.201645,156.222900,61.795517
-175.786453,157.219818,62.403423
-177.371262,158.216736,63.011330
-178.956070,159.213654,63.619236
-180.540878,160.210571,64.227142
-182.125687,161.207489,64.835052
-183.710495,162.204407,65.442963
-185.295303,163.201324,66.050873
-186.880112,164.198242,66.658783
-188.464920,165.195160,67.266693
-190.049728,166.192078,67.874603
-191.634537,167.188995,68.482513
-193.219345,168.185913,69.090424
-194.804153,169.182831,69.698334
-196.388962,170.179749,70.306244
-197.973770,171.176666,70.914154
-199.558578,172.173584,71.522064
-201.143387,173.170502,72.129974
-202.728195,174.167419,72.737885
-204.313004,175.164337,73.345795
-205.897812,176.161255,73.953705
-207.482620,177.158173,74.561615
-209.067429,178.155090,75.169525
-210.652237,179.152008,75.777435
-212.237045,180.148926,76.385345
-213.821854,181.145844,76.993256
-215.406662,182.142761,77.601166
-216.991470,183.139679,78.209076
-177.261597,156.272400,63.298615
-178.846405,157.269318,63.906521
-180.431213,158.266235,64.514427
-182.016022,159.263153,65.122337
-183.600830,160.260071,65.730247
-185.185638,161.256989,66.338158
-186.770447,162.253906,66.946068
-188.355255,163.250824,67.553978
-189.940063,164.247742,68.161888
-191.524872,165.244659,68.769798
-193.109680,166.241577,69.377708
-194.694489,167.238495,69.985619
-196.279297,168.235413,70.593529
-197.864105,169.232330,71.201439
-199.448914,170.229248,71.809349
-201.033722,171.226166,72.417259
-202.618530,172.223083,73.025169
-204.203339,173.220001,73.633080
