tx,ty,tz
-257.530762,64.386902,80.232513
-259.405090,64.874176,79.879707
-261.279419,65.361450,79.526901
-263.153748,65.848724,79.174095
-265.028076,66.335999,78.821289
-266.902405,66.823273,78.468483
-268.776733,67.310547,78.115677
-270.651062,67.797821,77.762871
-272.525391,68.285095,77.410065
-274.399719,68.772369,77.057259
-276.274048,69.259644,76.704453
-278.148376,69.746918,76.351646
-280.022705,70.234192,75.998840
-281.897034,70.721466,75.646034
-283.771362,71.208740,75.293228
-285.645691,71.696014,74.940422
-287.520020,72.183289,74.587616
-289.394348,72.670563,74.234810
-291.268677,73.157837,73.882004
-293.143005,73.645111,73.529198
-295.017334,74.132385,73.176392
-296.891663,74.619659,72.823586
-298.765991,75.106934,72.470779
-300.640320,75.594208,72.117973
-302.514648,76.081482,71.765167
-304.388977,76.568756,71.412361
-306.263306,77.056030,71.059555
-308.137634,77.543304,70.706749
-310.011963,78.030579,70.353943
-311.886292,78.517853,70.001137
-313.760620,79.005127,69.648331
-315.634949,79.492401,69.295525
-317.509277,79.979675,68.942719
-319.383606,80.466949,68.589912
-321.257935,80.954224,68.237106
-323.132263,81.441498,67.884300
-325.006592,81.928772,67.531494
-326.880920,82.416046,67.178688
-328.755249,82.903320,66.825882
-330.629578,83.390594,66.473076
-332.503906,83.877869,66.120270
-334.378235,84.365143,65.767464
-258.834198,62.995216,79.743340
-260.708527,63.482487,79.390533
-262.582855,63.969757,79.037727
-264.457184,64.457031,78.684921
-266.331512,64.944305,78.332115
-268.205841,65.431580,77.979309
-270.080170,65.918854,77.626503
-271.954498,66.406128,77.273697
-273.828827,66.893402,76.920891
-275.703156,67.380676,76.568085
-277.577484,67.867950,76.215279
-279.451813,68.355225,75.862473
-281.326141,68.842499,75.509666
-283.200470,69.329773,75.156860
-285.074799,69.817047,74.804054
-286.949127,70.304321,74.451248
-288.823456,70.791595,74.098442
-290.697784,71.278870,73.745636
-292.572113,71.766144,73.392830
-294.446442,72.253418,73.040024
-296.320770,72.740692,72.687218
-298.195099,73.227966,72.334412
-300.069427,73.715240,71.981606
-301.943756,74.202515,71.628799
-303.818085,74.689789,71.275993
-305.692413,75.177063,70.923187
-307.566742,75.664337,70.570381
-309.441071,76.151611,70.217575
-311.315399,76.638885,69.864769
-313.189728,77.126160,69.511963
-315.064056,77.613434,69.159157
-316.938385,78.100708,68.806351
-318.812714,78.587982,68.453545
-320.687042,79.075256,68.100739
-322.561371,79.562531,67.747932
-324.435699,80.049805,67.395126
-326.310028,80.537079,67.042320
-328.184357,81.024353,66.689514
-330.058685,81.511627,66.336708
-331.933014,81.998901,65.983902
-333.807343,82.486176,65.631096
-260.137634,61.603531,79.254166
-262.011963,62.090801,78.901360
-263.886292,62.578072,78.548553
-265.760620,63.065342,78.195747
-267.634949,63.552612,77.842941
-269.509277,64.039886,77.490135
-271.383606,64.527161,77.137329
-273.257935,65.014435,76.784523
-275.132263,65.501709,76.431717
-277.006592,65.988983,76.078911
-278.880920,66.476257,75.726105
