tx,ty,tz
-285.685974,151.708160,55.916569
-284.019958,151.708160,56.965088
-282.353943,151.708160,58.013607
-280.687927,151.708160,59.062126
-279.021912,151.708160,60.110645
-277.355896,151.708160,61.159164
-275.689880,151.708160,62.207684
-274.023865,151.708160,63.256203
-272.357849,151.708160,64.304718
-270.691833,151.708160,65.353233
-269.025818,151.708160,66.401749
-267.359802,151.708160,67.450264
-265.693787,151.708160,68.498779
-264.027771,151.708160,69.547295
-262.361755,151.708160,70.595810
-260.695740,151.708160,71.644325
-259.029724,151.708160,72.692841
-257.363708,151.708160,73.741356
-255.697693,151.708160,74.789871
-254.031677,151.708160,75.838387
-252.365662,151.708160,76.886902
-250.699646,151.708160,77.935417
-249.033630,151.708160,78.983932
-247.367615,151.708160,80.032448
-245.701599,151.708160,81.080963
-244.035583,151.708160,82.129478
-242.369568,151.708160,83.177994
-240.703552,151.708160,84.226509
-239.037537,151.708160,85.275024
-237.371521,151.708160,86.323540
-284.889008,150.004730,56.498116
-283.222992,150.004730,57.546635
-281.556976,150.004730,58.595154
-279.890961,150.004730,59.643673
-278.224945,150.004730,60.692192
-276.558929,150.004730,61.740711
-274.892914,150.004730,62.789230
-273.226898,150.004730,63.837749
-271.560883,150.004730,64.886269
-269.894867,150.004730,65.934784
-268.228851,150.004730,66.983299
-266.562836,150.004730,68.031815
-264.896820,150.004730,69.080330
-263.230804,150.004730,70.128845
-261.564789,150.004730,71.177361
-259.898773,150.004730,72.225876
-258.232758,150.004730,73.274391
-256.566742,150.004730,74.322906
-254.900726,150.004730,75.371422
-253.234711,150.004730,76.419937
-251.568695,150.004730,77.468452
-249.902679,150.004730,78.516968
-248.236664,150.004730,79.565483
-246.570648,150.004730,80.613998
-244.904633,150.004730,81.662514
-243.238617,150.004730,82.711029
-241.572601,150.004730,83.759544
-239.906586,150.004730,84.808060
-238.240570,150.004730,85.856575
-236.574554,150.004730,86.905090
-284.092041,148.301300,57.079662
-282.426025,148.301300,58.128181
-280.760010,148.301300,59.176701
-279.093994,148.301300,60.225220
-277.427979,148.301300,61.273739
-275.761963,148.301300,62.322258
-274.095947,148.301300,63.370777
-272.429932,148.301300,64.419296
-270.763916,148.301300,65.467812
-269.097900,148.301300,66.516327
-267.431885,148.301300,67.564842
-265.765869,148.301300,68.613358
-264.099854,148.301300,69.661873
-262.433838,148.301300,70.710388
-260.767822,148.301300,71.758904
-259.101807,148.301300,72.807419
-257.435791,148.301300,73.855934
-255.769775,148.301300,74.904449
-254.103760,148.301300,75.952965
-252.437744,148.301300,77.001480
-250.771729,148.301300,78.049995
-249.105713,148.301300,79.098511
-247.439697,148.301300,80.147026
-245.773682,148.301300,81.195541
-244.107666,148.301300,82.244057
-242.441650,148.301300,83.292572
-240.775635,148.301300,84.341087
-239.109619,148.301300,85.389603
-237.443604,148.301300,86.438118
-283.295105,146.597870,57.661213
-281.629089,146.597870,58.709732
-279.963074,146.597870,59.758251
-278.297058,146.597870,60.806770
-276.631042,146.597870,61.855289
-274.965027,146.597870,62.903809
-273.299011,146.597870,63.952328
-271.632996,146.597870,65.000847
-269.966980,146.597870,66.049362
-268.300964,146.597870,67.097878
-266.634949,146.597870,68.146393
-264.968933,146.597870,69.194908
-263.302917,146.597870,70.243423
-261.636902,146.597870,71.291939
-259.970886,146.597870,72.340454
-258.304871,146.597870,73.388969
-256.638855,146.597870,74.437485
-254.972839,146.597870,75.486000
-253.306824,146.597870,76.534515
-251.640808,146.597870,77.583031
-249.974792,146.597870,78.631546
-248.308777,146.597870,79.680061
-246.642761,146.597870,80.728577
-244.976746,146.597870,81.777092
-243.310730,146.597870,82.825607
-241.644714,146.597870,83.874123
-239.978699,146.597870,84.922638
-238.312683,146.597870,85.971153
-282.498138,144.894440,58.242760
-280.832123,144.894440,59.291279
-279.166107,144.894440,60.339798
-277.500092,144.894440,61.388317
-275.834076,144.894440,62.436836
-274.168060,144.894440,63.485355
-272.502045,144.894440,64.533875
-270.836029,144.894440,65.582390
-281.701202,143.191010,58.824310
-280.035187,143.191010,59.872829
-278.369171,143.191010,60.921349
-276.703156,143.191010,61.969868
