tx,ty,tz
-294.995178,190.832047,51.085094
-293.509369,189.908539,51.987614
-292.023560,188.985031,52.890133
-290.537750,188.061523,53.792652
-289.051941,187.138016,54.695171
-287.566132,186.214508,55.597691
-286.080322,185.291000,56.500210
-284.594513,184.367493,57.402729
-283.108704,183.443985,58.305248
-281.622894,182.520477,59.207767
-280.137085,181.596970,60.110287
-278.651276,180.673462,61.012806
-277.165466,179.749954,61.915325
-275.679657,178.826447,62.817844
-274.193848,177.902939,63.720364
-272.708038,176.979431,64.622879
-271.222229,176.055923,65.525398
-269.736420,175.132416,66.427917
-268.250610,174.208908,67.330437
-266.764801,173.285400,68.232956
-265.278992,172.361893,69.135475
-263.793182,171.438385,70.037994
-262.307373,170.514877,70.940514
-260.821564,169.591370,71.843033
-259.335754,168.667862,72.745552
-257.849945,167.744354,73.648071
-256.364136,166.820847,74.550591
-254.878342,165.897339,75.453110
-253.392548,164.973831,76.355629
-251.906754,164.050323,77.258148
-250.420959,163.126816,78.160667
-248.935165,162.203308,79.063187
-247.449371,161.279800,79.965706
-245.963577,160.356293,80.868225
-244.477783,159.432785,81.770744
-242.991989,158.509277,82.673264
-294.905548,188.865631,51.072140
-293.419739,187.942123,51.974659
-291.933929,187.018616,52.877178
-290.448120,186.095108,53.779697
-288.962311,185.171600,54.682217
-287.476501,184.248093,55.584736
-285.990692,183.324585,56.487255
-284.504883,182.401077,57.389774
-283.019073,181.477570,58.292294
-281.533264,180.554062,59.194813
-280.047455,179.630554,60.097332
-278.561646,178.707047,60.999851
-277.075836,177.783539,61.902370
-275.590027,176.860031,62.804890
-274.104218,175.936523,63.707409
-272.618408,175.013016,64.609924
-271.132599,174.089508,65.512444
-269.646790,173.166000,66.414963
-268.160980,172.242493,67.317482
-266.675171,171.318985,68.220001
-265.189362,170.395477,69.122520
-263.703552,169.471970,70.025040
-262.217743,168.548462,70.927559
-260.731934,167.624954,71.830078
-259.246124,166.701447,72.732597
-257.760315,165.777939,73.635117
-256.274506,164.854431,74.537636
