tx,ty,tz
-118.811539,204.294968,46.545326
-116.843193,204.294968,46.570210
-114.874847,204.294968,46.595093
-112.906502,204.294968,46.619976
-110.938156,204.294968,46.644859
-108.969810,204.294968,46.669743
-107.001465,204.294968,46.694626
-105.033119,204.294968,46.719509
-103.064774,204.294968,46.744392
-101.096428,204.294968,46.769276
-99.128082,204.294968,46.794159
-97.159737,204.294968,46.819042
-95.191391,204.294968,46.843925
-93.223045,204.294968,46.868809
-91.254700,204.294968,46.893692
-89.286354,204.294968,46.918575
-87.318008,204.294968,46.943459
-85.349663,204.294968,46.968342
-83.381317,204.294968,46.993225
-81.412971,204.294968,47.018108
-79.444626,204.294968,47.042992
-77.476280,204.294968,47.067875
-75.507935,204.294968,47.092758
-73.539589,204.294968,47.117641
-71.571243,204.294968,47.142525
-69.602898,204.294968,47.167408
-67.634552,204.294968,47.192291
-65.666206,204.294968,47.217175
-63.697861,204.294968,47.242058
-61.729515,204.294968,47.266941
-59.761169,204.294968,47.291824
-57.792824,204.294968,47.316708
-55.824478,204.294968,47.341591
-53.856133,204.294968,47.366474
-51.887787,204.294968,47.391357
-49.919441,204.294968,47.416241
-47.951096,204.294968,47.441124
-45.982750,204.294968,47.466007
-44.014404,204.294968,47.490891
-42.046059,204.294968,47.515774
-40.077713,204.294968,47.540657
-38.109367,204.294968,47.565540
-36.141022,204.294968,47.590424
-34.172676,204.294968,47.615307
-32.204330,204.294968,47.640190
-30.235985,204.294968,47.665073
-28.267639,204.294968,47.689957
-26.299294,204.294968,47.714840
-24.330948,204.294968,47.739723
-22.362602,204.294968,47.764606
-20.394257,204.294968,47.789490
-18.425911,204.294968,47.814373
-16.457565,204.294968,47.839256
-14.489219,204.294968,47.864140
-12.520872,204.294968,47.889023
-10.552526,204.294968,47.913906
-8.584179,204.294968,47.938789
-117.827606,205.999634,46.576542
-115.859261,205.999634,46.601425
-113.890915,205.999634,46.626308
-111.922569,205.999634,46.651192
-109.954224,205.999634,46.676075
-107.985878,205.999634,46.700958
-106.017532,205.999634,46.725842
-104.049187,205.999634,46.750725
-102.080841,205.999634,46.775608
-100.112495,205.999634,46.800491
-98.144150,205.999634,46.825375
-96.175804,205.999634,46.850258
-94.207458,205.999634,46.875141
-92.239113,205.999634,46.900024
-90.270767,205.999634,46.924908
-88.302422,205.999634,46.949791
-86.334076,205.999634,46.974674
-84.365730,205.999634,46.999557
-82.397385,205.999634,47.024441
-80.429039,205.999634,47.049324
-78.460693,205.999634,47.074207
-76.492348,205.999634,47.099091
-74.524002,205.999634,47.123974
-72.555656,205.999634,47.148857
-70.587311,205.999634,47.173740
-68.618965,205.999634,47.198624
-66.650620,205.999634,47.223507
-64.682274,205.999634,47.248390
-62.713928,205.999634,47.273273
-60.745583,205.999634,47.298157
-58.777237,205.999634,47.323040
-56.808891,205.999634,47.347923
-54.840546,205.999634,47.372807
-52.872200,205.999634,47.397690
-50.903854,205.999634,47.422573
-48.935509,205.999634,47.447456
-46.967163,205.999634,47.472340
-44.998817,205.999634,47.497223
-43.030472,205.999634,47.522106
-41.062126,205.999634,47.546989
-39.093781,205.999634,47.571873
-37.125435,205.999634,47.596756
-35.157089,205.999634,47.621639
-33.188744,205.999634,47.646523
-31.220398,205.999634,47.671406
-29.252052,205.999634,47.696289
-27.283707,205.999634,47.721172
-25.315361,205.999634,47.746056
-23.347015,205.999634,47.770939
-21.378670,205.999634,47.795822
-19.410324,205.999634,47.820705
-17.441978,205.999634,47.845589
-15.473632,205.999634,47.870472
-13.505285,205.999634,47.895355
-11.536939,205.999634,47.920238
-9.568592,205.999634,47.945122
-116.843674,207.704300,46.607758
-114.875328,207.704300,46.632641
-112.906982,207.704300,46.657524
-110.938637,207.704300,46.682407
-108.970291,207.704300,46.707291
-107.001945,207.704300,46.732174
-105.033600,207.704300,46.757057
-103.065254,207.704300,46.781940
-101.096909,207.704300,46.806824
-99.128563,207.704300,46.831707
-97.160217,207.704300,46.856590
-95.191872,207.704300,46.881474
-93.223526,207.704300,46.906357
-91.255180,207.704300,46.931240
-89.286835,207.704300,46.956123
-87.318489,207.704300,46.981007
-85.350143,207.704300,47.005890
-83.381798,207.704300,47.030773
-81.413452,207.704300,47.055656
-79.445107,207.704300,47.080540
-77.476761,207.704300,47.105423
-75.508415,207.704300,47.130306
-73.540070,207.704300,47.155190
-71.571724,207.704300,47.180073
-69.603378,207.704300,47.204956
-67.635033,207.704300,47.229839
-65.666687,207.704300,47.254723
-63.698341,207.704300,47.279606
-61.729996,207.704300,47.304489
-59.761650,207.704300,47.329372
-57.793304,207.704300,47.354256
-55.824959,207.704300,47.379139
-53.856613,207.704300,47.404022
-51.888268,207.704300,47.428905
-49.919922,207.704300,47.453789
-47.951576,207.704300,47.478672
-45.983231,207.704300,47.503555
-44.014885,207.704300,47.528439
-42.046539,207.704300,47.553322
-40.078194,207.704300,47.578205
-38.109848,207.704300,47.603088
-36.141502,207.704300,47.627972
-34.173157,207.704300,47.652855
-32.204811,207.704300,47.677738
-30.236465,207.704300,47.702621
-28.268120,207.704300,47.727505
-26.299774,207.704300,47.752388
-24.331429,207.704300,47.777271
-22.363083,207.704300,47.802155
-20.394737,207.704300,47.827038
-18.426392,207.704300,47.851921
-16.458046,207.704300,47.876804
-14.489699,207.704300,47.901688
-12.521353,207.704300,47.926571
-115.859734,209.408981,46.638973
-113.891388,209.408981,46.663857
-111.923042,209.408981,46.688740
-109.954697,209.408981,46.713623
-107.986351,209.408981,46.738506
-106.018005,209.408981,46.763390
-104.049660,209.408981,46.788273
-102.081314,209.408981,46.813156
-100.112968,209.408981,46.838039
-98.144623,209.408981,46.862923
-96.176277,209.408981,46.887806
-94.207932,209.408981,46.912689
-92.239586,209.408981,46.937572
-90.271240,209.408981,46.962456
-88.302895,209.408981,46.987339
-86.334549,209.408981,47.012222
-84.366203,209.408981,47.037106
-82.397858,209.408981,47.061989
-80.429512,209.408981,47.086872
-78.461166,209.408981,47.111755
-76.492821,209.408981,47.136639
-74.524475,209.408981,47.161522
-72.556129,209.408981,47.186405
-70.587784,209.408981,47.211288
-68.619438,209.408981,47.236172
