tx,ty,tz
-334.107819,92.976311,-65.241135
-332.233490,92.489037,-65.593941
-330.359161,92.001762,-65.946747
-328.484833,91.514488,-66.299553
-326.610504,91.027214,-66.652359
-324.736176,90.539940,-67.005165
-322.861847,90.052666,-67.357971
-320.987518,89.565392,-67.710777
-319.113190,89.078117,-68.063583
-317.238861,88.590843,-68.416389
-315.364532,88.103569,-68.769196
-313.490204,87.616295,-69.122002
-311.615875,87.129021,-69.474808
-309.741547,86.641747,-69.827614
-307.867218,86.154472,-70.180420
-305.992889,85.667198,-70.533226
-304.118561,85.179924,-70.886032
-302.244232,84.692650,-71.238838
-300.369904,84.205376,-71.591644
-298.495575,83.718102,-71.944450
-296.621246,83.230827,-72.297256
-294.746918,82.743553,-72.650063
-292.872589,82.256279,-73.002869
-290.998260,81.769005,-73.355675
-289.123932,81.281731,-73.708481
-287.249603,80.794456,-74.061287
-285.375275,80.307182,-74.414093
-283.500946,79.819908,-74.766899
-281.626617,79.332634,-75.119705
-279.752289,78.845360,-75.472511
-277.877960,78.358086,-75.825317
-276.003632,77.870811,-76.178123
-274.129303,77.383537,-76.530930
-272.254974,76.896263,-76.883736
-270.380646,76.408989,-77.236542
-268.506317,75.921715,-77.589348
-266.631989,75.434441,-77.942154
-264.757660,74.947166,-78.294960
-262.883331,74.459892,-78.647766
-261.009003,73.972618,-79.000572
-259.134674,73.485344,-79.353378
-257.260345,72.998070,-79.706184
-332.685669,94.321800,-65.035797
-330.811340,93.834526,-65.388603
-328.937012,93.347252,-65.741409
-327.062683,92.859978,-66.094215
-325.188354,92.372704,-66.447021
-323.314026,91.885429,-66.799828
-321.439697,91.398155,-67.152634
-319.565369,90.910881,-67.505440
-317.691040,90.423607,-67.858246
-315.816711,89.936333,-68.211052
-313.942383,89.449059,-68.563858
-312.068054,88.961784,-68.916664
-310.193726,88.474510,-69.269470
-308.319397,87.987236,-69.622276
-306.445068,87.499962,-69.975082
-304.570740,87.012688,-70.327888
-302.696411,86.525414,-70.680695
-300.822083,86.038139,-71.033501
-298.947754,85.550865,-71.386307
-297.073425,85.063591,-71.739113
-295.199097,84.576317,-72.091919
-293.324768,84.089043,-72.444725
-291.450439,83.601768,-72.797531
-289.576111,83.114494,-73.150337
-287.701782,82.627220,-73.503143
-285.827454,82.139946,-73.855949
-283.953125,81.652672,-74.208755
-282.078796,81.165398,-74.561562
-280.204468,80.678123,-74.914368
-278.330139,80.190849,-75.267174
-276.455811,79.703575,-75.619980
-274.581482,79.216301,-75.972786
-272.707153,78.729027,-76.325592
-270.832825,78.241753,-76.678398
-268.958496,77.754478,-77.031204
-267.084167,77.267204,-77.384010
-265.209839,76.779930,-77.736816
-263.335510,76.292656,-78.089622
-261.461182,75.805382,-78.442429
-259.586853,75.318108,-78.795235
-257.712524,74.830833,-79.148041
-331.263519,95.667290,-64.830460
-329.389191,95.180016,-65.183266
-327.514862,94.692741,-65.536072
-325.640533,94.205467,-65.888878
-323.766205,93.718193,-66.241684
-321.891876,93.230919,-66.594490
-320.017548,92.743645,-66.947296
-318.143219,92.256371,-67.300102
-316.268890,91.769096,-67.652908
-314.394562,91.281822,-68.005714
-312.520233,90.794548,-68.358521
-310.645905,90.307274,-68.711327
-308.771576,89.820000,-69.064133
-306.897247,89.332726,-69.416939
-305.022919,88.845451,-69.769745
-303.148590,88.358177,-70.122551
-301.274261,87.870903,-70.475357
-299.399933,87.383629,-70.828163
-297.525604,86.896355,-71.180969
-295.651276,86.409081,-71.533775
-293.776947,85.921806,-71.886581
-291.902618,85.434532,-72.239388
-290.028290,84.947258,-72.592194
-288.153961,84.459984,-72.945000
-286.279633,83.972710,-73.297806
-284.405304,83.485435,-73.650612
-282.530975,82.998161,-74.003418
-280.656647,82.510887,-74.356224
-278.782318,82.023613,-74.709030
-276.907990,81.536339,-75.061836
-275.033661,81.049065,-75.414642
-273.159332,80.561790,-75.767448
-271.285004,80.074516,-76.120255
-269.410675,79.587242,-76.473061
-267.536346,79.099968,-76.825867
-265.662018,78.612694,-77.178673
-263.787689,78.125420,-77.531479
-261.913361,77.638145,-77.884285
-260.039032,77.150871,-78.237091
-258.164703,76.663597,-78.589897
-331.715698,97.500053,-64.272316
-329.841370,97.012779,-64.625122
-327.967041,96.525505,-64.977928
-326.092712,96.038231,-65.330734
-324.218384,95.550957,-65.683540
-322.344055,95.063683,-66.036346
-320.469727,94.576408,-66.389153
-318.595398,94.089134,-66.741959
-316.721069,93.601860,-67.094765
-314.846741,93.114586,-67.447571
-312.972412,92.627312,-67.800377
-311.098083,92.140038,-68.153183
-309.223755,91.652763,-68.505989
-307.349426,91.165489,-68.858795
-305.475098,90.678215,-69.211601
-303.600769,90.190941,-69.564407
-301.726440,89.703667,-69.917213
-299.852112,89.216393,-70.270020
-297.977783,88.729118,-70.622826
-296.103455,88.241844,-70.975632
-294.229126,87.754570,-71.328438
-292.354797,87.267296,-71.681244
-290.480469,86.780022,-72.034050
-288.606140,86.292747,-72.386856
-286.731812,85.805473,-72.739662
-284.857483,85.318199,-73.092468
-282.983154,84.830925,-73.445274
-281.108826,84.343651,-73.798080
-279.234497,83.856377,-74.150887
-277.360168,83.369102,-74.503693
-275.485840,82.881828,-74.856499
-273.611511,82.394554,-75.209305
-271.737183,81.907280,-75.562111
-269.862854,81.420006,-75.914917
-267.988525,80.932732,-76.267723
-266.114197,80.445457,-76.620529
-264.239868,79.958183,-76.973335
-262.365540,79.470909,-77.326141
-260.491211,78.983635,-77.678947
-258.616882,78.496361,-78.031754
-330.293549,98.845543,-64.066971
-328.419220,98.358269,-64.419777
-326.544891,97.870995,-64.772583
-324.670563,97.383720,-65.125389
-322.796234,96.896446,-65.478195
-320.921906,96.409172,-65.831001
-319.047577,95.921898,-66.183807
-317.173248,95.434624,-66.536613
-315.298920,94.947350,-66.889420
-313.424591,94.460075,-67.242226
-311.550262,93.972801,-67.595032
-309.675934,93.485527,-67.947838
-307.801605,92.998253,-68.300644
-305.927277,92.510979,-68.653450
-304.052948,92.023705,-69.006256
-302.178619,91.536430,-69.359062
-300.304291,91.049156,-69.711868
-298.429962,90.561882,-70.064674
-296.555634,90.074608,-70.417480
-294.681305,89.587334,-70.770287
-292.806976,89.100060,-71.123093
-290.932648,88.612785,-71.475899
-289.058319,88.125511,-71.828705
-287.183990,87.638237,-72.181511
-285.309662,87.150963,-72.534317
-283.435333,86.663689,-72.887123
-281.561005,86.176414,-73.239929
-279.686676,85.689140,-73.592735
-277.812347,85.201866,-73.945541
-275.938019,84.714592,-74.298347
-274.063690,84.227318,-74.651154
-272.189362,83.740044,-75.003960
-270.315033,83.252769,-75.356766
-268.440704,82.765495,-75.709572
-266.566376,82.278221,-76.062378
-264.692047,81.790947,-76.415184
-262.817719,81.303673,-76.767990
-260.943390,80.816399,-77.120796
-328.871429,100.191032,-63.861629
-326.997101,99.703758,-64.214432
-325.122772,99.216484,-64.567238
-323.248444,98.729210,-64.920044
-321.374115,98.241936,-65.272850
-319.499786,97.754662,-65.625656
-317.625458,97.267387,-65.978462
-315.751129,96.780113,-66.331268
-313.876801,96.292839,-66.684074
-312.002472,95.805565,-67.036880
-310.128143,95.318291,-67.389687
-308.253815,94.831017,-67.742493
-306.379486,94.343742,-68.095299
-304.505157,93.856468,-68.448105
-302.630829,93.369194,-68.800911
-300.756500,92.881920,-69.153717
-298.882172,92.394646,-69.506523
-297.007843,91.907372,-69.859329
-295.133514,91.420097,-70.212135
-293.259186,90.932823,-70.564941
-291.384857,90.445549,-70.917747
-289.510529,89.958275,-71.270554
-287.636200,89.471001,-71.623360
-285.761871,88.983727,-71.976166
-283.887543,88.496452,-72.328972
-282.013214,88.009178,-72.681778
-280.138885,87.521904,-73.034584
-278.264557,87.034630,-73.387390
-276.390228,86.547356,-73.740196
-274.515900,86.060081,-74.093002
-272.641571,85.572807,-74.445808
-270.767242,85.085533,-74.798615
-268.892914,84.598259,-75.151421
-267.018585,84.110985,-75.504227
-265.144257,83.623711,-75.857033
-263.269928,83.136436,-76.209839
-261.395599,82.649162,-76.562645
-327.449280,101.536530,-63.656292
-325.574951,101.049255,-64.009094
-323.700623,100.561981,-64.361900
-321.826294,100.074707,-64.714706
-319.951965,99.587433,-65.067513
-318.077637,99.100159,-65.420319
-316.203308,98.612885,-65.773125
-314.328979,98.125610,-66.125931
-312.454651,97.638336,-66.478737
-310.580322,97.151062,-66.831543
-308.705994,96.663788,-67.184349
-306.831665,96.176514,-67.537155
-304.957336,95.689240,-67.889961
-303.083008,95.201965,-68.242767
-301.208679,94.714691,-68.595573
-299.334351,94.227417,-68.948380
-297.460022,93.740143,-69.301186
-295.585693,93.252869,-69.653992
-293.711365,92.765594,-70.006798
-291.837036,92.278320,-70.359604
-289.962708,91.791046,-70.712410
-288.088379,91.303772,-71.065216
-286.214050,90.816498,-71.418022
-284.339722,90.329224,-71.770828
-282.465393,89.841949,-72.123634
-280.591064,89.354675,-72.476440
-278.716736,88.867401,-72.829247
-276.842407,88.380127,-73.182053
-274.968079,87.892853,-73.534859
-273.093750,87.405579,-73.887665
-271.219421,86.918304,-74.240471
-269.345093,86.431030,-74.593277
-267.470764,85.943756,-74.946083
-265.596436,85.456482,-75.298889
-263.722107,84.969208,-75.651695
-261.847778,84.481934,-76.004501
-326.027130,102.882019,-63.450951
-324.152802,102.394745,-63.803753
-322.278473,101.907471,-64.156555
-320.404144,101.420197,-64.509361
-318.529816,100.932922,-64.862167
-316.655487,100.445648,-65.214973
-314.781158,99.958374,-65.567780
-312.906830,99.471100,-65.920586
-311.032501,98.983826,-66.273392
-309.158173,98.496552,-66.626198
-307.283844,98.009277,-66.979004
-305.409515,97.522003,-67.331810
-303.535187,97.034729,-67.684616
-301.660858,96.547455,-68.037422
-299.786530,96.060181,-68.390228
-297.912201,95.572906,-68.743034
-296.037872,95.085632,-69.095840
-294.163544,94.598358,-69.448647
-292.289215,94.111084,-69.801453
-290.414886,93.623810,-70.154259
-288.540558,93.136536,-70.507065
-286.666229,92.649261,-70.859871
-284.791901,92.161987,-71.212677
-282.917572,91.674713,-71.565483
-281.043243,91.187439,-71.918289
-279.168915,90.700165,-72.271095
-277.294586,90.212891,-72.623901
-275.420258,89.725616,-72.976707
-273.545929,89.238342,-73.329514
-271.671600,88.751068,-73.682320
-269.797272,88.263794,-74.035126
-267.922943,87.776520,-74.387932
-266.048615,87.289246,-74.740738
-264.174286,86.801971,-75.093544
-262.299957,86.314697,-75.446350
-324.604980,104.227509,-63.245609
