tx,ty,tz
-283.788177,151.383759,-57.126198
-283.019714,149.661606,-57.690697
-282.251251,147.939453,-58.255196
-281.482788,146.217300,-58.819695
-280.714325,144.495148,-59.384193
-279.945862,142.772995,-59.948692
-279.177399,141.050842,-60.513191
-278.408936,139.328690,-61.077690
-277.640472,137.606537,-61.642189
-276.872009,135.884384,-62.206688
-276.103546,134.162231,-62.771187
-275.335083,132.440079,-63.335686
-274.566620,130.717926,-63.900185
-273.798157,128.995773,-64.464684
-273.029694,127.273621,-65.029182
-272.261230,125.551468,-65.593681
-271.492767,123.829315,-66.158180
-270.724304,122.107162,-66.722679
-269.955841,120.385010,-67.287178
-269.187378,118.662857,-67.851677
-268.418915,116.940704,-68.416176
-267.650452,115.218552,-68.980675
-266.881989,113.496399,-69.545174
-266.113525,111.774246,-70.109673
-265.345062,110.052094,-70.674171
-264.576599,108.329941,-71.238670
-263.808136,106.607788,-71.803169
-263.039673,104.885635,-72.367668
-262.271210,103.163483,-72.932167
-261.502747,101.441330,-73.496666
-260.734283,99.719177,-74.061165
-259.965820,97.997025,-74.625664
-259.197357,96.274872,-75.190163
-258.428894,94.552719,-75.754662
-257.660431,92.830566,-76.319160
-256.891968,91.108414,-76.883659
-256.123505,89.386261,-77.448158
-255.355042,87.664108,-78.012657
-254.586578,85.941956,-78.577156
-253.818115,84.219803,-79.141655
-253.049652,82.497650,-79.706154
-252.281189,80.775497,-80.270653
-251.512726,79.053345,-80.835152
-250.744263,77.331192,-81.399651
-282.123291,151.345673,-58.175800
-281.354828,149.623520,-58.740299
-280.586365,147.901367,-59.304798
-279.817902,146.179214,-59.869297
-279.049438,144.457062,-60.433796
-278.280975,142.734909,-60.998295
-277.512512,141.012756,-61.562794
-276.744049,139.290604,-62.127293
-275.975586,137.568451,-62.691792
-275.207123,135.846298,-63.256290
-274.438660,134.124146,-63.820789
-273.670197,132.401993,-64.385284
-272.901733,130.679840,-64.949783
-272.133270,128.957687,-65.514282
-271.364807,127.235535,-66.078781
-270.596344,125.513382,-66.643280
-269.827881,123.791229,-67.207779
-269.059418,122.069077,-67.772278
-268.290955,120.346924,-68.336777
-267.522491,118.624771,-68.901276
-266.754028,116.902618,-69.465775
-265.985565,115.180466,-70.030273
-265.217102,113.458313,-70.594772
-264.448639,111.736160,-71.159271
-263.680176,110.014008,-71.723770
-262.911713,108.291855,-72.288269
-262.143250,106.569702,-72.852768
-261.374786,104.847549,-73.417267
-260.606323,103.125397,-73.981766
-259.837860,101.403244,-74.546265
-259.069397,99.681091,-75.110764
-258.300934,97.958939,-75.675262
-257.532471,96.236786,-76.239761
-256.764008,94.514633,-76.804260
-255.995544,92.792480,-77.368759
-255.227081,91.070328,-77.933258
-254.458618,89.348175,-78.497757
-253.690155,87.626022,-79.062256
-252.921692,85.903870,-79.626755
-252.153229,84.181717,-80.191254
-251.384766,82.459564,-80.755753
-250.616302,80.737411,-81.320251
-249.847839,79.015259,-81.884750
-280.458405,151.307587,-59.225403
-279.689941,149.585434,-59.789902
-278.921478,147.863281,-60.354401
-278.153015,146.141129,-60.918900
-277.384552,144.418976,-61.483398
-276.616089,142.696823,-62.047897
-275.847626,140.974670,-62.612396
-275.079163,139.252518,-63.176895
-274.310699,137.530365,-63.741394
-273.542236,135.808212,-64.305893
-272.773773,134.086060,-64.870392
-272.005310,132.363907,-65.434891
-271.236847,130.641754,-65.999390
-270.468384,128.919601,-66.563889
-269.699921,127.197449,-67.128387
-268.931458,125.475296,-67.692886
-268.162994,123.753143,-68.257385
-267.394531,122.030991,-68.821884
-266.626068,120.308838,-69.386383
-265.857605,118.586685,-69.950882
-265.089142,116.864532,-70.515381
-264.320679,115.142380,-71.079880
-263.552216,113.420227,-71.644379
-262.783752,111.698074,-72.208878
-262.015289,109.975922,-72.773376
-261.246826,108.253769,-73.337875
-260.478363,106.531616,-73.902374
-259.709900,104.809464,-74.466873
-258.941437,103.087311,-75.031372
-258.172974,101.365158,-75.595871
-257.404510,99.643005,-76.160370
-256.636047,97.920853,-76.724869
-255.867584,96.198700,-77.289368
-255.099121,94.476547,-77.853867
-254.330658,92.754395,-78.418365
-253.562195,91.032242,-78.982864
-252.793732,89.310089,-79.547363
-252.025269,87.587936,-80.111862
-251.256805,85.865784,-80.676361
-250.488342,84.143631,-81.240860
-249.719879,82.421478,-81.805359
-278.793488,151.269516,-60.275009
-278.025024,149.547363,-60.839508
-277.256561,147.825211,-61.404007
-276.488098,146.103058,-61.968506
-275.719635,144.380905,-62.533005
-274.951172,142.658752,-63.097504
-274.182709,140.936600,-63.662003
-273.414246,139.214447,-64.226501
-272.645782,137.492294,-64.791000
-271.877319,135.770142,-65.355499
-271.108856,134.047989,-65.919998
-270.340393,132.325836,-66.484497
-269.571930,130.603683,-67.048996
-268.803467,128.881531,-67.613495
-268.035004,127.159378,-68.177994
-267.266541,125.437225,-68.742493
-266.498077,123.715073,-69.306992
-265.729614,121.992920,-69.871490
-264.961151,120.270767,-70.435989
-264.192688,118.548615,-71.000488
-263.424225,116.826462,-71.564987
-262.655762,115.104309,-72.129486
-261.887299,113.382156,-72.693985
-261.118835,111.660004,-73.258484
-260.350372,109.937851,-73.822983
-259.581909,108.215698,-74.387482
-258.813446,106.493546,-74.951981
-258.044983,104.771393,-75.516479
-257.276520,103.049240,-76.080978
-256.508057,101.327087,-76.645477
-255.739594,99.604935,-77.209976
-254.971130,97.882782,-77.774475
-254.202667,96.160629,-78.338974
-253.434204,94.438477,-78.903473
-252.665741,92.716324,-79.467972
-251.897278,90.994171,-80.032471
-251.128815,89.272018,-80.596970
-250.360352,87.549866,-81.161469
-249.591888,85.827713,-81.725967
-248.823425,84.105560,-82.290466
-277.128601,151.231430,-61.324612
-276.360138,149.509277,-61.889111
-275.591675,147.787125,-62.453609
-274.823212,146.064972,-63.018108
-274.054749,144.342819,-63.582607
-273.286285,142.620667,-64.147102
-272.517822,140.898514,-64.711601
-271.749359,139.176361,-65.276100
-270.980896,137.454208,-65.840599
-270.212433,135.732056,-66.405098
-269.443970,134.009903,-66.969597
-268.675507,132.287750,-67.534096
-267.907043,130.565598,-68.098595
-267.138580,128.843445,-68.663094
-266.370117,127.121292,-69.227592
-265.601654,125.399139,-69.792091
-264.833191,123.676987,-70.356590
-264.064728,121.954834,-70.921089
-263.296265,120.232681,-71.485588
-262.527802,118.510529,-72.050087
-261.759338,116.788376,-72.614586
-260.990875,115.066223,-73.179085
-260.222412,113.344070,-73.743584
-259.453949,111.621918,-74.308083
-258.685486,109.899765,-74.872581
-257.917023,108.177612,-75.437080
-257.148560,106.455460,-76.001579
-256.380096,104.733307,-76.566078
-255.611633,103.011154,-77.130577
-254.843170,101.289001,-77.695076
-254.074707,99.566849,-78.259575
-253.306244,97.844696,-78.824074
-252.537781,96.122543,-79.388573
-251.769318,94.400391,-79.953072
-251.000854,92.678238,-80.517570
-250.232391,90.956085,-81.082069
-249.463928,89.233932,-81.646568
-248.695465,87.511780,-82.211067
-275.463684,151.193344,-62.374214
-274.695221,149.471191,-62.938713
-273.926758,147.749039,-63.503212
-273.158295,146.026886,-64.067711
-272.389832,144.304733,-64.632210
-271.621368,142.582581,-65.196709
-270.852905,140.860428,-65.761208
-270.084442,139.138275,-66.325706
-269.315979,137.416122,-66.890205
-268.547516,135.693970,-67.454704
-267.779053,133.971817,-68.019203
-267.010590,132.249664,-68.583702
-266.242126,130.527512,-69.148201
-265.473663,128.805359,-69.712700
-264.705200,127.083206,-70.277199
-263.936737,125.361053,-70.841698
-263.168274,123.638901,-71.406197
-262.399811,121.916748,-71.970695
-261.631348,120.194595,-72.535194
-260.862885,118.472443,-73.099693
-260.094421,116.750290,-73.664192
-259.325958,115.028137,-74.228691
-258.557495,113.305984,-74.793190
-257.789032,111.583832,-75.357689
-257.020569,109.861679,-75.922188
-256.252106,108.139526,-76.486687
-255.483643,106.417374,-77.051186
-254.715179,104.695221,-77.615685
-253.946716,102.973068,-78.180183
-253.178253,101.250916,-78.744682
-252.409790,99.528763,-79.309181
-251.641327,97.806610,-79.873680
-250.872864,96.084457,-80.438179
-250.104401,94.362305,-81.002678
-249.335938,92.640152,-81.567177
-248.567474,90.917999,-82.131676
-247.799011,89.195847,-82.696175
-273.798798,151.155258,-63.423820
-273.030334,149.433105,-63.988319
-272.261871,147.710953,-64.552818
-271.493408,145.988800,-65.117317
-270.724945,144.266647,-65.681816
-269.956482,142.544495,-66.246315
-269.188019,140.822342,-66.810814
-268.419556,139.100189,-67.375313
-267.651093,137.378036,-67.939812
-266.882629,135.655884,-68.504311
-266.114166,133.933731,-69.068810
-265.345703,132.211578,-69.633308
-264.577240,130.489426,-70.197807
-263.808777,128.767273,-70.762306
-263.040314,127.045120,-71.326805
-262.271851,125.322968,-71.891304
-261.503387,123.600815,-72.455803
-260.734924,121.878662,-73.020302
-259.966461,120.156509,-73.584801
-259.197998,118.434357,-74.149300
-258.429535,116.712204,-74.713799
-257.661072,114.990051,-75.278297
-256.892609,113.267899,-75.842796
-256.124146,111.545746,-76.407295
-255.355682,109.823593,-76.971794
-254.587219,108.101440,-77.536293
-253.818756,106.379288,-78.100792
-253.050293,104.657135,-78.665291
-252.281830,102.934982,-79.229790
-251.513367,101.212830,-79.794289
-250.744904,99.490677,-80.358788
-249.976440,97.768524,-80.923286
-249.207977,96.046371,-81.487785
-248.439514,94.324219,-82.052284
-247.671051,92.602066,-82.616783
-272.133911,151.117188,-64.473427
-271.365448,149.395035,-65.037926
-270.596985,147.672882,-65.602425
