tx,ty,tz
-241.506287,157.585846,-83.575714
-242.992081,158.509354,-82.673195
-244.477875,159.432861,-81.770676
-245.963669,160.356369,-80.868156
-247.449463,161.279877,-79.965637
-248.935257,162.203384,-79.063118
-250.421051,163.126892,-78.160599
-251.906845,164.050400,-77.258080
-253.392639,164.973907,-76.355560
-254.878433,165.897415,-75.453041
-256.364227,166.820923,-74.550522
-257.850037,167.744431,-73.648003
-259.335846,168.667938,-72.745483
-260.821655,169.591446,-71.842964
-262.307465,170.514954,-70.940445
-263.793274,171.438461,-70.037926
-265.279083,172.361969,-69.135406
-266.764893,173.285477,-68.232887
-268.250702,174.208984,-67.330368
-269.736511,175.132492,-66.427849
-271.222321,176.056000,-65.525330
-272.708130,176.979507,-64.622810
-274.193939,177.903015,-63.720291
-275.679749,178.826523,-62.817772
-277.165558,179.750031,-61.915253
-278.651367,180.673538,-61.012733
-280.137177,181.597046,-60.110214
-281.622986,182.520554,-59.207695
-283.108795,183.444061,-58.305176
-284.594604,184.367569,-57.402657
-286.080414,185.291077,-56.500137
-287.566223,186.214584,-55.597618
-289.052032,187.138092,-54.695099
-290.537842,188.061600,-53.792580
-292.023651,188.985107,-52.890060
-293.509460,189.908615,-51.987541
-244.388245,157.466446,-81.757721
-245.874039,158.389954,-80.855202
-247.359833,159.313461,-79.952682
-248.845627,160.236969,-79.050163
-250.331421,161.160477,-78.147644
-251.817215,162.083984,-77.245125
-253.303009,163.007492,-76.342606
-254.788803,163.931000,-75.440086
-256.274597,164.854507,-74.537567
-257.760406,165.778015,-73.635048
-259.246216,166.701523,-72.732529
-260.732025,167.625031,-71.830009
-262.217834,168.548538,-70.927490
-263.703644,169.472046,-70.024971
-265.189453,170.395554,-69.122452
-266.675262,171.319061,-68.219933
-268.161072,172.242569,-67.317413
-269.646881,173.166077,-66.414894
-271.132690,174.089584,-65.512375
-272.618500,175.013092,-64.609856
-274.104309,175.936600,-63.707336
-275.590118,176.860107,-62.804817
-277.075928,177.783615,-61.902298
-278.561737,178.707123,-60.999779
-280.047546,179.630630,-60.097260
-281.533356,180.554138,-59.194740
-283.019165,181.477646,-58.292221
-284.504974,182.401154,-57.389702
-285.990784,183.324661,-56.487183
-287.476593,184.248169,-55.584663
-288.962402,185.171677,-54.682144
-290.448212,186.095184,-53.779625
-291.934021,187.018692,-52.877106
-293.419830,187.942200,-51.974586
-247.270203,157.347046,-79.939735
-248.755997,158.270554,-79.037216
-250.241791,159.194061,-78.134697
-251.727585,160.117569,-77.232178
-253.213379,161.041077,-76.329659
-254.699173,161.964584,-75.427139
-256.184967,162.888092,-74.524620
-257.670776,163.811600,-73.622101
-259.156586,164.735107,-72.719582
-260.642395,165.658615,-71.817062
-262.128204,166.582123,-70.914543
-263.614014,167.505630,-70.012024
-265.099823,168.429138,-69.109505
-266.585632,169.352646,-68.206985
-268.071442,170.276154,-67.304466
-269.557251,171.199661,-66.401947
-271.043060,172.123169,-65.499428
-272.528870,173.046677,-64.596909
-274.014679,173.970184,-63.694389
-275.500488,174.893692,-62.791870
-276.986298,175.817200,-61.889351
-278.472107,176.740707,-60.986832
-279.957916,177.664215,-60.084312
-281.443726,178.587723,-59.181793
-282.929535,179.511230,-58.279274
-284.415344,180.434738,-57.376755
-285.901154,181.358246,-56.474236
-287.386963,182.281754,-55.571716
-288.872772,183.205261,-54.669197
-290.358582,184.128769,-53.766678
-291.844391,185.052277,-52.864159
-250.152161,157.227631,-78.121742
-251.637955,158.151138,-77.219223
-253.123749,159.074646,-76.316704
-254.609543,159.998154,-75.414185
-256.095337,160.921661,-74.511665
-257.581146,161.845169,-73.609146
-259.066956,162.768677,-72.706627
-260.552765,163.692184,-71.804108
-262.038574,164.615692,-70.901588
-263.524384,165.539200,-69.999069
-265.010193,166.462708,-69.096550
-266.496002,167.386215,-68.194031
-267.981812,168.309723,-67.291512
-269.467621,169.233231,-66.388992
-270.953430,170.156738,-65.486473
-272.439240,171.080246,-64.583954
-273.925049,172.003754,-63.681435
-275.410858,172.927261,-62.778915
-276.896667,173.850769,-61.876396
-278.382477,174.774277,-60.973877
-279.868286,175.697784,-60.071358
-281.354095,176.621292,-59.168839
-282.839905,177.544800,-58.266319
-284.325714,178.468307,-57.363800
-285.811523,179.391815,-56.461281
-287.297333,180.315323,-55.558762
-288.783142,181.238831,-54.656242
-290.268951,182.162338,-53.753723
-291.754761,183.085846,-52.851204
-253.034119,157.108231,-76.303757
-254.519913,158.031738,-75.401237
-256.005707,158.955246,-74.498718
-257.491516,159.878754,-73.596199
-258.977325,160.802261,-72.693680
-260.463135,161.725769,-71.791161
-261.948944,162.649277,-70.888641
-263.434753,163.572784,-69.986122
-264.920563,164.496292,-69.083603
-266.406372,165.419800,-68.181084
-267.892181,166.343307,-67.278564
-269.377991,167.266815,-66.376045
-270.863800,168.190323,-65.473526
-272.349609,169.113831,-64.571007
-273.835419,170.037338,-63.668488
-275.321228,170.960846,-62.765968
-276.807037,171.884354,-61.863449
-278.292847,172.807861,-60.960930
-279.778656,173.731369,-60.058411
-281.264465,174.654877,-59.155891
-282.750275,175.578384,-58.253372
-284.236084,176.501892,-57.350853
-285.721893,177.425400,-56.448334
-287.207703,178.348907,-55.545815
-288.693512,179.272415,-54.643295
-290.179321,180.195923,-53.740776
-291.665131,181.119431,-52.838257
-255.916077,156.988831,-74.485764
-257.401886,157.912338,-73.583244
-258.887695,158.835846,-72.680725
-260.373505,159.759354,-71.778206
-261.859314,160.682861,-70.875687
-263.345123,161.606369,-69.973167
-264.830933,162.529877,-69.070648
-266.316742,163.453384,-68.168129
-267.802551,164.376892,-67.265610
-269.288361,165.300400,-66.363091
-270.774170,166.223907,-65.460571
-272.259979,167.147415,-64.558052
-273.745789,168.070923,-63.655533
-275.231598,168.994431,-62.753014
-276.717407,169.917938,-61.850494
-278.203217,170.841446,-60.947975
-279.689026,171.764954,-60.045456
-281.174835,172.688461,-59.142937
-282.660645,173.611969,-58.240417
-284.146454,174.535477,-57.337898
-285.632263,175.458984,-56.435379
-287.118073,176.382492,-55.532860
-288.603882,177.306000,-54.630341
-290.089691,178.229507,-53.727821
-258.798035,156.869431,-72.667770
-260.283844,157.792938,-71.765251
-261.769653,158.716446,-70.862732
-263.255463,159.639954,-69.960213
-264.741272,160.563461,-69.057693
-266.227081,161.486969,-68.155174
-267.712891,162.410477,-67.252655
-269.198700,163.333984,-66.350136
-270.684509,164.257492,-65.447617
-272.170319,165.181000,-64.545097
-273.656128,166.104507,-63.642578
-275.141937,167.028015,-62.740059
-276.627747,167.951523,-61.837540
-278.113556,168.875031,-60.935020
-279.599365,169.798538,-60.032501
-281.085175,170.722046,-59.129982
-282.570984,171.645554,-58.227463
-284.056793,172.569061,-57.324944
-285.542603,173.492569,-56.422424
-287.028412,174.416077,-55.519905
-288.514221,175.339584,-54.617386
-290.000031,176.263092,-53.714867
-263.165802,157.673523,-69.947266
-264.651611,158.597031,-69.044746
-266.137421,159.520538,-68.142227
-267.623230,160.444046,-67.239708
-269.109039,161.367554,-66.337189
-270.594849,162.291061,-65.434669
-272.080658,163.214569,-64.532150
-273.566467,164.138077,-63.629631
-275.052277,165.061584,-62.727112
-276.538086,165.985092,-61.824593
-278.023895,166.908600,-60.922073
-279.509705,167.832108,-60.019554
-280.995514,168.755615,-59.117035
-282.481323,169.679123,-58.214516
-283.967133,170.602631,-57.311996
-285.452942,171.526138,-56.409477
-286.938751,172.449646,-55.506958
-288.424561,173.373154,-54.604439
-289.910370,174.296661,-53.701920
-266.047760,157.554123,-68.129280
-267.533569,158.477631,-67.226761
-269.019379,159.401138,-66.324242
-270.505188,160.324646,-65.421722
-271.990997,161.248154,-64.519203
-273.476807,162.171661,-63.616684
-274.962616,163.095169,-62.714165
-276.448425,164.018677,-61.811646
-277.934235,164.942184,-60.909126
-279.420044,165.865692,-60.006607
-280.905853,166.789200,-59.104088
-282.391663,167.712708,-58.201569
-283.877472,168.636215,-57.299049
-285.363281,169.559723,-56.396530
-286.849091,170.483231,-55.494011
-288.334900,171.406738,-54.591492
-268.929718,157.434723,-66.311287
-270.415527,158.358231,-65.408768
-271.901337,159.281738,-64.506248
-273.387146,160.205246,-63.603729
-274.872955,161.128754,-62.701210
-276.358765,162.052261,-61.798691
-277.844574,162.975769,-60.896172
-279.330383,163.899277,-59.993652
-280.816193,164.822784,-59.091133
-282.302002,165.746292,-58.188614
-283.787811,166.669800,-57.286095
-285.273621,167.593307,-56.383575
-286.759430,168.516815,-55.481056
-288.245239,169.440323,-54.578537
-271.811676,157.315308,-64.493301
-273.297485,158.238815,-63.590782
-274.783295,159.162323,-62.688263
-276.269104,160.085831,-61.785744
-277.754913,161.009338,-60.883224
-279.240723,161.932846,-59.980705
-280.726532,162.856354,-59.078186
-282.212341,163.779861,-58.175667
-283.698151,164.703369,-57.273148
-285.183960,165.626877,-56.370628
-286.669769,166.550385,-55.468109
-288.155579,167.473892,-54.565590
-274.693634,157.195908,-62.675308
-276.179443,158.119415,-61.772789
-277.665253,159.042923,-60.870270
-279.151062,159.966431,-59.967751
-280.636871,160.889938,-59.065231
-282.122681,161.813446,-58.162712
-283.608490,162.736954,-57.260193
-285.094299,163.660461,-56.357674
-286.580109,164.583969,-55.455154
-277.575592,157.076508,-60.857319
-279.061401,158.000015,-59.954800
-280.547211,158.923523,-59.052280
-282.033020,159.847031,-58.149761
-283.518829,160.770538,-57.247242
-285.004639,161.694046,-56.344723
-286.490448,162.617554,-55.442204
-280.457550,156.957108,-59.039330
-281.943359,157.880615,-58.136810
-283.429169,158.804123,-57.234291
-284.914978,159.727631,-56.331772
-286.400787,160.651138,-55.429253
-283.339508,156.837692,-57.221340
-284.825317,157.761200,-56.318821
