tx,ty,tz
-280.737793,16.251665,-68.194717
-278.813751,16.251665,-68.610786
-276.889709,16.251665,-69.026855
-274.965668,16.251665,-69.442924
-273.041626,16.251665,-69.858994
-271.117584,16.251665,-70.275063
-269.193542,16.251665,-70.691132
-267.269501,16.251665,-71.107201
-265.345459,16.251665,-71.523270
-263.421417,16.251665,-71.939339
-261.497375,16.251665,-72.355408
-259.573334,16.251665,-72.771477
-257.649292,16.251665,-73.187546
-255.725266,16.251665,-73.603615
-253.801239,16.251665,-74.019684
-251.877213,16.251665,-74.435753
-249.953186,16.251665,-74.851822
-248.029160,16.251665,-75.267891
-246.105133,16.251665,-75.683960
-244.181107,16.251665,-76.100029
-242.257080,16.251665,-76.516098
-240.333054,16.251665,-76.932167
-238.409027,16.251665,-77.348236
-236.485001,16.251665,-77.764305
-234.560974,16.251665,-78.180374
-232.636948,16.251665,-78.596443
-230.712921,16.251665,-79.012512
-228.788895,16.251665,-79.428581
-226.864868,16.251665,-79.844650
-224.940842,16.251665,-80.260719
-223.016815,16.251665,-80.676788
-221.092789,16.251665,-81.092857
-219.168762,16.251665,-81.508926
-217.244736,16.251665,-81.924995
-215.320709,16.251665,-82.341064
-213.396683,16.251665,-82.757133
-211.472656,16.251665,-83.173203
-209.548630,16.251665,-83.589272
-207.624603,16.251665,-84.005341
-205.700577,16.251665,-84.421410
-203.776550,16.251665,-84.837479
-201.852524,16.251665,-85.253548
-199.928497,16.251665,-85.669617
-198.004471,16.251665,-86.085686
-196.080444,16.251665,-86.501755
-194.156418,16.251665,-86.917824
-192.232391,16.251665,-87.333893
-190.308365,16.251665,-87.749962
-188.384338,16.251665,-88.166031
-186.460312,16.251665,-88.582100
-279.826965,17.939150,-68.639458
-277.902924,17.939150,-69.055527
-275.978882,17.939150,-69.471596
-274.054840,17.939150,-69.887665
-272.130798,17.939150,-70.303734
-270.206757,17.939150,-70.719803
-268.282715,17.939150,-71.135872
-266.358673,17.939150,-71.551941
-264.434631,17.939150,-71.968010
-262.510590,17.939150,-72.384079
-260.586548,17.939150,-72.800148
-258.662506,17.939150,-73.216217
-256.738464,17.939150,-73.632286
-254.814438,17.939150,-74.048355
-252.890411,17.939150,-74.464424
-250.966385,17.939150,-74.880493
-249.042358,17.939150,-75.296562
-247.118332,17.939150,-75.712631
-245.194305,17.939150,-76.128700
-243.270279,17.939150,-76.544769
-241.346252,17.939150,-76.960838
-239.422226,17.939150,-77.376907
-237.498199,17.939150,-77.792976
-235.574173,17.939150,-78.209045
-233.650146,17.939150,-78.625114
-231.726120,17.939150,-79.041183
-229.802094,17.939150,-79.457253
-227.878067,17.939150,-79.873322
-225.954041,17.939150,-80.289391
-224.030014,17.939150,-80.705460
-222.105988,17.939150,-81.121529
-220.181961,17.939150,-81.537598
-218.257935,17.939150,-81.953667
-216.333908,17.939150,-82.369736
-214.409882,17.939150,-82.785805
-212.485855,17.939150,-83.201874
-210.561829,17.939150,-83.617943
-208.637802,17.939150,-84.034012
-206.713776,17.939150,-84.450081
-204.789749,17.939150,-84.866150
-202.865723,17.939150,-85.282219
-200.941696,17.939150,-85.698288
-199.017670,17.939150,-86.114357
-197.093643,17.939150,-86.530426
-195.169617,17.939150,-86.946495
-193.245590,17.939150,-87.362564
-191.321564,17.939150,-87.778633
-189.397537,17.939150,-88.194702
-276.992096,19.626635,-69.500267
-275.068054,19.626635,-69.916336
-273.144012,19.626635,-70.332405
-271.219971,19.626635,-70.748474
-269.295929,19.626635,-71.164543
-267.371887,19.626635,-71.580612
-265.447845,19.626635,-71.996681
-263.523804,19.626635,-72.412750
-261.599762,19.626635,-72.828819
-259.675720,19.626635,-73.244888
-257.751678,19.626635,-73.660957
-255.827652,19.626635,-74.077026
-253.903625,19.626635,-74.493095
-251.979599,19.626635,-74.909164
-250.055573,19.626635,-75.325233
-248.131546,19.626635,-75.741302
-246.207520,19.626635,-76.157372
-244.283493,19.626635,-76.573441
-242.359467,19.626635,-76.989510
-240.435440,19.626635,-77.405579
-238.511414,19.626635,-77.821648
-236.587387,19.626635,-78.237717
-234.663361,19.626635,-78.653786
-232.739334,19.626635,-79.069855
-230.815308,19.626635,-79.485924
-228.891281,19.626635,-79.901993
-226.967255,19.626635,-80.318062
-225.043228,19.626635,-80.734131
-223.119202,19.626635,-81.150200
