tx,ty,tz
-236.158768,61.679451,-83.476555
-234.589066,60.503349,-83.643311
-233.019363,59.327248,-83.810066
-231.449661,58.151146,-83.976822
-229.879959,56.975044,-84.143578
-228.310257,55.798943,-84.310333
-226.740555,54.622841,-84.477089
-225.170853,53.446739,-84.643845
-223.601151,52.270638,-84.810600
-222.031448,51.094536,-84.977356
-220.461746,49.918434,-85.144112
-218.892044,48.742332,-85.310867
-217.322342,47.566231,-85.477623
-215.752640,46.390129,-85.644379
-214.182938,45.214027,-85.811134
-212.613235,44.037926,-85.977890
-211.043533,42.861824,-86.144646
-209.473831,41.685722,-86.311401
-207.904129,40.509621,-86.478157
-206.334427,39.333519,-86.644913
-204.764725,38.157417,-86.811668
-203.195023,36.981316,-86.978424
-201.625320,35.805214,-87.145180
-200.055618,34.629112,-87.311935
-198.485916,33.453011,-87.478691
-196.916214,32.276909,-87.645447
-195.346512,31.100807,-87.812202
-193.776810,29.924706,-87.978958
-192.207108,28.748604,-88.145714
-190.637405,27.572502,-88.312469
-189.067703,26.396400,-88.479225
-187.498001,25.220299,-88.645981
-232.782928,61.280235,-83.739761
-231.213226,60.104134,-83.906517
-229.643524,58.928032,-84.073273
-228.073822,57.751930,-84.240028
-226.504120,56.575829,-84.406784
-224.934418,55.399727,-84.573540
-223.364716,54.223625,-84.740295
-221.795013,53.047523,-84.907051
-220.225311,51.871422,-85.073807
-218.655609,50.695320,-85.240562
-217.085907,49.519218,-85.407318
-215.516205,48.343117,-85.574074
-213.946503,47.167015,-85.740829
-212.376801,45.990913,-85.907585
-210.807098,44.814812,-86.074341
-209.237396,43.638710,-86.241096
-207.667694,42.462608,-86.407852
-206.097992,41.286507,-86.574608
-204.528290,40.110405,-86.741364
-202.958588,38.934303,-86.908119
-201.388885,37.758202,-87.074875
-199.819183,36.582100,-87.241631
-198.249481,35.405998,-87.408386
-196.679779,34.229897,-87.575142
-195.110077,33.053795,-87.741898
-193.540375,31.877693,-87.908653
-191.970673,30.701591,-88.075409
-190.400970,29.525490,-88.242165
-188.831268,28.349388,-88.408920
-227.837357,59.704918,-84.169724
-226.267654,58.528816,-84.336479
-224.697952,57.352715,-84.503235
-223.128250,56.176613,-84.669991
-221.558548,55.000511,-84.836746
-219.988846,53.824409,-85.003502
-218.419144,52.648308,-85.170258
-216.849442,51.472206,-85.337013
-215.279739,50.296104,-85.503769
-213.710037,49.120003,-85.670525
-212.140335,47.943901,-85.837280
-210.570633,46.767799,-86.004036
-209.000931,45.591698,-86.170792
-207.431229,44.415596,-86.337547
-205.861526,43.239494,-86.504303
-204.291824,42.063393,-86.671059
-202.722122,40.887291,-86.837814
-201.152420,39.711189,-87.004570
-199.582718,38.535088,-87.171326
-198.013016,37.358986,-87.338081
-196.443314,36.182884,-87.504837
-194.873611,35.006783,-87.671593
-193.303909,33.830681,-87.838348
-191.734207,32.654579,-88.005104
-190.164505,31.478477,-88.171860
-188.594803,30.302376,-88.338615
-222.891800,58.129597,-84.599693
-221.322098,56.953495,-84.766449
-219.752396,55.777393,-84.933205
-218.182693,54.601292,-85.099960
-216.612991,53.425190,-85.266716
-215.043289,52.249088,-85.433472
-213.473587,51.072987,-85.600227
-211.903885,49.896885,-85.766983
-210.334183,48.720783,-85.933739
-208.764481,47.544682,-86.100494
-207.194778,46.368580,-86.267250
-205.625076,45.192478,-86.434006
-204.055374,44.016376,-86.600761
-202.485672,42.840275,-86.767517
-200.915970,41.664173,-86.934273
-199.346268,40.488071,-87.101028
-197.776566,39.311970,-87.267784
-196.206863,38.135868,-87.434540
-194.637161,36.959766,-87.601295
-193.067459,35.783665,-87.768051
-191.497757,34.607563,-87.934807
-189.928055,33.431461,-88.101563
-219.515961,57.730381,-84.862900
-217.946259,56.554279,-85.029655
-216.376556,55.378178,-85.196411
-214.806854,54.202076,-85.363167
-213.237152,53.025974,-85.529922
-211.667450,51.849873,-85.696678
-210.097748,50.673771,-85.863434
-208.528046,49.497669,-86.030190
-206.958344,48.321568,-86.196945
-205.388641,47.145466,-86.363701
-203.818939,45.969364,-86.530457
-202.249237,44.793262,-86.697212
-200.679535,43.617161,-86.863968
-199.109833,42.441059,-87.030724
-197.540131,41.264957,-87.197479
-195.970428,40.088856,-87.364235
-194.400726,38.912754,-87.530991
-192.831024,37.736652,-87.697746
-191.261322,36.560551,-87.864502
-214.570389,56.155064,-85.292862
-213.000687,54.978962,-85.459618
-211.430984,53.802860,-85.626373
-209.861282,52.626759,-85.793129
-208.291580,51.450657,-85.959885
-206.721878,50.274555,-86.126640
-205.152176,49.098454,-86.293396
-203.582474,47.922352,-86.460152
-202.012772,46.746250,-86.626907
-200.443069,45.570148,-86.793663
-198.873367,44.394047,-86.960419
-197.303665,43.217945,-87.127174
-195.733963,42.041843,-87.293930
-194.164261,40.865742,-87.460686
-192.594559,39.689640,-87.627441
-209.624832,54.579742,-85.722832
-208.055130,53.403641,-85.889587
-206.485428,52.227539,-86.056343
-204.915726,51.051437,-86.223099
-203.346024,49.875336,-86.389854
-201.776321,48.699234,-86.556610
