tx,ty,tz
-159.036652,147.661697,-55.725658
-159.687012,145.907623,-56.338230
-160.337372,144.153549,-56.950802
-160.987732,142.399475,-57.563374
-161.638092,140.645401,-58.175945
-162.288452,138.891327,-58.788517
-162.938812,137.137253,-59.401089
-163.589172,135.383179,-60.013660
-164.239532,133.629105,-60.626232
-164.889893,131.875031,-61.238804
-165.540253,130.120956,-61.851376
-166.190613,128.366882,-62.463947
-166.840973,126.612808,-63.076519
-167.491333,124.858734,-63.689091
-168.141693,123.104660,-64.301659
-168.792053,121.350586,-64.914230
-169.442413,119.596512,-65.526802
-170.092773,117.842438,-66.139374
-170.743134,116.088364,-66.751945
-171.393494,114.334290,-67.364517
-172.043854,112.580215,-67.977089
-172.694214,110.826141,-68.589661
-173.344574,109.072067,-69.202232
-173.994934,107.317993,-69.814804
-174.645294,105.563919,-70.427376
-175.295654,103.809845,-71.039948
-175.946014,102.055771,-71.652519
-176.596375,100.301697,-72.265091
-177.246735,98.547623,-72.877663
-177.897095,96.793549,-73.490234
-178.547455,95.039474,-74.102806
-179.197815,93.285400,-74.715378
-179.848175,91.531326,-75.327950
-180.498535,89.777252,-75.940521
-181.148895,88.023178,-76.553093
-181.799255,86.269104,-77.165665
-182.449615,84.515030,-77.778236
-183.099976,82.760956,-78.390808
-183.750336,81.006882,-79.003380
-184.400696,79.252808,-79.615952
-185.051056,77.498734,-80.228523
-185.701416,75.744659,-80.841095
-186.351776,73.990585,-81.453667
-187.002136,72.236511,-82.066238
-187.652496,70.482437,-82.678810
-188.302856,68.728363,-83.291382
-188.953217,66.974289,-83.903954
-189.603577,65.220215,-84.516525
-190.253937,63.466137,-85.129097
-190.904297,61.712059,-85.741669
-159.486282,151.024704,-55.389427
-160.136642,149.270630,-56.001999
-160.787003,147.516556,-56.614571
-161.437363,145.762482,-57.227142
-162.087723,144.008408,-57.839714
-162.738083,142.254333,-58.452286
-163.388443,140.500259,-59.064857
-164.038803,138.746185,-59.677429
-164.689163,136.992111,-60.290001
-165.339523,135.238037,-60.902573
-165.989883,133.483963,-61.515144
-166.640244,131.729889,-62.127716
-167.290604,129.975815,-62.740288
-167.940964,128.221741,-63.352859
-168.591324,126.467667,-63.965431
-169.241684,124.713593,-64.578003
-169.892044,122.959518,-65.190575
-170.542404,121.205444,-65.803146
-171.192764,119.451370,-66.415718
-171.843124,117.697296,-67.028290
-172.493484,115.943222,-67.640862
