tx,ty,tz
-159.694321,156.473816,-54.583981
-161.279129,157.470734,-55.191887
-162.863937,158.467651,-55.799793
-164.448746,159.464569,-56.407700
-166.033554,160.461487,-57.015606
-167.618362,161.458405,-57.623512
-169.203171,162.455322,-58.231419
-170.787979,163.452240,-58.839325
-172.372787,164.449158,-59.447231
-173.957596,165.446075,-60.055138
-175.542404,166.442993,-60.663044
-177.127213,167.439911,-61.270950
-178.712021,168.436829,-61.878857
-180.296829,169.433746,-62.486763
-181.881638,170.430664,-63.094669
-183.466446,171.427582,-63.702576
-185.051254,172.424500,-64.310486
-186.636063,173.421417,-64.918396
-188.220871,174.418335,-65.526306
-189.805679,175.415253,-66.134216
-191.390488,176.412170,-66.742126
-192.975296,177.409088,-67.350037
-194.560104,178.406006,-67.957947
-196.144913,179.402924,-68.565857
-197.729721,180.399841,-69.173767
-199.314529,181.396759,-69.781677
-200.899338,182.393677,-70.389587
-202.484146,183.390594,-70.997498
-204.068954,184.387512,-71.605408
-205.653763,185.384430,-72.213318
-207.238571,186.381348,-72.821228
-208.823380,187.378265,-73.429138
-210.408188,188.375183,-74.037048
-211.992996,189.372101,-74.644958
-213.577805,190.369019,-75.252869
-215.162613,191.365936,-75.860779
-162.754272,156.523315,-56.087078
-164.339081,157.520233,-56.694984
-165.923889,158.517151,-57.302891
-167.508698,159.514069,-57.910797
-169.093506,160.510986,-58.518703
-170.678314,161.507904,-59.126610
-172.263123,162.504822,-59.734516
-173.847931,163.501740,-60.342422
-175.432739,164.498657,-60.950329
-177.017548,165.495575,-61.558235
-178.602356,166.492493,-62.166142
-180.187164,167.489410,-62.774048
-181.771973,168.486328,-63.381954
-183.356781,169.483246,-63.989861
-184.941589,170.480164,-64.597771
-186.526398,171.477081,-65.205681
-188.111206,172.473999,-65.813591
-189.696014,173.470917,-66.421501
-191.280823,174.467834,-67.029411
-192.865631,175.464752,-67.637321
-194.450439,176.461670,-68.245232
-196.035248,177.458588,-68.853142
-197.620056,178.455505,-69.461052
-199.204865,179.452423,-70.068962
-200.789673,180.449341,-70.676872
-202.374481,181.446259,-71.284782
-203.959290,182.443176,-71.892693
-205.544098,183.440094,-72.500603
-207.128906,184.437012,-73.108513
-208.713715,185.433929,-73.716423
-210.298523,186.430847,-74.324333
-211.883331,187.427765,-74.932243
-213.468140,188.424683,-75.540154
-215.052948,189.421600,-76.148064
-165.814209,156.572830,-57.590179
-167.399017,157.569748,-58.198086
-168.983826,158.566666,-58.805992
-170.568634,159.563583,-59.413898
-172.153442,160.560501,-60.021805
-173.738251,161.557419,-60.629711
-175.323059,162.554337,-61.237617
-176.907867,163.551254,-61.845524
-178.492676,164.548172,-62.453430
-180.077484,165.545090,-63.061337
-181.662292,166.542007,-63.669243
-183.247101,167.538925,-64.277153
-184.831909,168.535843,-64.885063
-186.416718,169.532761,-65.492973
-188.001526,170.529678,-66.100883
-189.586334,171.526596,-66.708794
-191.171143,172.523514,-67.316704
-192.755951,173.520432,-67.924614
-194.340759,174.517349,-68.532524
-195.925568,175.514267,-69.140434
-197.510376,176.511185,-69.748344
-199.095184,177.508102,-70.356255
-200.679993,178.505020,-70.964165
-202.264801,179.501938,-71.572075
-203.849609,180.498856,-72.179985
-205.434418,181.495773,-72.787895
-207.019226,182.492691,-73.395805
-208.604034,183.489609,-74.003716
-210.188843,184.486526,-74.611626
-211.773651,185.483444,-75.219536
-213.358459,186.480362,-75.827446
-214.943268,187.477280,-76.435356
-168.874161,156.622345,-59.093277
-170.458969,157.619263,-59.701183
-172.043777,158.616180,-60.309090
-173.628586,159.613098,-60.916996
-175.213394,160.610016,-61.524902
-176.798203,161.606934,-62.132809
-178.383011,162.603851,-62.740715
-179.967819,163.600769,-63.348621
-181.552628,164.597687,-63.956528
-183.137436,165.594604,-64.564438
-184.722244,166.591522,-65.172348
-186.307053,167.588440,-65.780258
-187.891861,168.585358,-66.388168
-189.476669,169.582275,-66.996078
-191.061478,170.579193,-67.603989
-192.646286,171.576111,-68.211899
-194.231094,172.573029,-68.819809
-195.815903,173.569946,-69.427719
-197.400711,174.566864,-70.035629
-198.985519,175.563782,-70.643539
-200.570328,176.560699,-71.251450
-202.155136,177.557617,-71.859360
-203.739944,178.554535,-72.467270
-205.324753,179.551453,-73.075180
-206.909561,180.548370,-73.683090
-208.494370,181.545288,-74.291000
-210.079178,182.542206,-74.898911
-211.663986,183.539124,-75.506821
-213.248795,184.536041,-76.114731
-214.833603,185.532959,-76.722641
-216.418411,186.529877,-77.330551
-171.934097,156.671844,-60.596375
-173.518906,157.668762,-61.204281
-175.103714,158.665680,-61.812187
-176.688522,159.662598,-62.420094
-178.273331,160.659515,-63.028000
-179.858139,161.656433,-63.635906
-181.442947,162.653351,-64.243813
-183.027756,163.650269,-64.851723
-184.612564,164.647186,-65.459633
-186.197372,165.644104,-66.067543
-187.782181,166.641022,-66.675453
-189.366989,167.637939,-67.283363
-190.951797,168.634857,-67.891273
-192.536606,169.631775,-68.499184
-194.121414,170.628693,-69.107094
-195.706223,171.625610,-69.715004
-197.291031,172.622528,-70.322914
-198.875839,173.619446,-70.930824
-200.460648,174.616364,-71.538734
-202.045456,175.613281,-72.146645
-203.630264,176.610199,-72.754555
-205.215073,177.607117,-73.362465
-206.799881,178.604034,-73.970375
-208.384689,179.600952,-74.578285
-209.969498,180.597870,-75.186195
-211.554306,181.594788,-75.794106
-213.139114,182.591705,-76.402016
-214.723923,183.588623,-77.009926
-216.308731,184.585541,-77.617836
-174.994049,156.721359,-62.099472
-176.578857,157.718277,-62.707378
-178.163666,158.715195,-63.315285
-179.748474,159.712112,-63.923191
-181.333282,160.709030,-64.531097
-182.918091,161.705948,-65.139008
-184.502899,162.702866,-65.746918
-186.087708,163.699783,-66.354828
-187.672516,164.696701,-66.962738
-189.257324,165.693619,-67.570648
-190.842133,166.690536,-68.178558
-192.426941,167.687454,-68.786469
-194.011749,168.684372,-69.394379
-195.596558,169.681290,-70.002289
-197.181366,170.678207,-70.610199
-198.766174,171.675125,-71.218109
-200.350983,172.672043,-71.826019
-201.935791,173.668961,-72.433929
-203.520599,174.665878,-73.041840
-205.105408,175.662796,-73.649750
-206.690216,176.659714,-74.257660
-208.275024,177.656631,-74.865570
-209.859833,178.653549,-75.473480
-211.444641,179.650467,-76.081390
-213.029449,180.647385,-76.689301
-214.614258,181.644302,-77.297211
-216.199066,182.641220,-77.905121
-178.053986,156.770874,-63.602573
-179.638794,157.767792,-64.210480
-181.223602,158.764709,-64.818390
-182.808411,159.761627,-65.426300
-184.393219,160.758545,-66.034210
-185.978027,161.755463,-66.642120
-187.562836,162.752380,-67.250031
-189.147644,163.749298,-67.857941
-190.732452,164.746216,-68.465851
-192.317261,165.743134,-69.073761
-193.902069,166.740051,-69.681671
-195.486877,167.736969,-70.289581
-197.071686,168.733887,-70.897491
-198.656494,169.730804,-71.505402
-200.241302,170.727722,-72.113312
-201.826111,171.724640,-72.721222
-203.410919,172.721558,-73.329132
-204.995728,173.718475,-73.937042
-206.580536,174.715393,-74.544952
-208.165344,175.712311,-75.152863
-209.750153,176.709229,-75.760773
-211.334961,177.706146,-76.368683
-212.919769,178.703064,-76.976593
-214.504578,179.699982,-77.584503
-216.089386,180.696899,-78.192413
-217.674194,181.693817,-78.800323
-181.113937,156.820374,-65.105667
-182.698746,157.817291,-65.713577
-184.283554,158.814209,-66.321487
-185.868362,159.811127,-66.929398
-187.453171,160.808044,-67.537308
-189.037979,161.804962,-68.145218
-190.622787,162.801880,-68.753128
-192.207596,163.798798,-69.361038
-193.792404,164.795715,-69.968948
-195.377213,165.792633,-70.576859
-196.962021,166.789551,-71.184769
-198.546829,167.786469,-71.792679
-200.131638,168.783386,-72.400589
-201.716446,169.780304,-73.008499
-203.301254,170.777222,-73.616409
-204.886063,171.774139,-74.224319
-206.470871,172.771057,-74.832230
-208.055679,173.767975,-75.440140
-209.640488,174.764893,-76.048050
-211.225296,175.761810,-76.655960
-212.810104,176.758728,-77.263870
-214.394913,177.755646,-77.871780
-215.979721,178.752563,-78.479691
-217.564529,179.749481,-79.087601
-184.173889,156.869888,-66.608765
-185.758698,157.866806,-67.216675
-187.343506,158.863724,-67.824585
-188.928314,159.860641,-68.432495
-190.513123,160.857559,-69.040405
-192.097931,161.854477,-69.648315
-193.682739,162.851395,-70.256226
-195.267548,163.848312,-70.864136
-196.852356,164.845230,-71.472046
-198.437164,165.842148,-72.079956
-200.021973,166.839066,-72.687866
-201.606781,167.835983,-73.295776
-203.191589,168.832901,-73.903687
-204.776398,169.829819,-74.511597
-206.361206,170.826736,-75.119507
-207.946014,171.823654,-75.727417
-209.530823,172.820572,-76.335327
-211.115631,173.817490,-76.943237
-212.700439,174.814407,-77.551147
-214.285248,175.811325,-78.159058
-215.870056,176.808243,-78.766968
-217.454865,177.805161,-79.374878
-187.233826,156.919388,-68.111870
-188.818634,157.916306,-68.719780
-190.403442,158.913223,-69.327690
-191.988251,159.910141,-69.935600
-193.573059,160.907059,-70.543510
-195.157867,161.903976,-71.151421
-196.742676,162.900894,-71.759331
-198.327484,163.897812,-72.367241
-199.912292,164.894730,-72.975151
-201.497101,165.891647,-73.583061
-203.081909,166.888565,-74.190971
-204.666718,167.885483,-74.798882
-206.251526,168.882401,-75.406792
-207.836334,169.879318,-76.014702
-209.421143,170.876236,-76.622612
-211.005951,171.873154,-77.230522
-212.590759,172.870071,-77.838432
-214.175568,173.866989,-78.446342
-215.760376,174.863907,-79.054253
-217.345184,175.860825,-79.662163
-190.293777,156.968903,-69.614967
-191.878586,157.965820,-70.222878
-193.463394,158.962738,-70.830788
-195.048203,159.959656,-71.438698
-196.633011,160.956573,-72.046608
-198.217819,161.953491,-72.654518
-199.802628,162.950409,-73.262428
-201.387436,163.947327,-73.870338
-202.972244,164.944244,-74.478249
-204.557053,165.941162,-75.086159
-206.141861,166.938080,-75.694069
-207.726669,167.934998,-76.301979
-209.311478,168.931915,-76.909889
-210.896286,169.928833,-77.517799
-212.481094,170.925751,-78.125710
-214.065903,171.922668,-78.733620
-215.650711,172.919586,-79.341530
-217.235519,173.916504,-79.949440
-218.820328,174.913422,-80.557350
-193.353714,157.018417,-71.118065
-194.938522,158.015335,-71.725975
-196.523331,159.012253,-72.333885
-198.108139,160.009171,-72.941795
-199.692947,161.006088,-73.549706
-201.277756,162.003006,-74.157616
-202.862564,162.999924,-74.765526
-204.447372,163.996841,-75.373436
-206.032181,164.993759,-75.981346
-207.616989,165.990677,-76.589256
-209.201797,166.987595,-77.197166
-210.786606,167.984512,-77.805077
-212.371414,168.981430,-78.412987
-213.956223,169.978348,-79.020897
-215.541031,170.975266,-79.628807
-217.125839,171.972183,-80.236717
-218.710648,172.969101,-80.844627
-196.413666,157.067917,-72.621162
-197.998474,158.064835,-73.229073
-199.583282,159.061752,-73.836983
-201.168091,160.058670,-74.444893
-202.752899,161.055588,-75.052803
-204.337708,162.052505,-75.660713
-205.922516,163.049423,-76.268623
-207.507324,164.046341,-76.876534
-209.092133,165.043259,-77.484444
-210.676941,166.040176,-78.092354
-212.261749,167.037094,-78.700264
-213.846558,168.034012,-79.308174
-215.431366,169.030930,-79.916084
-217.016174,170.027847,-80.523994
-218.600983,171.024765,-81.131905
-199.473602,157.117432,-74.124260
-201.058411,158.114349,-74.732170
-202.643219,159.111267,-75.340080
-204.228027,160.108185,-75.947990
-205.812836,161.105103,-76.555901
-207.397644,162.102020,-77.163811
-208.982452,163.098938,-77.771721
-210.567261,164.095856,-78.379631
-212.152069,165.092773,-78.987541
-213.736877,166.089691,-79.595451
-215.321686,167.086609,-80.203362
-216.906494,168.083527,-80.811272
-218.491302,169.080444,-81.419182
-220.076111,170.077362,-82.027092
-202.533554,157.166931,-75.627365
-204.118362,158.163849,-76.235275
-205.703171,159.160767,-76.843185
-207.287979,160.157684,-77.451096
-208.872787,161.154602,-78.059006
-210.457596,162.151520,-78.666916
-212.042404,163.148438,-79.274826
-213.627213,164.145355,-79.882736
-215.212021,165.142273,-80.490646
-216.796829,166.139191,-81.098557
-218.381638,167.136108,-81.706467
-219.966446,168.133026,-82.314377
-205.593506,157.216446,-77.130463
-207.178314,158.213364,-77.738373
-208.763123,159.210281,-78.346283
-210.347931,160.207199,-78.954193
-211.932739,161.204117,-79.562103
-213.517548,162.201035,-80.170013
-215.102356,163.197952,-80.777924
-216.687164,164.194870,-81.385834
-218.271973,165.191788,-81.993744
-219.856781,166.188705,-82.601654
-208.653442,157.265961,-78.633560
-210.238251,158.262878,-79.241470
-211.823059,159.259796,-79.849380
-213.407867,160.256714,-80.457291
-214.992676,161.253632,-81.065201
-216.577484,162.250549,-81.673111
-218.162292,163.247467,-82.281021
-219.747101,164.244385,-82.888931
-221.331909,165.241302,-83.496841
-211.713394,157.315460,-80.136658
-213.298203,158.312378,-80.744568
-214.883011,159.309296,-81.352478
-216.467819,160.306213,-81.960388
-218.052628,161.303131,-82.568298
-219.637436,162.300049,-83.176208
-221.222244,163.296967,-83.784119
-213.188538,156.368057,-81.031845
-214.773346,157.364975,-81.639755
-216.358154,158.361893,-82.247665
-217.942963,159.358810,-82.855576
-219.527771,160.355728,-83.463486
-221.112579,161.352646,-84.071396
-216.248474,156.417557,-82.534943
-217.833282,157.414474,-83.142853
-219.418091,158.411392,-83.750763
-221.002899,159.408310,-84.358673
-222.587708,160.405228,-84.966583
-219.308426,156.467072,-84.038040
-220.893234,157.463989,-84.645950
-222.478043,158.460907,-85.253860
-222.368378,156.516571,-85.541145
