tx,ty,tz
-174.739792,51.658970,-87.372238
-172.834915,51.163757,-87.406746
-170.930038,50.668545,-87.441254
-169.025162,50.173332,-87.475761
-167.120285,49.678120,-87.510269
-165.215408,49.182907,-87.544777
-163.310532,48.687695,-87.579285
-161.405655,48.192482,-87.613792
-159.500778,47.697269,-87.648300
-157.595901,47.202057,-87.682808
-155.691025,46.706844,-87.717316
-153.786148,46.211632,-87.751823
-151.881271,45.716419,-87.786331
-149.976395,45.221207,-87.820839
-148.071518,44.725994,-87.855347
-146.166641,44.230782,-87.889854
-144.261765,43.735569,-87.924362
-142.356888,43.240356,-87.958870
-140.452011,42.745144,-87.993378
-138.547134,42.249931,-88.027885
-136.642258,41.754719,-88.062393
-134.737381,41.259506,-88.096901
-132.832504,40.764294,-88.131409
-130.927628,40.269081,-88.165916
-129.022751,39.773869,-88.200424
-127.117867,39.278656,-88.234932
-125.212982,38.783443,-88.269440
-123.308098,38.288231,-88.303947
-121.403214,37.793018,-88.338455
-119.498329,37.297806,-88.372963
-117.593445,36.802593,-88.407471
-115.688560,36.307381,-88.441978
-113.783676,35.812168,-88.476486
-111.878792,35.316956,-88.510994
-109.973907,34.821743,-88.545502
-108.069023,34.326530,-88.580009
-106.164139,33.831318,-88.614517
-104.259254,33.336105,-88.649025
-102.354370,32.840893,-88.683533
-100.449486,32.345680,-88.718040
-98.544601,31.850468,-88.752548
-96.639717,31.355255,-88.787056
-94.734833,30.860043,-88.821564
-92.829948,30.364830,-88.856071
-90.925064,29.869617,-88.890579
-89.020180,29.374405,-88.925087
-87.115295,28.879192,-88.959595
-85.210411,28.383980,-88.994102
-83.305527,27.888767,-89.028610
-81.400642,27.393555,-89.063118
-79.495758,26.898342,-89.097626
-77.590874,26.403130,-89.132133
-75.685989,25.907917,-89.166641
-73.781105,25.412704,-89.201149
-71.876221,24.917492,-89.235657
-69.971336,24.422279,-89.270164
-68.066452,23.927067,-89.304672
-66.161568,23.431854,-89.339180
-64.256683,22.936642,-89.373688
-62.351799,22.441429,-89.408195
-60.446915,21.946217,-89.442703
-58.542030,21.451004,-89.477211
-56.637146,20.955791,-89.511719
-54.732262,20.460579,-89.546227
-171.452789,52.564762,-87.363121
-169.547913,52.069550,-87.397629
-167.643036,51.574337,-87.432137
-165.738159,51.079124,-87.466644
-163.833282,50.583912,-87.501152
-161.928406,50.088699,-87.535660
-160.023529,49.593487,-87.570168
-158.118652,49.098274,-87.604675
-156.213776,48.603062,-87.639183
-154.308899,48.107849,-87.673691
-152.404022,47.612637,-87.708199
-150.499146,47.117424,-87.742706
-148.594269,46.622211,-87.777214
-146.689392,46.126999,-87.811722
-144.784515,45.631786,-87.846230
-142.879639,45.136574,-87.880737
-140.974762,44.641361,-87.915245
-139.069885,44.146149,-87.949753
-137.165009,43.650936,-87.984261
-135.260132,43.155724,-88.018768
-133.355255,42.660511,-88.053276
-131.450378,42.165298,-88.087784
-129.545502,41.670086,-88.122292
-127.640617,41.174873,-88.156799
-125.735733,40.679661,-88.191307
-123.830849,40.184448,-88.225815
-121.925964,39.689236,-88.260323
-120.021080,39.194023,-88.294830
-118.116196,38.698811,-88.329338
-116.211311,38.203598,-88.363846
-114.306427,37.708385,-88.398354
-112.401543,37.213173,-88.432861
-110.496658,36.717960,-88.467369
-108.591774,36.222748,-88.501877
-106.686890,35.727535,-88.536385
-104.782005,35.232323,-88.570892
-102.877121,34.737110,-88.605400
-100.972237,34.241898,-88.639908
-99.067352,33.746685,-88.674416
-97.162468,33.251472,-88.708923
-95.257584,32.756260,-88.743431
-93.352699,32.261047,-88.777939
-91.447815,31.765835,-88.812447
-89.542931,31.270622,-88.846954
-87.638046,30.775410,-88.881462
-85.733162,30.280197,-88.915970
-83.828278,29.784985,-88.950478
-81.923393,29.289772,-88.984985
-80.018509,28.794559,-89.019493
-78.113625,28.299347,-89.054001
-76.208740,27.804134,-89.088509
-74.303856,27.308922,-89.123016
-72.398972,26.813709,-89.157524
-70.494087,26.318497,-89.192032
-68.589203,25.823284,-89.226540
-66.684319,25.328072,-89.261047
-64.779434,24.832859,-89.295555
-62.874550,24.337646,-89.330063
-60.969666,23.842434,-89.364571
-59.064781,23.347221,-89.399078
-57.159897,22.852009,-89.433586
-166.260880,52.975342,-87.388519
-164.356003,52.480129,-87.423027
-162.451126,51.984917,-87.457535
-160.546249,51.489704,-87.492043
-158.641373,50.994492,-87.526550
-156.736496,50.499279,-87.561058
-154.831619,50.004066,-87.595566
-152.926743,49.508854,-87.630074
-151.021866,49.013641,-87.664581
-149.116989,48.518429,-87.699089
-147.212112,48.023216,-87.733597
-145.307236,47.528004,-87.768105
-143.402359,47.032791,-87.802612
-141.497482,46.537579,-87.837120
-139.592606,46.042366,-87.871628
-137.687729,45.547153,-87.906136
-135.782852,45.051941,-87.940643
-133.877975,44.556728,-87.975151
-131.973099,44.061516,-88.009659
-130.068222,43.566303,-88.044167
-128.163345,43.071091,-88.078674
-126.258461,42.575878,-88.113182
-124.353577,42.080666,-88.147690
-122.448692,41.585453,-88.182198
-120.543808,41.090240,-88.216705
-118.638924,40.595028,-88.251213
-116.734039,40.099815,-88.285721
-114.829155,39.604603,-88.320229
-112.924271,39.109390,-88.354736
-111.019386,38.614178,-88.389244
-109.114502,38.118965,-88.423752
-107.209618,37.623753,-88.458260
-105.304733,37.128540,-88.492767
-103.399849,36.633327,-88.527275
-101.494965,36.138115,-88.561783
-99.590080,35.642902,-88.596291
-97.685196,35.147690,-88.630798
-95.780312,34.652477,-88.665306
-93.875427,34.157265,-88.699814
-91.970543,33.662052,-88.734322
-90.065659,33.166840,-88.768829
-88.160774,32.671627,-88.803337
-86.255890,32.176414,-88.837845
-84.351006,31.681202,-88.872353
-82.446121,31.185989,-88.906860
-80.541237,30.690777,-88.941368
-78.636353,30.195564,-88.975876
-76.731468,29.700352,-89.010384
-74.826584,29.205139,-89.044891
-72.921700,28.709927,-89.079399
-71.016815,28.214714,-89.113907
-69.111931,27.719501,-89.148415
-67.207047,27.224289,-89.182922
-65.302162,26.729076,-89.217430
-63.397278,26.233864,-89.251938
-61.492393,25.738651,-89.286446
-59.587509,25.243439,-89.320953
-161.068985,53.385921,-87.413918
-159.164108,52.890709,-87.448425
-157.259232,52.395496,-87.482933
-155.354355,51.900284,-87.517441
-153.449478,51.405071,-87.551949
-151.544601,50.909859,-87.586456
-149.639725,50.414646,-87.620964
-147.734848,49.919434,-87.655472
-145.829971,49.424221,-87.689980
-143.925095,48.929008,-87.724487
-142.020218,48.433796,-87.758995
-140.115341,47.938583,-87.793503
-138.210464,47.443371,-87.828011
-136.305588,46.948158,-87.862518
-134.400711,46.452946,-87.897026
-132.495834,45.957733,-87.931534
-130.590958,45.462521,-87.966042
-128.686081,44.967308,-88.000549
-126.781197,44.472095,-88.035057
-124.876312,43.976883,-88.069565
-122.971428,43.481670,-88.104073
-121.066544,42.986458,-88.138580
-119.161659,42.491245,-88.173088
-117.256775,41.996033,-88.207596
-115.351891,41.500820,-88.242104
-113.447006,41.005608,-88.276611
-111.542122,40.510395,-88.311119
-109.637238,40.015182,-88.345627
-107.732353,39.519970,-88.380135
-105.827469,39.024757,-88.414642
-103.922585,38.529545,-88.449150
-102.017700,38.034332,-88.483658
-100.112816,37.539120,-88.518166
-98.207932,37.043907,-88.552673
-96.303047,36.548695,-88.587181
-94.398163,36.053482,-88.621689
-92.493279,35.558270,-88.656197
-90.588394,35.063057,-88.690704
-88.683510,34.567844,-88.725212
-86.778625,34.072632,-88.759720
-84.873741,33.577419,-88.794228
-82.968857,33.082207,-88.828735
-81.063972,32.586994,-88.863243
-79.159088,32.091782,-88.897751
-77.254204,31.596569,-88.932259
-75.349319,31.101357,-88.966766
-73.444435,30.606144,-89.001274
-71.539551,30.110931,-89.035782
-69.634666,29.615719,-89.070290
-67.729782,29.120506,-89.104797
-65.824898,28.625294,-89.139305
-63.920013,28.130081,-89.173813
-62.015129,27.634869,-89.208321
-159.686844,54.786926,-87.370293
-157.781967,54.291714,-87.404800
-155.877090,53.796501,-87.439308
-153.972214,53.301289,-87.473816
-152.067337,52.806076,-87.508324
-150.162460,52.310863,-87.542831
-148.257584,51.815651,-87.577339
-146.352707,51.320438,-87.611847
-144.447830,50.825226,-87.646355
-142.542953,50.330013,-87.680862
-140.638077,49.834801,-87.715370
-138.733200,49.339588,-87.749878
-136.828323,48.844376,-87.784386
-134.923447,48.349163,-87.818893
-133.018570,47.853951,-87.853401
-131.113693,47.358738,-87.887909
-129.208817,46.863525,-87.922417
-127.303932,46.368313,-87.956924
-125.399048,45.873100,-87.991432
-123.494164,45.377888,-88.025940
-121.589279,44.882675,-88.060448
-119.684395,44.387463,-88.094955
-117.779510,43.892250,-88.129463
-115.874626,43.397038,-88.163971
-113.969742,42.901825,-88.198479
-112.064857,42.406612,-88.232986
-110.159973,41.911400,-88.267494
-108.255089,41.416187,-88.302002
-106.350204,40.920975,-88.336510
-104.445320,40.425762,-88.371017
-102.540436,39.930550,-88.405525
-100.635551,39.435337,-88.440033
-98.730667,38.940125,-88.474541
-96.825783,38.444912,-88.509048
-94.920898,37.949699,-88.543556
-93.016014,37.454487,-88.578064
-91.111130,36.959274,-88.612572
-89.206245,36.464062,-88.647079
-87.301361,35.968849,-88.681587
-85.396477,35.473637,-88.716095
-83.491592,34.978424,-88.750603
-81.586708,34.483212,-88.785110
-79.681824,33.987999,-88.819618
-77.776939,33.492786,-88.854126
-75.872055,32.997574,-88.888634
-73.967171,32.502361,-88.923141
-72.062286,32.007149,-88.957649
-70.157402,31.511936,-88.992157
-68.252518,31.016724,-89.026665
-66.347633,30.521511,-89.061172
-64.442749,30.026299,-89.095680
-152.590057,54.702293,-87.430199
-150.685181,54.207081,-87.464706
-148.780304,53.711868,-87.499214
-146.875427,53.216656,-87.533722
-144.970551,52.721443,-87.568230
-143.065674,52.226231,-87.602737
-141.160797,51.731018,-87.637245
-139.255920,51.235806,-87.671753
-137.351044,50.740593,-87.706261
-135.446167,50.245380,-87.740768
-133.541290,49.750168,-87.775276
-131.636414,49.254955,-87.809784
-129.731537,48.759743,-87.844292
-127.826653,48.264530,-87.878799
-125.921768,47.769318,-87.913307
-124.016884,47.274105,-87.947815
-122.112000,46.778893,-87.982323
-120.207115,46.283680,-88.016830
-118.302231,45.788467,-88.051338
-116.397346,45.293255,-88.085846
-114.492462,44.798042,-88.120354
-112.587578,44.302830,-88.154861
-110.682693,43.807617,-88.189369
-108.777809,43.312405,-88.223877
-106.872925,42.817192,-88.258385
-104.968040,42.321980,-88.292892
-103.063156,41.826767,-88.327400
-101.158272,41.331554,-88.361908
-99.253387,40.836342,-88.396416
-97.348503,40.341129,-88.430923
-95.443619,39.845917,-88.465431
-93.538734,39.350704,-88.499939
-91.633850,38.855492,-88.534447
-89.728966,38.360279,-88.568954
-87.824081,37.865067,-88.603462
-85.919197,37.369854,-88.637970
-84.014313,36.874641,-88.672478
-82.109428,36.379429,-88.706985
-80.204544,35.884216,-88.741493
-78.299660,35.389004,-88.776001
-76.394775,34.893791,-88.810509
-74.489891,34.398579,-88.845016
-72.585007,33.903366,-88.879524
-70.680122,33.408154,-88.914032
-68.775238,32.912941,-88.948540
-66.870354,32.417728,-88.983047
-149.303040,55.608086,-87.421082
-147.398163,55.112873,-87.455589
-145.493286,54.617661,-87.490097
-143.588409,54.122448,-87.524605
-141.683533,53.627235,-87.559113
-139.778656,53.132023,-87.593620
-137.873779,52.636810,-87.628128
-135.968903,52.141598,-87.662636
-134.064026,51.646385,-87.697144
-132.159149,51.151173,-87.731651
-130.254272,50.655960,-87.766159
-128.349396,50.160748,-87.800667
-126.444511,49.665535,-87.835175
-124.539627,49.170322,-87.869682
-122.634743,48.675110,-87.904190
-120.729858,48.179897,-87.938698
-118.824974,47.684685,-87.973206
-116.920090,47.189472,-88.007713
-115.015205,46.694260,-88.042221
-113.110321,46.199047,-88.076729
-111.205437,45.703835,-88.111237
-109.300552,45.208622,-88.145744
-107.395668,44.713409,-88.180252
-105.490784,44.218197,-88.214760
-103.585899,43.722984,-88.249268
-101.681015,43.227772,-88.283775
-99.776131,42.732559,-88.318283
-97.871246,42.237347,-88.352791
-95.966362,41.742134,-88.387299
-94.061478,41.246922,-88.421806
-92.156593,40.751709,-88.456314
-90.251709,40.256496,-88.490822
-88.346825,39.761284,-88.525330
-86.441940,39.266071,-88.559837
-84.537056,38.770859,-88.594345
-82.632172,38.275646,-88.628853
-80.727287,37.780434,-88.663361
-78.822403,37.285221,-88.697868
-76.917519,36.790009,-88.732376
-75.012634,36.294796,-88.766884
-73.107750,35.799583,-88.801392
-71.202866,35.304371,-88.835899
-69.297981,34.809158,-88.870407
-146.016022,56.513878,-87.411964
-144.111145,56.018665,-87.446472
-142.206268,55.523453,-87.480980
-140.301392,55.028240,-87.515488
-138.396515,54.533028,-87.549995
-136.491638,54.037815,-87.584503
-134.586761,53.542603,-87.619011
-132.681885,53.047390,-87.653519
-130.777008,52.552177,-87.688026
-128.872131,52.056965,-87.722534
-126.967247,51.561752,-87.757042
-125.062363,51.066540,-87.791550
-123.157478,50.571327,-87.826057
-121.252594,50.076115,-87.860565
-119.347710,49.580902,-87.895073
-117.442825,49.085690,-87.929581
-115.537941,48.590477,-87.964088
-113.633057,48.095264,-87.998596
-111.728172,47.600052,-88.033104
-109.823288,47.104839,-88.067612
-107.918404,46.609627,-88.102119
-106.013519,46.114414,-88.136627
-104.108635,45.619202,-88.171135
-102.203751,45.123989,-88.205643
-100.298866,44.628777,-88.240150
-98.393982,44.133564,-88.274658
-96.489098,43.638351,-88.309166
-94.584213,43.143139,-88.343674
-92.679329,42.647926,-88.378181
-90.774445,42.152714,-88.412689
-88.869560,41.657501,-88.447197
-86.964676,41.162289,-88.481705
-85.059792,40.667076,-88.516212
-83.154907,40.171864,-88.550720
-81.250023,39.676651,-88.585228
-79.345139,39.181438,-88.619736
-77.440254,38.686226,-88.654243
-75.535370,38.191013,-88.688751
-73.630486,37.695801,-88.723259
-71.725601,37.200588,-88.757767
-140.824127,56.924458,-87.437363
-138.919250,56.429245,-87.471870
-137.014374,55.934032,-87.506378
-135.109497,55.438820,-87.540886
-133.204620,54.943607,-87.575394
-131.299744,54.448395,-87.609901
-129.394867,53.953182,-87.644409
-127.489983,53.457970,-87.678917
-125.585098,52.962757,-87.713425
-123.680214,52.467545,-87.747932
-121.775330,51.972332,-87.782440
-119.870445,51.477119,-87.816948
-117.965561,50.981907,-87.851456
-116.060677,50.486694,-87.885963
-114.155792,49.991482,-87.920471
-112.250908,49.496269,-87.954979
-110.346024,49.001057,-87.989487
-108.441139,48.505844,-88.023994
-106.536255,48.010632,-88.058502
-104.631371,47.515419,-88.093010
-102.726486,47.020206,-88.127518
-100.821602,46.524994,-88.162025
-98.916718,46.029781,-88.196533
-97.011833,45.534569,-88.231041
-95.106949,45.039356,-88.265549
-93.202065,44.544144,-88.300056
-91.297180,44.048931,-88.334564
-89.392296,43.553719,-88.369072
-87.487411,43.058506,-88.403580
-85.582527,42.563293,-88.438087
-83.677643,42.068081,-88.472595
-81.772758,41.572868,-88.507103
-79.867874,41.077656,-88.541611
-77.962990,40.582443,-88.576118
-76.058105,40.087231,-88.610626
-74.153221,39.592018,-88.645134
-137.537109,57.830246,-87.428246
-135.632233,57.335033,-87.462753
-133.727356,56.839821,-87.497261
-131.822479,56.344608,-87.531769
-129.917603,55.849396,-87.566277
-128.012726,55.354183,-87.600784
-126.107841,54.858971,-87.635292
-124.202957,54.363758,-87.669800
-122.298073,53.868546,-87.704308
-120.393188,53.373333,-87.738815
-118.488304,52.878120,-87.773323
-116.583420,52.382908,-87.807831
-114.678535,51.887695,-87.842339
-112.773651,51.392483,-87.876846
-110.868767,50.897270,-87.911354
-108.963882,50.402058,-87.945862
-107.058998,49.906845,-87.980370
-105.154114,49.411633,-88.014877
-103.249229,48.916420,-88.049385
-101.344345,48.421207,-88.083893
-99.439461,47.925995,-88.118401
-97.534576,47.430782,-88.152908
-95.629692,46.935570,-88.187416
-93.724808,46.440357,-88.221924
-91.819923,45.945145,-88.256432
-89.915039,45.449932,-88.290939
-88.010155,44.954720,-88.325447
-86.105270,44.459507,-88.359955
-84.200386,43.964294,-88.394463
-82.295502,43.469082,-88.428970
-80.390617,42.973869,-88.463478
-78.485733,42.478657,-88.497986
-132.345215,58.240829,-87.453644
-130.440338,57.745617,-87.488152
-128.535461,57.250404,-87.522659
-126.630577,56.755192,-87.557167
-124.725693,56.259979,-87.591675
-122.820808,55.764767,-87.626183
-120.915924,55.269554,-87.660690
-119.011040,54.774342,-87.695198
-117.106155,54.279129,-87.729706
-115.201271,53.783916,-87.764214
-113.296387,53.288704,-87.798721
-111.391502,52.793491,-87.833229
-109.486618,52.298279,-87.867737
-107.581734,51.803066,-87.902245
-105.676849,51.307854,-87.936752
-103.771965,50.812641,-87.971260
-101.867081,50.317429,-88.005768
-99.962196,49.822216,-88.040276
-98.057312,49.327003,-88.074783
-96.152428,48.831791,-88.109291
-94.247543,48.336578,-88.143799
-92.342659,47.841366,-88.178307
-90.437775,47.346153,-88.212814
-88.532890,46.850941,-88.247322
-86.628006,46.355728,-88.281830
-84.723122,45.860516,-88.316338
-82.818237,45.365303,-88.350845
-80.913353,44.870090,-88.385353
-79.008469,44.374878,-88.419861
-127.153313,58.651409,-87.479042
-125.248428,58.156197,-87.513550
-123.343544,57.660984,-87.548058
-121.438660,57.165771,-87.582565
-119.533775,56.670559,-87.617073
-117.628891,56.175346,-87.651581
-115.724007,55.680134,-87.686089
-113.819122,55.184921,-87.720596
-111.914238,54.689709,-87.755104
-110.009354,54.194496,-87.789612
-108.104469,53.699284,-87.824120
-106.199585,53.204071,-87.858627
-104.294701,52.708858,-87.893135
-102.389816,52.213646,-87.927643
-100.484932,51.718433,-87.962151
-98.580048,51.223221,-87.996658
-96.675163,50.728008,-88.031166
-94.770279,50.232796,-88.065674
-92.865395,49.737583,-88.100182
-90.960510,49.242371,-88.134689
-89.055626,48.747158,-88.169197
-87.150742,48.251945,-88.203705
-85.245857,47.756733,-88.238213
-83.340973,47.261520,-88.272720
-81.436089,46.766308,-88.307228
-123.866295,59.557201,-87.469925
-121.961411,59.061989,-87.504433
-120.056526,58.566776,-87.538940
-118.151642,58.071564,-87.573448
-116.246758,57.576351,-87.607956
-114.341873,57.081139,-87.642464
-112.436989,56.585926,-87.676971
-110.532104,56.090714,-87.711479
-108.627220,55.595501,-87.745987
-106.722336,55.100288,-87.780495
-104.817451,54.605076,-87.815002
-102.912567,54.109863,-87.849510
-101.007683,53.614651,-87.884018
-99.102798,53.119438,-87.918526
-97.197914,52.624226,-87.953033
-95.293030,52.129013,-87.987541
-93.388145,51.633801,-88.022049
-91.483261,51.138588,-88.056557
-89.578377,50.643375,-88.091064
-87.673492,50.148163,-88.125572
-85.768608,49.652950,-88.160080
-83.863724,49.157738,-88.194588
-118.674393,59.967781,-87.495323
-116.769508,59.472569,-87.529831
-114.864624,58.977356,-87.564339
-112.959740,58.482143,-87.598846
-111.054855,57.986931,-87.633354
