tx,ty,tz
-152.367599,149.261444,-53.162243
-151.385071,147.682236,-53.807026
-150.402542,146.103027,-54.451809
-149.420013,144.523819,-55.096592
-148.437485,142.944611,-55.741375
-147.454956,141.365402,-56.386158
-146.472427,139.786194,-57.030941
-145.489899,138.206985,-57.675724
-144.507370,136.627777,-58.320507
-143.524841,135.048569,-58.965290
-142.542313,133.469360,-59.610073
-141.559784,131.890152,-60.254856
-140.577255,130.310944,-60.899639
-139.594727,128.731735,-61.544422
-138.612198,127.152527,-62.189205
-137.629669,125.573318,-62.833988
-136.647141,123.994110,-63.478771
-135.664612,122.414902,-64.123558
-134.682083,120.835693,-64.768341
-133.699554,119.256485,-65.413124
-132.717026,117.677277,-66.057907
-131.734497,116.098068,-66.702690
-130.751968,114.518860,-67.347473
-129.769440,112.939651,-67.992256
-128.786911,111.360443,-68.637039
-127.804390,109.781235,-69.281822
-126.821869,108.202026,-69.926605
-125.839348,106.622818,-70.571388
-124.856827,105.043610,-71.216171
-123.874306,103.464401,-71.860954
-122.891785,101.885193,-72.505737
-121.909264,100.305984,-73.150520
-120.926743,98.726776,-73.795303
-119.944221,97.147568,-74.440086
-118.961700,95.568359,-75.084869
-117.979179,93.989151,-75.729652
-116.996658,92.409943,-76.374435
-116.014137,90.830734,-77.019218
-115.031616,89.251526,-77.664001
-114.049095,87.672318,-78.308784
-113.066574,86.093109,-78.953568
-112.084053,84.513901,-79.598351
-111.101532,82.934692,-80.243134
-110.119011,81.355484,-80.887917
-109.136490,79.776276,-81.532700
-108.153969,78.197067,-82.177483
-107.171448,76.617859,-82.822266
-106.188927,75.038651,-83.467049
-105.206406,73.459442,-84.111832
-104.223885,71.880234,-84.756615
-103.241364,70.301025,-85.401398
-152.367996,146.065094,-54.348976
-151.385468,144.485886,-54.993759
-150.402939,142.906677,-55.638542
-149.420410,141.327469,-56.283325
-148.437881,139.748260,-56.928108
-147.455353,138.169052,-57.572891
-146.472824,136.589844,-58.217674
-145.490295,135.010635,-58.862457
-144.507767,133.431427,-59.507240
-143.525238,131.852219,-60.152023
-142.542709,130.273010,-60.796806
-141.560181,128.693802,-61.441589
-140.577652,127.114594,-62.086372
-139.595123,125.535385,-62.731155
-138.612595,123.956177,-63.375938
-137.630066,122.376968,-64.020721
-136.647537,120.797760,-64.665504
-135.665009,119.218552,-65.310287
-134.682480,117.639343,-65.955070
-133.699951,116.060135,-66.599854
-132.717422,114.480927,-67.244637
-131.734894,112.901718,-67.889420
-130.752365,111.322510,-68.534203
-129.769836,109.743301,-69.178986
-128.787308,108.164093,-69.823769
-127.804787,106.584885,-70.468552
-126.822266,105.005676,-71.113335
-125.839745,103.426468,-71.758118
-124.857224,101.847260,-72.402901
-123.874702,100.268051,-73.047684
-122.892181,98.688843,-73.692467
-121.909660,97.109634,-74.337250
-120.927139,95.530426,-74.982033
-119.944618,93.951218,-75.626816
-118.962097,92.372009,-76.271599
-117.979576,90.792801,-76.916382
-116.997055,89.213593,-77.561165
-116.014534,87.634384,-78.205948
-115.032013,86.055176,-78.850731
-114.049492,84.475967,-79.495514
-113.066971,82.896759,-80.140297
-112.084450,81.317551,-80.785080
-111.101929,79.738342,-81.429863
-110.119408,78.159134,-82.074646
-109.136887,76.579926,-82.719429
-108.154366,75.000717,-83.364212
-107.171844,73.421509,-84.008995
-106.189323,71.842300,-84.653778
-105.206802,70.263092,-85.298561
-153.350922,144.447952,-54.890926
-152.368393,142.868744,-55.535709
-151.385864,141.289536,-56.180492
-150.403336,139.710327,-56.825275
-149.420807,138.131119,-57.470058
-148.438278,136.551910,-58.114841
-147.455750,134.972702,-58.759624
-146.473221,133.393494,-59.404408
-145.490692,131.814285,-60.049191
-144.508163,130.235077,-60.693974
-143.525635,128.655869,-61.338757
-142.543106,127.076660,-61.983540
-141.560577,125.497452,-62.628323
-140.578049,123.918243,-63.273106
-139.595520,122.339035,-63.917889
-138.612991,120.759827,-64.562675
-137.630463,119.180618,-65.207458
-136.647934,117.601410,-65.852242
-135.665405,116.022202,-66.497025
-134.682877,114.442993,-67.141808
-133.700348,112.863785,-67.786591
-132.717819,111.284576,-68.431374
-131.735291,109.705368,-69.076157
-130.752762,108.126160,-69.720940
-129.770233,106.546951,-70.365723
-128.787704,104.967743,-71.010506
-127.805183,103.388535,-71.655289
-126.822662,101.809326,-72.300072
-125.840141,100.230118,-72.944855
-124.857620,98.650909,-73.589638
-123.875099,97.071701,-74.234421
-122.892578,95.492493,-74.879204
-121.910057,93.913284,-75.523987
-120.927536,92.334076,-76.168770
-119.945015,90.754868,-76.813553
-118.962494,89.175659,-77.458336
-117.979973,87.596451,-78.103119
-116.997452,86.017242,-78.747902
-116.014931,84.438034,-79.392685
-115.032410,82.858826,-80.037468
-114.049889,81.279617,-80.682251
-113.067368,79.700409,-81.327034
-112.084846,78.121201,-81.971817
-111.102325,76.541992,-82.616600
-110.119804,74.962784,-83.261383
-109.137283,73.383575,-83.906166
-108.154762,71.804367,-84.550949
-107.172241,70.225159,-85.195732
-154.333862,142.830811,-55.432877
-153.351334,141.251602,-56.077660
-152.368805,139.672394,-56.722443
-151.386276,138.093185,-57.367226
-150.403748,136.513977,-58.012009
-149.421219,134.934769,-58.656792
-148.438690,133.355560,-59.301575
-147.456161,131.776352,-59.946358
-146.473633,130.197144,-60.591141
-145.491104,128.617935,-61.235924
-144.508575,127.038727,-61.880707
-143.526047,125.459518,-62.525490
-142.543518,123.880310,-63.170273
-141.560989,122.301102,-63.815056
-140.578461,120.721893,-64.459839
-139.595932,119.142685,-65.104622
-138.613403,117.563477,-65.749405
-137.630875,115.984268,-66.394188
-136.648346,114.405060,-67.038971
-135.665817,112.825851,-67.683754
-134.683289,111.246643,-68.328537
-133.700760,109.667435,-68.973320
-132.718231,108.088226,-69.618103
-131.735703,106.509018,-70.262886
-130.753174,104.929810,-70.907669
-129.770645,103.350601,-71.552452
-128.788116,101.771393,-72.197235
-127.805595,100.192184,-72.842018
-126.823074,98.612976,-73.486801
-125.840553,97.033768,-74.131584
-124.858032,95.454559,-74.776367
-123.875511,93.875351,-75.421150
-122.892990,92.296143,-76.065933
-121.910469,90.716934,-76.710716
-120.927948,89.137726,-77.355499
-119.945427,87.558517,-78.000282
-118.962906,85.979309,-78.645065
-117.980385,84.400101,-79.289848
-116.997864,82.820892,-79.934631
-116.015343,81.241684,-80.579414
-115.032822,79.662476,-81.224197
-114.050301,78.083267,-81.868980
-113.067780,76.504059,-82.513763
-112.085258,74.924850,-83.158546
-111.102737,73.345642,-83.803329
-110.120216,71.766434,-84.448112
-109.137695,70.187225,-85.092896
-108.155174,68.608017,-85.737679
-155.316788,141.213654,-55.974823
-154.334259,139.634445,-56.619606
-153.351730,138.055237,-57.264389
-152.369202,136.476028,-57.909172
-151.386673,134.896820,-58.553955
-150.404144,133.317612,-59.198738
-149.421616,131.738403,-59.843521
-148.439087,130.159195,-60.488304
-147.456558,128.579987,-61.133087
-146.474030,127.000778,-61.777870
-145.491501,125.421570,-62.422653
-144.508972,123.842361,-63.067436
-143.526443,122.263153,-63.712219
-142.543915,120.683945,-64.357002
-141.561386,119.104736,-65.001785
-140.578857,117.525528,-65.646568
-139.596329,115.946320,-66.291351
-138.613800,114.367111,-66.936134
-137.631271,112.787903,-67.580917
-136.648743,111.208694,-68.225700
-135.666214,109.629486,-68.870483
-134.683685,108.050278,-69.515266
-133.701157,106.471069,-70.160049
-132.718628,104.891861,-70.804832
-131.736099,103.312653,-71.449615
-130.753571,101.733444,-72.094398
-129.771042,100.154236,-72.739182
-128.788513,98.575027,-73.383965
-127.805992,96.995819,-74.028748
-126.823471,95.416611,-74.673531
-125.840950,93.837402,-75.318314
-124.858429,92.258194,-75.963097
-123.875908,90.678986,-76.607880
-122.893387,89.099777,-77.252663
-121.910866,87.520569,-77.897446
-120.928345,85.941360,-78.542229
-119.945824,84.362152,-79.187012
-118.963303,82.782944,-79.831795
-117.980782,81.203735,-80.476578
-116.998260,79.624527,-81.121361
-116.015739,78.045319,-81.766144
-115.033218,76.466110,-82.410927
-114.050697,74.886902,-83.055710
-113.068176,73.307693,-83.700493
-112.085655,71.728485,-84.345276
-111.103134,70.149277,-84.990059
-110.120613,68.570068,-85.634842
-155.317184,138.017303,-57.161556
-154.334656,136.438095,-57.806339
-153.352127,134.858887,-58.451122
-152.369598,133.279678,-59.095905
-151.387070,131.700470,-59.740688
-150.404541,130.121262,-60.385471
-149.422012,128.542053,-61.030254
-148.439484,126.962845,-61.675037
-147.456955,125.383636,-62.319820
-146.474426,123.804428,-62.964603
-145.491898,122.225220,-63.609386
-144.509369,120.646011,-64.254173
-143.526840,119.066803,-64.898956
-142.544312,117.487595,-65.543739
-141.561783,115.908386,-66.188522
-140.579254,114.329178,-66.833305
-139.596725,112.749969,-67.478088
-138.614197,111.170761,-68.122871
-137.631668,109.591553,-68.767654
-136.649139,108.012344,-69.412437
-135.666611,106.433136,-70.057220
-134.684082,104.853928,-70.702003
-133.701553,103.274719,-71.346786
-132.719025,101.695511,-71.991570
-131.736496,100.116302,-72.636353
-130.753967,98.537094,-73.281136
-129.771439,96.957886,-73.925919
-128.788910,95.378677,-74.570702
-127.806389,93.799469,-75.215485
-126.823868,92.220261,-75.860268
-125.841347,90.641052,-76.505051
-124.858826,89.061844,-77.149834
-123.876305,87.482635,-77.794617
-122.893784,85.903427,-78.439400
-121.911263,84.324219,-79.084183
-120.928741,82.745010,-79.728966
-119.946220,81.165802,-80.373749
-118.963699,79.586594,-81.018532
-117.981178,78.007385,-81.663315
-116.998657,76.428177,-82.308098
-116.016136,74.848969,-82.952881
-115.033615,73.269760,-83.597664
-114.051094,71.690552,-84.242447
-113.068573,70.111343,-84.887230
-112.086052,68.532135,-85.532013
-156.300110,136.400162,-57.703506
-155.317581,134.820953,-58.348289
-154.335052,133.241745,-58.993073
-153.352524,131.662537,-59.637856
-152.369995,130.083328,-60.282639
-151.387466,128.504120,-60.927422
-150.404938,126.924911,-61.572205
-149.422409,125.345703,-62.216988
-148.439880,123.766495,-62.861771
-147.457352,122.187286,-63.506554
-146.474823,120.608078,-64.151337
-145.492294,119.028870,-64.796120
-144.509766,117.449661,-65.440903
-143.527237,115.870453,-66.085686
-142.544708,114.291245,-66.730469
-141.562180,112.712036,-67.375252
-140.579651,111.132828,-68.020035
-139.597122,109.553619,-68.664818
-138.614594,107.974411,-69.309601
-137.632065,106.395203,-69.954384
-136.649536,104.815994,-70.599167
-135.667007,103.236786,-71.243950
-134.684479,101.657578,-71.888733
-133.701950,100.078369,-72.533516
-132.719421,98.499161,-73.178299
-131.736893,96.919952,-73.823082
-130.754364,95.340744,-74.467865
-129.771835,93.761536,-75.112648
-128.789307,92.182327,-75.757431
-127.806786,90.603119,-76.402214
-126.824265,89.023911,-77.046997
-125.841743,87.444702,-77.691780
-124.859222,85.865494,-78.336563
-123.876701,84.286285,-78.981346
-122.894180,82.707077,-79.626129
-121.911659,81.127869,-80.270912
-120.929138,79.548660,-80.915695
-119.946617,77.969452,-81.560478
-118.964096,76.390244,-82.205261
-117.981575,74.811035,-82.850044
-116.999054,73.231827,-83.494827
-116.016533,71.652618,-84.139610
-115.034012,70.073410,-84.784393
-114.051491,68.494202,-85.429176
-157.283035,134.783020,-58.245457
-156.300507,133.203812,-58.890240
-155.317978,131.624603,-59.535023
-154.335449,130.045395,-60.179806
-153.352921,128.466187,-60.824589
-152.370392,126.886978,-61.469372
-151.387863,125.307770,-62.114155
-150.405334,123.728561,-62.758938
-149.422806,122.149353,-63.403721
-148.440277,120.570145,-64.048508
-147.457748,118.990936,-64.693291
-146.475220,117.411728,-65.338074
-145.492691,115.832520,-65.982857
-144.510162,114.253311,-66.627640
-143.527634,112.674103,-67.272423
-142.545105,111.094894,-67.917206
-141.562576,109.515686,-68.561989
-140.580048,107.936478,-69.206772
-139.597519,106.357269,-69.851555
-138.614990,104.778061,-70.496338
-137.632462,103.198853,-71.141121
-136.649933,101.619644,-71.785904
-135.667404,100.040436,-72.430687
-134.684875,98.461227,-73.075470
-133.702347,96.882019,-73.720253
-132.719818,95.302811,-74.365036
-131.737289,93.723602,-75.009819
-130.754761,92.144394,-75.654602
-129.772232,90.565186,-76.299385
-128.789703,88.985977,-76.944168
-127.807182,87.406769,-77.588951
-126.824661,85.827560,-78.233734
-125.842140,84.248352,-78.878517
-124.859619,82.669144,-79.523300
-123.877098,81.089935,-80.168083
-122.894577,79.510727,-80.812866
-121.912056,77.931519,-81.457649
-120.929535,76.352310,-82.102432
-119.947014,74.773102,-82.747215
-118.964493,73.193893,-83.391998
-117.981972,71.614685,-84.036781
-116.999451,70.035477,-84.681564
-116.016930,68.456268,-85.326347
-158.265961,133.165878,-58.787407
-157.283432,131.586670,-59.432190
-156.300903,130.007462,-60.076973
-155.318375,128.428253,-60.721756
-154.335846,126.849045,-61.366539
-153.353317,125.269836,-62.011322
-152.370789,123.690628,-62.656105
-151.388260,122.111420,-63.300888
-150.405731,120.532211,-63.945671
-149.423203,118.953003,-64.590454
-148.440674,117.373795,-65.235237
-147.458145,115.794586,-65.880020
-146.475616,114.215378,-66.524803
-145.493088,112.636169,-67.169586
-144.510559,111.056961,-67.814369
-143.528030,109.477753,-68.459152
-142.545502,107.898544,-69.103935
-141.562973,106.319336,-69.748718
-140.580444,104.740128,-70.393501
-139.597916,103.160919,-71.038284
-138.615387,101.581711,-71.683067
