tx,ty,tz
175.703659,51.912376,-90.000000
173.798477,51.417088,-90.000000
171.893295,50.921799,-90.000000
169.988113,50.426510,-90.000000
168.082932,49.931221,-90.000000
166.177750,49.435932,-90.000000
164.272568,48.940643,-90.000000
162.367386,48.445354,-90.000000
160.462204,47.950066,-90.000000
158.557022,47.454777,-90.000000
156.651840,46.959488,-90.000000
154.746658,46.464199,-90.000000
152.841476,45.968910,-90.000000
150.936295,45.473621,-90.000000
149.031113,44.978333,-90.000000
147.125931,44.483044,-90.000000
145.220749,43.987755,-90.000000
143.315567,43.492466,-90.000000
141.410385,42.997177,-90.000000
139.505203,42.501888,-90.000000
137.600021,42.006599,-90.000000
135.694839,41.511311,-90.000000
133.789658,41.016022,-90.000000
131.884476,40.520733,-90.000000
129.979294,40.025444,-90.000000
128.074112,39.530155,-90.000000
126.168938,39.034866,-90.000000
124.263763,38.539577,-90.000000
122.358589,38.044289,-90.000000
120.453415,37.549000,-90.000000
118.548241,37.053711,-90.000000
116.643066,36.558422,-90.000000
114.737892,36.063133,-90.000000
112.832718,35.567844,-90.000000
110.927544,35.072556,-90.000000
109.022369,34.577267,-90.000000
107.117195,34.081978,-90.000000
105.212021,33.586689,-90.000000
103.306847,33.091400,-90.000000
101.401672,32.596111,-90.000000
99.496498,32.100822,-90.000000
97.591324,31.605534,-90.000000
95.686150,31.110245,-90.000000
93.780975,30.614956,-90.000000
91.875801,30.119667,-90.000000
89.970627,29.624378,-90.000000
88.065453,29.129089,-90.000000
86.160278,28.633801,-90.000000
84.255104,28.138512,-90.000000
82.349930,27.643223,-90.000000
80.444756,27.147934,-90.000000
78.539581,26.652645,-90.000000
76.634407,26.157356,-90.000000
74.729233,25.662067,-90.000000
72.824059,25.166779,-90.000000
70.918884,24.671490,-90.000000
69.013710,24.176201,-90.000000
67.108536,23.680912,-90.000000
65.203362,23.185623,-90.000000
63.298183,22.690334,-90.000000
61.393005,22.195045,-90.000000
59.487827,21.699757,-90.000000
57.582649,21.204468,-90.000000
55.677471,20.709179,-90.000000
53.772293,20.213890,-90.000000
172.416962,52.819374,-90.000000
170.511780,52.324085,-90.000000
168.606598,51.828796,-90.000000
166.701416,51.333508,-90.000000
164.796234,50.838219,-90.000000
162.891052,50.342930,-90.000000
160.985870,49.847641,-90.000000
159.080688,49.352352,-90.000000
157.175507,48.857063,-90.000000
155.270325,48.361774,-90.000000
153.365143,47.866486,-90.000000
151.459961,47.371197,-90.000000
149.554779,46.875908,-90.000000
147.649597,46.380619,-90.000000
145.744415,45.885330,-90.000000
143.839233,45.390041,-90.000000
141.934052,44.894753,-90.000000
140.028870,44.399464,-90.000000
138.123688,43.904175,-90.000000
136.218506,43.408886,-90.000000
134.313324,42.913597,-90.000000
132.408142,42.418308,-90.000000
130.502960,41.923019,-90.000000
128.597778,41.427731,-90.000000
126.692604,40.932442,-90.000000
124.787430,40.437153,-90.000000
122.882256,39.941864,-90.000000
120.977081,39.446575,-90.000000
119.071907,38.951286,-90.000000
117.166733,38.455997,-90.000000
115.261559,37.960709,-90.000000
113.356384,37.465420,-90.000000
111.451210,36.970131,-90.000000
109.546036,36.474842,-90.000000
107.640862,35.979553,-90.000000
105.735687,35.484264,-90.000000
103.830513,34.988976,-90.000000
101.925339,34.493687,-90.000000
100.020164,33.998398,-90.000000
98.114990,33.503109,-90.000000
96.209816,33.007820,-90.000000
94.304642,32.512531,-90.000000
92.399467,32.017242,-90.000000
90.494293,31.521954,-90.000000
88.589119,31.026665,-90.000000
86.683945,30.531376,-90.000000
84.778770,30.036087,-90.000000
82.873596,29.540798,-90.000000
80.968422,29.045509,-90.000000
79.063248,28.550220,-90.000000
77.158073,28.054932,-90.000000
75.252899,27.559643,-90.000000
73.347725,27.064354,-90.000000
71.442551,26.569065,-90.000000
69.537376,26.073776,-90.000000
67.632202,25.578487,-90.000000
65.727028,25.083199,-90.000000
63.821850,24.587910,-90.000000
61.916672,24.092621,-90.000000
60.011494,23.597332,-90.000000
58.106316,23.102043,-90.000000
167.225098,53.231083,-90.000000
165.319916,52.735794,-90.000000
163.414734,52.240505,-90.000000
161.509552,51.745216,-90.000000
159.604370,51.249928,-90.000000
157.699188,50.754639,-90.000000
155.794006,50.259350,-90.000000
153.888824,49.764061,-90.000000
151.983643,49.268772,-90.000000
150.078461,48.773483,-90.000000
148.173279,48.278194,-90.000000
146.268097,47.782906,-90.000000
144.362915,47.287617,-90.000000
142.457733,46.792328,-90.000000
140.552551,46.297039,-90.000000
138.647369,45.801750,-90.000000
136.742188,45.306461,-90.000000
134.837006,44.811172,-90.000000
132.931824,44.315884,-90.000000
131.026642,43.820595,-90.000000
129.121460,43.325306,-90.000000
127.216286,42.830017,-90.000000
125.311111,42.334728,-90.000000
123.405937,41.839439,-90.000000
121.500763,41.344151,-90.000000
119.595589,40.848862,-90.000000
117.690414,40.353573,-90.000000
115.785240,39.858284,-90.000000
113.880066,39.362995,-90.000000
111.974892,38.867706,-90.000000
110.069717,38.372417,-90.000000
108.164543,37.877129,-90.000000
106.259369,37.381840,-90.000000
104.354195,36.886551,-90.000000
102.449020,36.391262,-90.000000
100.543846,35.895973,-90.000000
98.638672,35.400684,-90.000000
96.733498,34.905396,-90.000000
94.828323,34.410107,-90.000000
92.923149,33.914818,-90.000000
91.017975,33.419529,-90.000000
89.112801,32.924240,-90.000000
87.207626,32.428951,-90.000000
85.302452,31.933662,-90.000000
83.397278,31.438374,-90.000000
81.492104,30.943085,-90.000000
79.586929,30.447796,-90.000000
77.681755,29.952507,-90.000000
75.776581,29.457218,-90.000000
73.871407,28.961929,-90.000000
71.966232,28.466640,-90.000000
70.061058,27.971352,-90.000000
68.155884,27.476063,-90.000000
66.250710,26.980774,-90.000000
64.345535,26.485485,-90.000000
62.440357,25.990196,-90.000000
60.535179,25.494907,-90.000000
163.938400,54.138084,-90.000000
162.033218,53.642796,-90.000000
160.128036,53.147507,-90.000000
158.222855,52.652218,-90.000000
156.317673,52.156929,-90.000000
154.412491,51.661640,-90.000000
152.507309,51.166351,-90.000000
150.602127,50.671062,-90.000000
148.696945,50.175774,-90.000000
146.791763,49.680485,-90.000000
144.886581,49.185196,-90.000000
142.981400,48.689907,-90.000000
141.076218,48.194618,-90.000000
139.171036,47.699329,-90.000000
137.265854,47.204041,-90.000000
135.360672,46.708752,-90.000000
133.455490,46.213463,-90.000000
131.550308,45.718174,-90.000000
129.645126,45.222885,-90.000000
127.739952,44.727596,-90.000000
125.834778,44.232307,-90.000000
123.929604,43.737019,-90.000000
122.024429,43.241730,-90.000000
120.119255,42.746441,-90.000000
118.214081,42.251152,-90.000000
116.308907,41.755863,-90.000000
114.403732,41.260574,-90.000000
112.498558,40.765285,-90.000000
110.593384,40.269997,-90.000000
108.688210,39.774708,-90.000000
106.783035,39.279419,-90.000000
104.877861,38.784130,-90.000000
102.972687,38.288841,-90.000000
101.067513,37.793552,-90.000000
99.162338,37.298264,-90.000000
97.257164,36.802975,-90.000000
95.351990,36.307686,-90.000000
93.446815,35.812397,-90.000000
91.541641,35.317108,-90.000000
89.636467,34.821819,-90.000000
87.731293,34.326530,-90.000000
85.826118,33.831242,-90.000000
83.920944,33.335953,-90.000000
82.015770,32.840664,-90.000000
80.110596,32.345375,-90.000000
78.205421,31.850086,-90.000000
76.300247,31.354797,-90.000000
74.395073,30.859509,-90.000000
72.489899,30.364220,-90.000000
70.584724,29.868931,-90.000000
68.679550,29.373642,-90.000000
66.774376,28.878353,-90.000000
64.869202,28.383064,-90.000000
62.964024,27.887775,-90.000000
156.841339,54.054504,-90.000000
154.936157,53.559216,-90.000000
153.030975,53.063927,-90.000000
151.125793,52.568638,-90.000000
149.220612,52.073349,-90.000000
147.315430,51.578060,-90.000000
145.410248,51.082771,-90.000000
143.505066,50.587482,-90.000000
141.599884,50.092194,-90.000000
139.694702,49.596905,-90.000000
137.789520,49.101616,-90.000000
135.884338,48.606327,-90.000000
133.979156,48.111038,-90.000000
132.073975,47.615749,-90.000000
130.168793,47.120461,-90.000000
128.263611,46.625172,-90.000000
126.358437,46.129883,-90.000000
124.453262,45.634594,-90.000000
122.548088,45.139305,-90.000000
120.642914,44.644016,-90.000000
118.737740,44.148727,-90.000000
116.832565,43.653439,-90.000000
114.927391,43.158150,-90.000000
113.022217,42.662861,-90.000000
111.117043,42.167572,-90.000000
109.211868,41.672283,-90.000000
107.306694,41.176994,-90.000000
105.401520,40.681705,-90.000000
103.496346,40.186417,-90.000000
101.591171,39.691128,-90.000000
99.685997,39.195839,-90.000000
97.780823,38.700550,-90.000000
95.875648,38.205261,-90.000000
93.970474,37.709972,-90.000000
92.065300,37.214684,-90.000000
90.160126,36.719395,-90.000000
88.254951,36.224106,-90.000000
86.349777,35.728817,-90.000000
84.444603,35.233528,-90.000000
82.539429,34.738239,-90.000000
80.634254,34.242950,-90.000000
78.729080,33.747662,-90.000000
76.823906,33.252373,-90.000000
74.918732,32.757084,-90.000000
73.013557,32.261795,-90.000000
71.108383,31.766506,-90.000000
69.203209,31.271217,-90.000000
67.298035,30.775928,-90.000000
65.392860,30.280640,-90.000000
153.554657,54.961502,-90.000000
151.649475,54.466213,-90.000000
149.744293,53.970924,-90.000000
147.839111,53.475636,-90.000000
145.933929,52.980347,-90.000000
144.028748,52.485058,-90.000000
142.123566,51.989769,-90.000000
140.218384,51.494480,-90.000000
138.313202,50.999191,-90.000000
136.408020,50.503902,-90.000000
134.502838,50.008614,-90.000000
132.597656,49.513325,-90.000000
130.692474,49.018036,-90.000000
128.787292,48.522747,-90.000000
126.882118,48.027458,-90.000000
124.976944,47.532169,-90.000000
123.071770,47.036880,-90.000000
121.166595,46.541592,-90.000000
119.261421,46.046303,-90.000000
117.356247,45.551014,-90.000000
115.451073,45.055725,-90.000000
113.545898,44.560436,-90.000000
111.640724,44.065147,-90.000000
109.735550,43.569859,-90.000000
107.830376,43.074570,-90.000000
105.925201,42.579281,-90.000000
104.020027,42.083992,-90.000000
102.114853,41.588703,-90.000000
100.209679,41.093414,-90.000000
98.304504,40.598125,-90.000000
96.399330,40.102837,-90.000000
94.494156,39.607548,-90.000000
92.588982,39.112259,-90.000000
90.683807,38.616970,-90.000000
88.778633,38.121681,-90.000000
86.873459,37.626392,-90.000000
84.968285,37.131104,-90.000000
83.063110,36.635815,-90.000000
81.157936,36.140526,-90.000000
79.252762,35.645237,-90.000000
77.347588,35.149948,-90.000000
75.442413,34.654659,-90.000000
73.537239,34.159370,-90.000000
71.632065,33.664082,-90.000000
69.726891,33.168793,-90.000000
67.821716,32.673504,-90.000000
150.267960,55.868500,-90.000000
148.362778,55.373211,-90.000000
146.457596,54.877922,-90.000000
144.552414,54.382633,-90.000000
142.647232,53.887344,-90.000000
140.742050,53.392056,-90.000000
138.836868,52.896767,-90.000000
136.931686,52.401478,-90.000000
135.026505,51.906189,-90.000000
133.121323,51.410900,-90.000000
131.216141,50.915611,-90.000000
129.310959,50.420322,-90.000000
127.405785,49.925034,-90.000000
125.500610,49.429745,-90.000000
123.595436,48.934456,-90.000000
121.690262,48.439167,-90.000000
119.785088,47.943878,-90.000000
117.879913,47.448589,-90.000000
115.974739,46.953300,-90.000000
114.069565,46.458012,-90.000000
112.164391,45.962723,-90.000000
110.259216,45.467434,-90.000000
108.354042,44.972145,-90.000000
106.448868,44.476856,-90.000000
104.543694,43.981567,-90.000000
102.638519,43.486279,-90.000000
100.733345,42.990990,-90.000000
98.828171,42.495701,-90.000000
96.922997,42.000412,-90.000000
95.017822,41.505123,-90.000000
93.112648,41.009834,-90.000000
91.207474,40.514545,-90.000000
89.302299,40.019257,-90.000000
87.397125,39.523968,-90.000000
85.491951,39.028679,-90.000000
83.586777,38.533390,-90.000000
81.681602,38.038101,-90.000000
79.776428,37.542812,-90.000000
77.871254,37.047523,-90.000000
75.966080,36.552235,-90.000000
74.060905,36.056946,-90.000000
72.155731,35.561657,-90.000000
70.250557,35.066368,-90.000000
145.076080,56.280212,-90.000000
143.170898,55.784924,-90.000000
141.265717,55.289635,-90.000000
139.360535,54.794346,-90.000000
137.455353,54.299057,-90.000000
