tx,ty,tz
152.185425,148.980469,-53.468826
151.210403,147.413300,-54.153168
150.235382,145.846130,-54.837509
149.260361,144.278961,-55.521851
148.285339,142.711792,-56.206192
147.310318,141.144623,-56.890533
146.335297,139.577454,-57.574875
145.360275,138.010284,-58.259216
144.385254,136.443115,-58.943558
143.410233,134.875946,-59.627899
142.435211,133.308777,-60.312241
141.460190,131.741608,-60.996582
140.485168,130.174438,-61.680923
139.510147,128.607269,-62.365265
138.535126,127.040108,-63.049606
137.560104,125.472946,-63.733948
136.585083,123.905785,-64.418289
135.610062,122.338623,-65.102631
134.635040,120.771461,-65.786972
133.660019,119.204300,-66.471313
132.684998,117.637138,-67.155655
131.709976,116.069977,-67.839996
130.734955,114.502815,-68.524338
129.759933,112.935654,-69.208679
128.784912,111.368492,-69.893021
127.809883,109.801331,-70.577362
126.834854,108.234169,-71.261703
125.859825,106.667007,-71.946045
124.884796,105.099846,-72.630386
123.909767,103.532684,-73.314728
122.934738,101.965523,-73.999069
121.959709,100.398361,-74.683411
120.984680,98.831200,-75.367752
120.009651,97.264038,-76.052094
119.034622,95.696877,-76.736435
118.059593,94.129715,-77.420776
117.084564,92.562553,-78.105118
116.109535,90.995392,-78.789459
115.134506,89.428230,-79.473801
114.159477,87.861069,-80.158142
113.184448,86.293907,-80.842484
112.209419,84.726746,-81.526825
111.234390,83.159584,-82.211166
110.259361,81.592422,-82.895508
109.284332,80.025261,-83.579849
108.309303,78.458099,-84.264191
107.334274,76.890938,-84.948532
106.359245,75.323776,-85.632874
105.384216,73.756615,-86.317215
104.409187,72.189453,-87.001556
103.434158,70.622292,-87.685898
153.175644,147.379761,-54.045193
152.200623,145.812592,-54.729534
151.225601,144.245422,-55.413876
150.250580,142.678253,-56.098217
149.275558,141.111084,-56.782558
148.300537,139.543915,-57.466900
147.325516,137.976746,-58.151241
146.350494,136.409576,-58.835583
145.375473,134.842407,-59.519924
144.400452,133.275238,-60.204266
143.425430,131.708069,-60.888607
142.450409,130.140900,-61.572948
141.475388,128.573730,-62.257290
140.500366,127.006569,-62.941631
139.525345,125.439407,-63.625973
138.550323,123.872246,-64.310318
137.575302,122.305084,-64.994659
136.600281,120.737923,-65.679001
135.625259,119.170761,-66.363342
134.650238,117.603600,-67.047684
133.675217,116.036438,-67.732025
132.700195,114.469276,-68.416367
131.725174,112.902115,-69.100708
130.750153,111.334953,-69.785049
129.775131,109.767792,-70.469391
128.800110,108.200630,-71.153732
127.825081,106.633469,-71.838074
126.850052,105.066307,-72.522415
125.875023,103.499146,-73.206757
124.899994,101.931984,-73.891098
123.924965,100.364822,-74.575439
122.949936,98.797661,-75.259781
121.974907,97.230499,-75.944122
120.999878,95.663338,-76.628464
120.024849,94.096176,-77.312805
119.049820,92.529015,-77.997147
118.074791,90.961853,-78.681488
117.099762,89.394691,-79.365829
116.124733,87.827530,-80.050171
115.149704,86.260368,-80.734512
114.174675,84.693207,-81.418854
113.199646,83.126045,-82.103195
112.224617,81.558884,-82.787537
111.249588,79.991722,-83.471878
110.274559,78.424561,-84.156219
109.299530,76.857399,-84.840561
108.324501,75.290237,-85.524902
107.349472,73.723076,-86.209244
106.374443,72.155914,-86.893585
105.399414,70.588753,-87.577927
154.165863,145.779053,-54.621559
153.190842,144.211884,-55.305901
152.215820,142.644714,-55.990242
151.240799,141.077545,-56.674583
150.265778,139.510376,-57.358925
149.290756,137.943207,-58.043266
148.315735,136.376038,-58.727608
147.340714,134.808868,-59.411949
146.365692,133.241699,-60.096291
145.390671,131.674530,-60.780632
144.415649,130.107361,-61.464973
143.440628,128.540192,-62.149315
142.465607,126.973030,-62.833656
141.490585,125.405869,-63.517998
140.515564,123.838707,-64.202339
139.540543,122.271545,-64.886681
138.565521,120.704384,-65.571022
137.590500,119.137222,-66.255363
136.615479,117.570061,-66.939705
135.640457,116.002899,-67.624046
134.665436,114.435738,-68.308388
133.690414,112.868576,-68.992729
132.715393,111.301414,-69.677071
131.740372,109.734253,-70.361412
130.765350,108.167091,-71.045753
129.790329,106.599930,-71.730095
128.815308,105.032768,-72.414436
127.840279,103.465607,-73.098778
126.865250,101.898445,-73.783119
125.890221,100.331284,-74.467461
124.915192,98.764122,-75.151802
123.940163,97.196960,-75.836143
122.965134,95.629799,-76.520485
121.990105,94.062637,-77.204826
121.015076,92.495476,-77.889168
120.040047,90.928314,-78.573509
119.065018,89.361153,-79.257851
118.089989,87.793991,-79.942192
117.114960,86.226830,-80.626534
116.139931,84.659668,-81.310875
115.164902,83.092506,-81.995216
114.189873,81.525345,-82.679558
113.214844,79.958183,-83.363899
112.239815,78.391022,-84.048241
111.264786,76.823860,-84.732582
110.289757,75.256699,-85.416924
109.314728,73.689537,-86.101265
108.339699,72.122375,-86.785606
107.364670,70.555214,-87.469948
155.156097,144.178345,-55.197926
154.181076,142.611176,-55.882267
153.206055,141.044006,-56.566608
152.231033,139.476837,-57.250950
151.256012,137.909668,-57.935291
150.280991,136.342499,-58.619633
149.305969,134.775330,-59.303974
148.330948,133.208160,-59.988316
147.355927,131.640991,-60.672657
146.380905,130.073822,-61.356998
145.405884,128.506653,-62.041340
144.430862,126.939491,-62.725681
143.455841,125.372330,-63.410023
142.480820,123.805168,-64.094368
141.505798,122.238007,-64.778709
140.530777,120.670845,-65.463051
139.555756,119.103683,-66.147392
138.580734,117.536522,-66.831734
137.605713,115.969360,-67.516075
136.630692,114.402199,-68.200417
135.655670,112.835037,-68.884758
134.680649,111.267876,-69.569099
133.705627,109.700714,-70.253441
132.730606,108.133553,-70.937782
131.755585,106.566391,-71.622124
130.780563,104.999229,-72.306465
129.805542,103.432068,-72.990807
128.830521,101.864906,-73.675148
127.855492,100.297745,-74.359489
126.880463,98.730583,-75.043831
125.905434,97.163422,-75.728172
124.930405,95.596260,-76.412514
123.955376,94.029099,-77.096855
122.980347,92.461937,-77.781197
122.005318,90.894775,-78.465538
121.030289,89.327614,-79.149879
120.055260,87.760452,-79.834221
119.080231,86.193291,-80.518562
118.105202,84.626129,-81.202904
117.130173,83.058968,-81.887245
116.155144,81.491806,-82.571587
115.180115,79.924644,-83.255928
114.205086,78.357483,-83.940269
113.230057,76.790321,-84.624611
112.255028,75.223160,-85.308952
111.279999,73.655998,-85.993294
110.304970,72.088837,-86.677635
109.329941,70.521675,-87.361977
156.146317,142.577637,-55.774292
155.171295,141.010468,-56.458633
154.196274,139.443298,-57.142975
153.221252,137.876129,-57.827316
152.246231,136.308960,-58.511658
151.271210,134.741791,-59.195999
150.296188,133.174622,-59.880341
149.321167,131.607452,-60.564682
148.346146,130.040283,-61.249023
147.371124,128.473114,-61.933365
146.396103,126.905952,-62.617706
145.421082,125.338791,-63.302048
144.446060,123.771629,-63.986389
143.471039,122.204468,-64.670731
142.496017,120.637306,-65.355072
141.520996,119.070145,-66.039413
140.545975,117.502983,-66.723755
139.570953,115.935822,-67.408096
138.595932,114.368660,-68.092438
137.620911,112.801498,-68.776779
136.645889,111.234337,-69.461121
135.670868,109.667175,-70.145462
134.695847,108.100014,-70.829803
133.720825,106.532852,-71.514145
132.745804,104.965691,-72.198486
131.770782,103.398529,-72.882828
130.795761,101.831367,-73.567169
129.820740,100.264206,-74.251511
128.845718,98.697044,-74.935852
127.870689,97.129883,-75.620193
126.895660,95.562721,-76.304535
125.920631,93.995560,-76.988876
124.945602,92.428398,-77.673218
123.970573,90.861237,-78.357559
122.995544,89.294075,-79.041901
122.020515,87.726913,-79.726242
121.045486,86.159752,-80.410583
120.070457,84.592590,-81.094925
119.095428,83.025429,-81.779266
118.120399,81.458267,-82.463608
117.145370,79.891106,-83.147949
116.170341,78.323944,-83.832291
115.195313,76.756783,-84.516632
114.220284,75.189621,-85.200974
113.245255,73.622459,-85.885315
112.270226,72.055298,-86.569656
111.295197,70.488136,-87.253998
156.161514,139.409775,-57.035000
155.186493,137.842606,-57.719341
154.211472,136.275436,-58.403683
153.236450,134.708267,-59.088024
152.261429,133.141098,-59.772366
151.286407,131.573929,-60.456707
150.311386,130.006760,-61.141048
149.336365,128.439590,-61.825390
148.361343,126.872429,-62.509731
147.386322,125.305267,-63.194073
146.411301,123.738106,-63.878414
145.436279,122.170944,-64.562759
144.461258,120.603783,-65.247101
143.486237,119.036621,-65.931442
142.511215,117.469460,-66.615784
141.536194,115.902298,-67.300125
140.561172,114.335136,-67.984467
139.586151,112.767975,-68.668808
138.611130,111.200813,-69.353149
137.636108,109.633652,-70.037491
136.661087,108.066490,-70.721832
135.686066,106.499329,-71.406174
134.711044,104.932167,-72.090515
133.736023,103.365005,-72.774857
132.761002,101.797844,-73.459198
131.785980,100.230682,-74.143539
130.810959,98.663521,-74.827881
129.835938,97.096359,-75.512222
128.860916,95.529198,-76.196564
127.885887,93.962036,-76.880905
126.910858,92.394875,-77.565247
125.935829,90.827713,-78.249588
124.960800,89.260551,-78.933929
123.985771,87.693390,-79.618271
123.010742,86.126228,-80.302612
122.035713,84.559067,-80.986954
121.060684,82.991905,-81.671295
120.085655,81.424744,-82.355637
