tx,ty,tz
185.196564,23.455248,-89.391701
186.766266,24.631350,-89.224945
188.335968,25.807451,-89.058189
189.905670,26.983553,-88.891434
191.475372,28.159655,-88.724678
193.045074,29.335756,-88.557922
194.614777,30.511858,-88.391167
196.184479,31.687960,-88.224411
197.754181,32.864063,-88.057655
199.323883,34.040165,-87.890900
200.893585,35.216267,-87.724144
202.463287,36.392368,-87.557388
204.032990,37.568470,-87.390633
205.602692,38.744572,-87.223877
207.172394,39.920673,-87.057121
208.742096,41.096775,-86.890366
210.311798,42.272877,-86.723610
211.881500,43.448978,-86.556854
213.451202,44.625080,-86.390099
215.020905,45.801182,-86.223343
216.590607,46.977283,-86.056587
218.160309,48.153385,-85.889832
219.730011,49.329487,-85.723076
221.299713,50.505589,-85.556320
222.869415,51.681690,-85.389565
224.439117,52.857792,-85.222809
226.008820,54.033894,-85.056053
227.578522,55.209995,-84.889297
229.148224,56.386097,-84.722542
230.717926,57.562199,-84.555786
232.287628,58.738300,-84.389030
233.857330,59.914402,-84.222275
235.427032,61.090504,-84.055519
188.120728,27.760067,-89.184547
189.690430,28.936169,-89.017792
191.260132,30.112270,-88.851036
192.829834,31.288372,-88.684280
194.399536,32.464474,-88.517525
195.969238,33.640575,-88.350769
197.538940,34.816677,-88.184013
199.108643,35.992779,-88.017258
200.678345,37.168880,-87.850502
202.248047,38.344982,-87.683746
203.817749,39.521084,-87.516991
205.387451,40.697186,-87.350235
206.957153,41.873287,-87.183479
208.526855,43.049389,-87.016724
210.096558,44.225491,-86.849968
211.666260,45.401592,-86.683212
213.235962,46.577694,-86.516457
214.805664,47.753796,-86.349701
216.375366,48.929897,-86.182945
217.945068,50.105999,-86.016190
219.514771,51.282101,-85.849434
221.084473,52.458202,-85.682678
222.654175,53.634304,-85.515923
224.223877,54.810406,-85.349167
225.793579,55.986507,-85.182411
227.363281,57.162609,-85.015656
228.932983,58.338711,-84.848900
230.502686,59.514812,-84.682144
232.072388,60.690914,-84.515388
189.475174,30.888783,-89.144150
191.044876,32.064884,-88.977394
192.614578,33.240986,-88.810638
194.184280,34.417088,-88.643883
195.753983,35.593189,-88.477127
197.323685,36.769291,-88.310371
198.893387,37.945393,-88.143616
200.463089,39.121494,-87.976860
202.032791,40.297596,-87.810104
203.602493,41.473698,-87.643349
205.172195,42.649799,-87.476593
206.741898,43.825901,-87.309837
208.311600,45.002003,-87.143082
209.881302,46.178104,-86.976326
211.451004,47.354206,-86.809570
213.020706,48.530308,-86.642815
214.590408,49.706409,-86.476059
216.160110,50.882511,-86.309303
217.729813,52.058613,-86.142548
219.299515,53.234715,-85.975792
220.869217,54.410816,-85.809036
222.438919,55.586918,-85.642281
224.008621,56.763020,-85.475525
225.578323,57.939121,-85.308769
227.148026,59.115223,-85.142014
189.259903,32.841396,-89.270508
190.829605,34.017498,-89.103752
192.399307,35.193600,-88.936996
193.969009,36.369701,-88.770241
195.538712,37.545803,-88.603485
197.108414,38.721905,-88.436729
198.678116,39.898006,-88.269974
200.247818,41.074108,-88.103218
201.817520,42.250210,-87.936462
203.387222,43.426311,-87.769707
204.956924,44.602413,-87.602951
206.526627,45.778515,-87.436195
208.096329,46.954617,-87.269440
209.666031,48.130718,-87.102684
211.235733,49.306820,-86.935928
212.805435,50.482922,-86.769173
214.375137,51.659023,-86.602417
215.944839,52.835125,-86.435661
217.514542,54.011227,-86.268906
219.084244,55.187328,-86.102150
220.653946,56.363430,-85.935394
222.223648,57.539532,-85.768639
190.614349,35.970116,-89.230103
192.184052,37.146217,-89.063347
193.753754,38.322319,-88.896591
195.323456,39.498421,-88.729836
196.893158,40.674522,-88.563080
198.462860,41.850624,-88.396324
200.032562,43.026726,-88.229568
201.602264,44.202827,-88.062813
203.171967,45.378929,-87.896057
204.741669,46.555031,-87.729301
206.311371,47.731133,-87.562546
207.881073,48.907234,-87.395790
209.450775,50.083336,-87.229034
211.020477,51.259438,-87.062279
212.590179,52.435539,-86.895523
214.159882,53.611641,-86.728767
215.729584,54.787743,-86.562012
217.299286,55.963844,-86.395256
218.868988,57.139946,-86.228500
191.968796,39.098831,-89.189705
193.538498,40.274933,-89.022949
195.108200,41.451035,-88.856194
196.677902,42.627136,-88.689438
198.247604,43.803238,-88.522682
199.817307,44.979340,-88.355927
201.387009,46.155441,-88.189171
202.956711,47.331543,-88.022415
204.526413,48.507645,-87.855659
206.096115,49.683746,-87.688904
207.665817,50.859848,-87.522148
209.235519,52.035950,-87.355392
210.805222,53.212051,-87.188637
212.374924,54.388153,-87.021881
213.944626,55.564255,-86.855125
193.323242,42.227547,-89.149307
194.892944,43.403648,-88.982552
196.462646,44.579750,-88.815796
198.032349,45.755852,-88.649040
199.602051,46.931953,-88.482285
201.171753,48.108055,-88.315529
202.741455,49.284157,-88.148773
204.311157,50.460258,-87.982018
205.880859,51.636360,-87.815262
207.450562,52.812462,-87.648506
209.020264,53.988564,-87.481750
193.107986,44.180161,-89.275665
194.677689,45.356262,-89.108910
196.247391,46.532364,-88.942154
197.817093,47.708466,-88.775398
199.386795,48.884567,-88.608643
200.956497,50.060669,-88.441887
202.526199,51.236771,-88.275131
204.095901,52.412872,-88.108376
205.665604,53.588974,-87.941620
194.462433,47.308880,-89.235268
196.032135,48.484982,-89.068512
197.601837,49.661083,-88.901756
199.171539,50.837185,-88.735001
200.741241,52.013287,-88.568245
195.816864,50.437599,-89.194870
197.386566,51.613701,-89.028114
