tx,ty,tz
231.931534,146.149185,-89.340393
231.217819,144.314621,-89.340393
230.504105,142.480057,-89.340393
229.790390,140.645493,-89.340393
229.076675,138.810928,-89.340393
228.362961,136.976364,-89.340393
227.649246,135.141800,-89.340393
226.935532,133.307236,-89.340393
226.221817,131.472672,-89.340393
225.508102,129.638107,-89.340393
224.794388,127.803543,-89.340393
224.080673,125.968979,-89.340393
223.366959,124.134415,-89.340393
222.653244,122.299850,-89.340393
221.939529,120.465286,-89.340393
221.225815,118.630722,-89.340393
220.512100,116.796158,-89.340393
219.798386,114.961594,-89.340393
219.084671,113.127029,-89.340393
218.370956,111.292465,-89.340393
217.657242,109.457901,-89.340393
216.943527,107.623337,-89.340393
216.229813,105.788773,-89.340393
215.516098,103.954208,-89.340393
214.802383,102.119644,-89.340393
214.088669,100.285080,-89.340393
213.374954,98.450516,-89.340393
212.661240,96.615952,-89.340393
211.947525,94.781387,-89.340393
211.233810,92.946823,-89.340393
210.520096,91.112259,-89.340393
209.806381,89.277695,-89.340393
209.092667,87.443130,-89.340393
208.378952,85.608566,-89.340393
207.665237,83.774002,-89.340393
206.951523,81.939438,-89.340393
206.237808,80.104874,-89.340393
205.524094,78.270309,-89.340393
204.810379,76.435745,-89.340393
204.096664,74.601181,-89.340393
203.382950,72.766617,-89.340393
202.669235,70.932053,-89.340393
201.955521,69.097488,-89.340393
201.241806,67.262924,-89.340393
200.528091,65.428360,-89.340393
199.814377,63.593796,-89.340393
199.100662,61.759232,-89.340393
198.386948,59.924667,-89.340393
232.430893,142.786575,-89.078598
231.717178,140.952011,-89.078598
231.003464,139.117447,-89.078598
230.289749,137.282883,-89.078598
229.576035,135.448318,-89.078598
228.862320,133.613754,-89.078598
228.148605,131.779190,-89.078598
227.434891,129.944626,-89.078598
226.721176,128.110062,-89.078598
226.007462,126.275497,-89.078598
225.293747,124.440933,-89.078598
224.580032,122.606369,-89.078598
223.866318,120.771805,-89.078598
223.152603,118.937241,-89.078598
222.438889,117.102676,-89.078598
221.725174,115.268112,-89.078598
221.011459,113.433548,-89.078598
220.297745,111.598984,-89.078598
219.584030,109.764420,-89.078598
218.870316,107.929855,-89.078598
218.156601,106.095291,-89.078598
217.442886,104.260727,-89.078598
216.729172,102.426163,-89.078598
216.015457,100.591599,-89.078598
215.301743,98.757034,-89.078598
214.588028,96.922470,-89.078598
213.874313,95.087906,-89.078598
213.160599,93.253342,-89.078598
212.446884,91.418777,-89.078598
211.733170,89.584213,-89.078598
211.019455,87.749649,-89.078598
210.305740,85.915085,-89.078598
209.592026,84.080521,-89.078598
208.878311,82.245956,-89.078598
208.164597,80.411392,-89.078598
207.450882,78.576828,-89.078598
206.737167,76.742264,-89.078598
206.023453,74.907700,-89.078598
205.309738,73.073135,-89.078598
204.596024,71.238571,-89.078598
203.882309,69.404007,-89.078598
203.168594,67.569443,-89.078598
202.454880,65.734879,-89.078598
201.741165,63.900314,-89.078598
201.027451,62.065750,-89.078598
200.313736,60.231186,-89.078598
232.930267,139.423965,-88.816803
232.216553,137.589401,-88.816803
231.502838,135.754837,-88.816803
230.789124,133.920273,-88.816803
230.075409,132.085709,-88.816803
229.361694,130.251144,-88.816803
228.647980,128.416580,-88.816803
227.934265,126.582016,-88.816803
227.220551,124.747452,-88.816803
226.506836,122.912888,-88.816803
225.793121,121.078323,-88.816803
225.079407,119.243759,-88.816803
224.365692,117.409195,-88.816803
223.651978,115.574631,-88.816803
222.938263,113.740067,-88.816803
222.224548,111.905502,-88.816803
221.510834,110.070938,-88.816803
220.797119,108.236374,-88.816803
220.083405,106.401810,-88.816803
219.369690,104.567245,-88.816803
218.655975,102.732681,-88.816803
217.942261,100.898117,-88.816803
217.228546,99.063553,-88.816803
216.514832,97.228989,-88.816803
215.801117,95.394424,-88.816803
215.087402,93.559860,-88.816803
214.373688,91.725296,-88.816803
213.659973,89.890732,-88.816803
212.946259,88.056168,-88.816803
212.232544,86.221603,-88.816803
211.518829,84.387039,-88.816803
210.805115,82.552475,-88.816803
210.091400,80.717911,-88.816803
209.377686,78.883347,-88.816803
208.663971,77.048782,-88.816803
207.950256,75.214218,-88.816803
207.236542,73.379654,-88.816803
206.522827,71.545090,-88.816803
205.809113,69.710526,-88.816803
205.095398,67.875961,-88.816803
204.381683,66.041397,-88.816803
203.667969,64.206833,-88.816803
202.954254,62.372269,-88.816803
202.240540,60.537704,-88.816803
233.429626,136.061371,-88.555000
232.715912,134.226807,-88.555000
232.002197,132.392242,-88.555000
231.288483,130.557678,-88.555000
230.574768,128.723114,-88.555000
229.861053,126.888550,-88.555000
229.147339,125.053986,-88.555000
228.433624,123.219421,-88.555000
227.719910,121.384857,-88.555000
227.006195,119.550293,-88.555000
226.292480,117.715729,-88.555000
225.578766,115.881165,-88.555000
224.865051,114.046600,-88.555000
224.151337,112.212036,-88.555000
223.437622,110.377472,-88.555000
222.723907,108.542908,-88.555000
222.010193,106.708344,-88.555000
221.296478,104.873779,-88.555000
220.582764,103.039215,-88.555000
219.869049,101.204651,-88.555000
219.155334,99.370087,-88.555000
218.441620,97.535522,-88.555000
217.727905,95.700958,-88.555000
217.014191,93.866394,-88.555000
216.300476,92.031830,-88.555000
215.586761,90.197266,-88.555000
214.873047,88.362701,-88.555000
214.159332,86.528137,-88.555000
213.445618,84.693573,-88.555000
212.731903,82.859009,-88.555000
212.018188,81.024445,-88.555000
211.304474,79.189880,-88.555000
210.590759,77.355316,-88.555000
209.877045,75.520752,-88.555000
209.163330,73.686188,-88.555000
208.449615,71.851624,-88.555000
207.735901,70.017059,-88.555000
207.022186,68.182495,-88.555000
206.308472,66.347931,-88.555000
205.594757,64.513367,-88.555000
204.881042,62.678802,-88.555000
204.167328,60.844238,-88.555000
234.642715,134.533325,-88.293205
