tx,ty,tz
159.160553,147.371567,-56.063675
159.806076,145.630539,-56.717209
160.451599,143.889511,-57.370743
161.097122,142.148483,-58.024277
161.742645,140.407455,-58.677811
162.388168,138.666428,-59.331345
163.033691,136.925400,-59.984879
163.679214,135.184372,-60.638412
164.324738,133.443344,-61.291946
164.970261,131.702316,-61.945480
165.615784,129.961288,-62.599014
166.261307,128.220261,-63.252548
166.906830,126.479225,-63.906082
167.552353,124.738190,-64.559616
168.197876,122.997154,-65.213150
168.843399,121.256119,-65.866684
169.488922,119.515083,-66.520218
170.134445,117.774048,-67.173752
170.779968,116.033012,-67.827286
171.425491,114.291977,-68.480820
172.071014,112.550941,-69.134354
172.716537,110.809906,-69.787888
173.362061,109.068871,-70.441422
174.007584,107.327835,-71.094955
174.653107,105.586800,-71.748489
175.298630,103.845764,-72.402023
175.944153,102.104729,-73.055557
176.589676,100.363693,-73.709091
177.235199,98.622658,-74.362625
177.880722,96.881622,-75.016159
178.526245,95.140587,-75.669693
179.171768,93.399551,-76.323227
179.817291,91.658516,-76.976761
180.462814,89.917480,-77.630295
181.108337,88.176445,-78.283829
181.753860,86.435410,-78.937363
182.399384,84.694374,-79.590897
183.044907,82.953339,-80.244431
183.690430,81.212303,-80.897964
184.335953,79.471268,-81.551498
184.981476,77.730232,-82.205032
185.626999,75.989197,-82.858566
186.272522,74.248161,-83.512100
186.918045,72.507126,-84.165634
187.563568,70.766090,-84.819168
188.209091,69.025055,-85.472702
188.854614,67.284019,-86.126236
189.500137,65.542984,-86.779770
190.145660,63.801952,-87.433304
190.791183,62.060921,-88.086838
160.266068,148.983063,-56.300114
160.911591,147.242035,-56.953648
161.557114,145.501007,-57.607182
162.202637,143.759979,-58.260715
162.848160,142.018951,-58.914249
163.493683,140.277924,-59.567783
164.139206,138.536896,-60.221317
164.784729,136.795868,-60.874851
165.430252,135.054840,-61.528385
166.075775,133.313812,-62.181919
166.721298,131.572784,-62.835453
167.366821,129.831757,-63.488987
168.012344,128.090729,-64.142517
168.657867,126.349693,-64.796051
169.303391,124.608658,-65.449585
169.948914,122.867622,-66.103119
170.594437,121.126587,-66.756653
171.239960,119.385551,-67.410187
171.885483,117.644516,-68.063721
172.531006,115.903481,-68.717255
173.176529,114.162445,-69.370789
173.822052,112.421410,-70.024323
174.467575,110.680374,-70.677856
175.113098,108.939339,-71.331390
175.758621,107.198303,-71.984924
176.404144,105.457268,-72.638458
177.049667,103.716232,-73.291992
177.695190,101.975197,-73.945526
178.340714,100.234161,-74.599060
178.986237,98.493126,-75.252594
179.631760,96.752090,-75.906128
180.277283,95.011055,-76.559662
180.922806,93.270020,-77.213196
181.568329,91.528984,-77.866730
182.213852,89.787949,-78.520264
182.859375,88.046913,-79.173798
183.504898,86.305878,-79.827332
184.150421,84.564842,-80.480865
184.795944,82.823807,-81.134399
185.441467,81.082771,-81.787933
186.086990,79.341736,-82.441467
186.732513,77.600700,-83.095001
187.378036,75.859665,-83.748535
188.023560,74.118629,-84.402069
188.669083,72.377594,-85.055603
189.314606,70.636559,-85.709137
189.960129,68.895523,-86.362671
190.605652,67.154488,-87.016205
191.251175,65.413452,-87.669739
191.896698,63.672421,-88.323273
161.371597,150.594559,-56.536552
162.017120,148.853531,-57.190086
162.662643,147.112503,-57.843620
163.308167,145.371475,-58.497154
163.953690,143.630447,-59.150688
164.599213,141.889420,-59.804222
165.244736,140.148392,-60.457756
165.890259,138.407364,-61.111290
166.535782,136.666336,-61.764824
167.181305,134.925308,-62.418358
167.826828,133.184280,-63.071892
168.472351,131.443253,-63.725426
169.117874,129.702225,-64.378960
169.763397,127.961189,-65.032494
170.408920,126.220154,-65.686028
171.054443,124.479118,-66.339561
171.699966,122.738083,-66.993095
172.345490,120.997047,-67.646629
172.991013,119.256012,-68.300163
173.636536,117.514977,-68.953697
174.282059,115.773941,-69.607231
174.927582,114.032906,-70.260765
175.573105,112.291870,-70.914299
176.218628,110.550835,-71.567833
176.864151,108.809799,-72.221367
177.509674,107.068764,-72.874901
178.155197,105.327728,-73.528435
178.800720,103.586693,-74.181969
179.446243,101.845657,-74.835503
180.091766,100.104622,-75.489037
180.737289,98.363586,-76.142570
181.382813,96.622551,-76.796104
182.028336,94.881516,-77.449638
182.673859,93.140480,-78.103172
183.319382,91.399445,-78.756706
183.964905,89.658409,-79.410240
184.610428,87.917374,-80.063774
185.255951,86.176338,-80.717308
185.901474,84.435303,-81.370842
186.546997,82.694267,-82.024376
187.192520,80.953232,-82.677910
187.838043,79.212196,-83.331444
188.483566,77.471161,-83.984978
189.129089,75.730125,-84.638512
189.774612,73.989090,-85.292046
190.420135,72.248055,-85.945580
191.065659,70.507019,-86.599113
191.711182,68.765984,-87.252647
192.356705,67.024948,-87.906181
193.002228,65.283913,-88.559715
163.122650,150.465027,-57.426525
163.768173,148.723999,-58.080059
164.413696,146.982971,-58.733593
165.059219,145.241943,-59.387127
165.704742,143.500916,-60.040661
166.350266,141.759888,-60.694195
166.995789,140.018860,-61.347729
167.641312,138.277832,-62.001263
168.286835,136.536804,-62.654797
168.932358,134.795776,-63.308331
169.577881,133.054749,-63.961864
170.223404,131.313721,-64.615395
170.868927,129.572693,-65.268929
171.514450,127.831657,-65.922462
172.159973,126.090622,-66.575996
172.805496,124.349586,-67.229530
173.451019,122.608551,-67.883064
174.096542,120.867516,-68.536598
174.742065,119.126480,-69.190132
175.387589,117.385445,-69.843666
176.033112,115.644409,-70.497200
176.678635,113.903374,-71.150734
177.324158,112.162338,-71.804268
177.969681,110.421303,-72.457802
178.615204,108.680267,-73.111336
179.260727,106.939232,-73.764870
179.906250,105.198196,-74.418404
180.551773,103.457161,-75.071938
181.197296,101.716125,-75.725471
181.842819,99.975090,-76.379005
182.488342,98.234055,-77.032539
183.133865,96.493019,-77.686073
183.779388,94.751984,-78.339607
184.424911,93.010948,-78.993141
185.070435,91.269913,-79.646675
185.715958,89.528877,-80.300209
186.361481,87.787842,-80.953743
187.007004,86.046806,-81.607277
187.652527,84.305771,-82.260811
188.298050,82.564735,-82.914345
188.943573,80.823700,-83.567879
189.589096,79.082664,-84.221413
190.234619,77.341629,-84.874947
190.880142,75.600594,-85.528481
191.525665,73.859558,-86.182014
192.171188,72.118523,-86.835548
192.816711,70.377487,-87.489082
193.462234,68.636452,-88.142616
