tx,ty,tz
224.365143,160.253922,-85.870880
222.600479,160.256653,-84.998550
220.835815,160.259384,-84.126221
219.071152,160.262115,-83.253891
217.306488,160.264847,-82.381561
215.541824,160.267578,-81.509232
213.777161,160.270309,-80.636902
212.012497,160.273041,-79.764572
210.247833,160.275772,-78.892242
208.483170,160.278503,-78.019913
206.718506,160.281235,-77.147583
204.953842,160.283966,-76.275253
203.189178,160.286697,-75.402924
201.424515,160.289429,-74.530594
199.659851,160.292160,-73.658264
197.895187,160.294891,-72.785934
196.130524,160.297623,-71.913605
194.365860,160.300354,-71.041275
192.601196,160.303085,-70.168945
190.836533,160.305817,-69.296616
189.071869,160.308548,-68.424286
187.307205,160.311279,-67.551956
185.542542,160.314011,-66.679626
183.777878,160.316742,-65.807297
182.013214,160.319473,-64.934967
180.248550,160.322205,-64.062637
178.483887,160.324936,-63.190308
176.719223,160.327667,-62.317978
174.954559,160.330399,-61.445648
173.189896,160.333130,-60.573318
171.425232,160.335861,-59.700989
169.660568,160.338593,-58.828659
167.895905,160.341324,-57.956329
166.131241,160.344055,-57.084000
164.366577,160.346786,-56.211670
162.601913,160.349518,-55.339340
160.837250,160.352249,-54.467010
223.602463,161.939285,-85.197922
221.837799,161.942017,-84.325592
220.073135,161.944748,-83.453262
218.308472,161.947479,-82.580933
216.543808,161.950211,-81.708603
214.779144,161.952942,-80.836273
213.014481,161.955673,-79.963943
211.249817,161.958405,-79.091614
209.485153,161.961136,-78.219284
207.720490,161.963867,-77.346954
205.955826,161.966599,-76.474625
204.191162,161.969330,-75.602295
202.426498,161.972061,-74.729965
200.661835,161.974792,-73.857635
198.897171,161.977524,-72.985306
197.132507,161.980255,-72.112976
195.367844,161.982986,-71.240646
193.603180,161.985718,-70.368317
191.838516,161.988449,-69.495987
190.073853,161.991180,-68.623657
188.309189,161.993912,-67.751328
186.544525,161.996643,-66.878998
184.779861,161.999374,-66.006668
183.015198,162.002106,-65.134338
181.250534,162.004837,-64.262009
179.485870,162.007568,-63.389679
177.721207,162.010300,-62.517349
175.956543,162.013031,-61.645020
174.191879,162.015762,-60.772690
172.427216,162.018494,-59.900360
170.662552,162.021225,-59.028030
168.897888,162.023956,-58.155701
167.133224,162.026688,-57.283371
165.368561,162.029419,-56.411041
163.603897,162.032150,-55.538712
222.839783,163.624649,-84.524963
221.075119,163.627380,-83.652634
219.310455,163.630112,-82.780304
217.545792,163.632843,-81.907974
215.781128,163.635574,-81.035645
214.016464,163.638306,-80.163315
212.251801,163.641037,-79.290985
210.487137,163.643768,-78.418655
208.722473,163.646500,-77.546326
206.957809,163.649231,-76.673996
205.193146,163.651962,-75.801666
203.428482,163.654694,-74.929337
201.663818,163.657425,-74.057007
199.899155,163.660156,-73.184677
198.134491,163.662888,-72.312347
196.369827,163.665619,-71.440018
194.605164,163.668350,-70.567688
192.840500,163.671082,-69.695358
191.075836,163.673813,-68.823029
189.311172,163.676544,-67.950699
187.546509,163.679276,-67.078369
185.781845,163.682007,-66.206039
184.017181,163.684738,-65.333710
182.252518,163.687469,-64.461380
180.487854,163.690201,-63.589050
178.723190,163.692932,-62.716721
176.958527,163.695663,-61.844391
175.193863,163.698395,-60.972061
173.429199,163.701126,-60.099731
171.664536,163.703857,-59.227402
169.899872,163.706589,-58.355072
168.135208,163.709320,-57.482742
166.370544,163.712051,-56.610413
222.077103,165.310013,-83.852005
220.312439,165.312744,-82.979675
218.547775,165.315475,-82.107346
216.783112,165.318207,-81.235016
215.018448,165.320938,-80.362686
213.253784,165.323669,-79.490356
211.489120,165.326401,-78.618027
209.724457,165.329132,-77.745697
207.959793,165.331863,-76.873367
206.195129,165.334595,-76.001038
