tx,ty,tz
284.172394,152.244827,-56.843948
283.403931,150.522675,-57.408447
282.635468,148.800522,-57.972946
281.867004,147.078369,-58.537445
281.098541,145.356216,-59.101944
280.330078,143.634064,-59.666443
279.561615,141.911911,-60.230942
278.793152,140.189758,-60.795441
278.024689,138.467606,-61.359940
277.256226,136.745453,-61.924438
276.487762,135.023300,-62.488937
275.719299,133.301147,-63.053436
274.950836,131.578995,-63.617935
274.182373,129.856842,-64.182434
273.413910,128.134689,-64.746933
272.645447,126.412537,-65.311432
271.876984,124.690384,-65.875931
271.108521,122.968231,-66.440430
270.340057,121.246078,-67.004929
269.571594,119.523926,-67.569427
268.803131,117.801773,-68.133926
268.034668,116.079620,-68.698425
267.266205,114.357468,-69.262924
266.497742,112.635315,-69.827423
265.729279,110.913162,-70.391922
264.960815,109.191010,-70.956421
264.192352,107.468857,-71.520920
263.423889,105.746704,-72.085419
262.655426,104.024551,-72.649918
261.886963,102.302399,-73.214417
261.118500,100.580246,-73.778915
260.350037,98.858093,-74.343414
259.581573,97.135941,-74.907913
258.813110,95.413788,-75.472412
258.044647,93.691635,-76.036911
257.276184,91.969482,-76.601410
256.507721,90.247330,-77.165909
255.739258,88.525177,-77.730408
254.970795,86.803024,-78.294907
254.202332,85.080872,-78.859406
253.433868,83.358719,-79.423904
252.665405,81.636566,-79.988403
251.896942,79.914413,-80.552902
251.128479,78.192261,-81.117401
250.360016,76.470108,-81.681900
282.507507,152.206741,-57.893551
281.739044,150.484589,-58.458050
280.970581,148.762436,-59.022549
280.202118,147.040283,-59.587048
279.433655,145.318130,-60.151546
278.665192,143.595978,-60.716045
277.896729,141.873825,-61.280544
277.128265,140.151672,-61.845043
276.359802,138.429520,-62.409542
275.591339,136.707367,-62.974041
274.822876,134.985214,-63.538540
274.054413,133.263062,-64.103035
273.285950,131.540909,-64.667534
272.517487,129.818756,-65.232033
271.749023,128.096603,-65.796532
270.980560,126.374451,-66.361031
270.212097,124.652298,-66.925529
269.443634,122.930145,-67.490028
268.675171,121.207993,-68.054527
267.906708,119.485840,-68.619026
267.138245,117.763687,-69.183525
266.369781,116.041534,-69.748024
265.601318,114.319382,-70.312523
264.832855,112.597229,-70.877022
264.064392,110.875076,-71.441521
263.295929,109.152924,-72.006020
262.527466,107.430771,-72.570518
261.759003,105.708618,-73.135017
260.990540,103.986465,-73.699516
260.222076,102.264313,-74.264015
259.453613,100.542160,-74.828514
258.685150,98.820007,-75.393013
257.916687,97.097855,-75.957512
257.148224,95.375702,-76.522011
256.379761,93.653549,-77.086510
255.611298,91.931396,-77.651009
254.842834,90.209244,-78.215508
254.074371,88.487091,-78.780006
253.305908,86.764938,-79.344505
252.537445,85.042786,-79.909004
251.768982,83.320633,-80.473503
251.000519,81.598480,-81.038002
250.232056,79.876328,-81.602501
280.842621,152.168655,-58.943153
280.074158,150.446503,-59.507652
279.305695,148.724350,-60.072151
278.537231,147.002197,-60.636650
277.768768,145.280045,-61.201149
277.000305,143.557892,-61.765648
276.231842,141.835739,-62.330147
275.463379,140.113586,-62.894646
274.694916,138.391434,-63.459145
273.926453,136.669281,-64.023643
273.157990,134.947128,-64.588142
272.389526,133.224976,-65.152641
271.621063,131.502823,-65.717140
270.852600,129.780670,-66.281639
270.084137,128.058517,-66.846138
269.315674,126.336365,-67.410637
268.547211,124.614212,-67.975136
267.778748,122.892059,-68.539635
267.010284,121.169907,-69.104134
266.241821,119.447754,-69.668633
265.473358,117.725601,-70.233131
264.704895,116.003448,-70.797630
263.936432,114.281296,-71.362129
263.167969,112.559143,-71.926628
262.399506,110.836990,-72.491127
261.631042,109.114838,-73.055626
260.862579,107.392685,-73.620125
260.094116,105.670532,-74.184624
259.325653,103.948380,-74.749123
258.557190,102.226227,-75.313622
257.788727,100.504074,-75.878120
257.020264,98.781921,-76.442619
256.251801,97.059769,-77.007118
255.483337,95.337616,-77.571617
254.714874,93.615463,-78.136116
253.946411,91.893311,-78.700615
253.177948,90.171158,-79.265114
252.409485,88.449005,-79.829613
251.641022,86.726852,-80.394112
250.872559,85.004700,-80.958611
250.104095,83.282547,-81.523109
279.177704,152.130585,-59.992760
278.409241,150.408432,-60.557259
277.640778,148.686279,-61.121758
276.872314,146.964127,-61.686256
276.103851,145.241974,-62.250755
275.335388,143.519821,-62.815254
274.566925,141.797668,-63.379753
273.798462,140.075516,-63.944252
273.029999,138.353363,-64.508751
272.261536,136.631210,-65.073250
271.493073,134.909058,-65.637749
270.724609,133.186905,-66.202248
269.956146,131.464752,-66.766747
269.187683,129.742599,-67.331245
268.419220,128.020447,-67.895744
267.650757,126.298294,-68.460243
266.882294,124.576141,-69.024742
266.113831,122.853989,-69.589241
265.345367,121.131836,-70.153740
264.576904,119.409683,-70.718239
263.808441,117.687531,-71.282738
263.039978,115.965378,-71.847237
262.271515,114.243225,-72.411736
