tx,ty,tz
294.252319,190.370300,-51.536350
292.766510,189.446793,-52.438869
291.280701,188.523285,-53.341389
289.794891,187.599777,-54.243908
288.309082,186.676270,-55.146427
286.823273,185.752762,-56.048946
285.337463,184.829254,-56.951466
283.851654,183.905746,-57.853985
282.365845,182.982239,-58.756504
280.880035,182.058731,-59.659023
279.394226,181.135223,-60.561543
277.908417,180.211716,-61.464062
276.422607,179.288208,-62.366581
274.936798,178.364700,-63.269100
273.450989,177.441193,-64.171616
271.965179,176.517685,-65.074135
270.479370,175.594177,-65.976654
268.993561,174.670670,-66.879173
267.507751,173.747162,-67.781693
266.021942,172.823654,-68.684212
264.536133,171.900146,-69.586731
263.050323,170.976639,-70.489250
261.564514,170.053131,-71.391769
260.078705,169.129623,-72.294289
258.592896,168.206116,-73.196808
257.107086,167.282608,-74.099327
255.621292,166.359100,-75.001846
254.135498,165.435593,-75.904366
252.649704,164.512085,-76.806885
251.163910,163.588577,-77.709404
249.678116,162.665070,-78.611923
248.192322,161.741562,-79.514442
246.706528,160.818054,-80.416962
245.220734,159.894547,-81.319481
243.734940,158.971039,-82.222000
242.249146,158.047531,-83.124519
294.162659,188.403885,-51.523399
292.676849,187.480377,-52.425919
291.191040,186.556870,-53.328438
289.705231,185.633362,-54.230957
288.219421,184.709854,-55.133476
286.733612,183.786346,-56.035995
285.247803,182.862839,-56.938515
283.761993,181.939331,-57.841034
282.276184,181.015823,-58.743553
280.790375,180.092316,-59.646072
279.304565,179.168808,-60.548592
277.818756,178.245300,-61.451111
276.332947,177.321793,-62.353630
274.847137,176.398285,-63.256149
273.361328,175.474777,-64.158669
271.875519,174.551270,-65.061188
270.389709,173.627762,-65.963707
268.903900,172.704254,-66.866226
267.418091,171.780746,-67.768745
265.932281,170.857239,-68.671265
264.446472,169.933731,-69.573784
262.960663,169.010223,-70.476303
261.474854,168.086716,-71.378822
259.989044,167.163208,-72.281342
258.503235,166.239700,-73.183861
257.017426,165.316193,-74.086380
255.531631,164.392685,-74.988899
254.045837,163.469177,-75.891418
252.560043,162.545670,-76.793938
251.074249,161.622162,-77.696457
249.588455,160.698654,-78.598976
248.102661,159.775146,-79.501495
246.616867,158.851639,-80.404015
245.131073,157.928131,-81.306534
294.073029,186.437469,-51.510445
292.587219,185.513962,-52.412964
291.101410,184.590454,-53.315483
289.615601,183.666946,-54.218002
288.129791,182.743439,-55.120522
286.643982,181.819931,-56.023041
285.158173,180.896423,-56.925560
283.672363,179.972916,-57.828079
282.186554,179.049408,-58.730598
280.700745,178.125900,-59.633118
279.214935,177.202393,-60.535637
277.729126,176.278885,-61.438156
276.243317,175.355377,-62.340675
274.757507,174.431870,-63.243195
273.271698,173.508362,-64.145714
271.785889,172.584854,-65.048233
270.300079,171.661346,-65.950752
268.814270,170.737839,-66.853271
267.328461,169.814331,-67.755791
